divide_up	bAzta_xe
abide_by	atala_raha
acceded_to	svIkAra_kiyA_gayA
back_up	sahArA_xe
beef_up	suxqDZa_kara
cook_up	pakA
cough_up	anicCApUrvaka_xe
cover_up	AdZa
cut_in	kAta
dispose_of	nipatA
dispose_off	nipatA
drop_in	A
embark_on	para_caDZA
end_up	samApwa_ho
fall_through	asaPala_ho
fall_to	SurU_kara
flare_up	Aga_BadZaka
get_up	uTa
give_up	Coda_xe
go_on	jArI_raKa
hang_on	para_AXAriwa
hang_out	lataka
hang_together	mila-jula_kara_raha
hold_up	praxarSiwa_kara
keep_on	jArI_raKa
kick_up	udZA
knock_on	geMxa_ko_Age_Xakelane_kI_kriyA
knock_out	acewa_yA_paCAdZa_kara_xene_vAlA_prahAra
look_at	XyAna_xe
look_for	Koja_kara
look_into	XyAna_se_xeKa
look_through	sarasarI_nigAha_se_xeKa
make_off	BAga_jA
make_out	saPala_ho
make_over	haswAMwaraNa_kara
move_in	praveSa_kara
mug_up	aXyayana_kara
pass_on	Age_baDZa
perk_up	jAna_A
pick_up	uTA
pile_on	puMjana
piss_up	aXika_mAwrA_meM_SarAba_pI
play_on	Kelawe_raha
play_up	sawA
play_with	soca
pop_in	jalxI_se_xe
pop_into	jalxI_se_raKa
pop_off	mara_jA
pop_up	acAnaka_najZara_A
prick_up	kAna_uTA
prop_up	teka_lagA
pull_out	xUra_hata_jA
put_up	praswuwa_kara
scale_up	badZA
screwed_up	muraJA
stitch_up	XoKA_xe
stuck_up	Pazsa_jA
take_in	le
take_over	le_le
take_place	ho
take_up	hAWa_meM_le
throw_in	PeMka
tread_on	nArAja_kara
try_on	pahanakara_xeKa
tune_in	lagA
tune_up	Xuna_sura
use_up	Kapawa_ho
usher_in	prAraMBa_kara
warm_up	joSa_meM_A
wind_up	lapeta
calm_down	SAMwa_raha
come_back	vApasa_A
look_after	xekabAla_kara
put_forward	praswuwa_kara
swear_in	SapaWa_le
