coordinating_conjunction CC conjunction
cardinal_number CD cardinal
determiner DT determiner
existential_there EX existential_there
foreign_word FW foreign_word
preposition_subordinating_conjunction IN preposition
adjective JJ adjective
adjective_comparative JJR adjective
adjective_superlative JJS adjective
list_item_marker LS list_item_marker
modal MD modal
noun_singular_mass NN noun
noun_plural NNS noun
proper_noun_singular NNP noun
proper_noun_plural NNPS noun
predeterminer PDT predeterminer
possessive_ending POS possessive_ending
personal_prononun PRP pronoun
possessive_pronoun PRP$ pronoun
adverb RB adverb
adverb_comparative RBR adverb
adverb_superlative RBS adverb
particle RP particle
symbol SYM symbol
to TO to
interjection UH interjection
verb VB verb
verb_past_tense VBD verb
verb_gerund VBG verb
verb_past_participle VBN verb
verb_non-3rd_person_singular_present VBP verb
verb_3rd_person_singular_present VBZ verb
wh-determiner WDT wh-determiner
wh-pronoun WP wh-pronoun
possessive_wh-pronoun WP$ possessive_wh-pronoun
wh-adverb WRB wh-adverb
space-separated-punctuation : space-separated-punctuation
