A_level	ucca_swarIya#ucca_swarIya#noun#2#RM
ANSI_screen_control	e0_ena0_esa0_AI0_skrIna_niyaMwraNa#e0_ena0_esa0_AI0_skrIna_niyaMwraNa#noun#3#RM
ANSI_system	ena_sI_(e_ena_esa_AI_)_praNAlI#ena_sI_(e_ena_esa_AI_)_praNAlI#noun#2#RM
ASCII_code	AskI_koda#AskI_koda#noun#2#RM
ASCII_control_character	AskI_niyaMwraNa_saMprawIka#AskI_niyaMwraNa_saMprawIka#noun#3#RM
ASCII_file_transfer	AskI_saMcikA_aMwaraNa#AskI_saMcikA_aMwaraNa#noun#3#RM
ASCII_file	AskI_saMcikA#AskI_saMcikA#noun#2#RM
ASCII_font	AskI_PZoYnta#AskI_PZoYnta#noun#2#RM
ASCII_key_board	AskI_kuMjI_patala#AskI_kuMjI_patala#noun#3#RM
ASCII_sort_order	AskI_CaMtAI_krama#AskI_CaMtAI_krama#noun#3#RM
ASCII_transfer	AskI_aMwaraNa#AskI_aMwaraNa#noun#2#RM
AT_Keyboard	e_tI_kuMjI_patala#e_tI_kuMjI_patala#noun#2#RM
AT_bus	e_tI_basa#e_tI_basa#noun#2#RM
AT_command_set	e_tI_samAxeSa_samuccaya#e_tI_samAxeSa_samuccaya#noun#3#RM
AT_command	e_tI_samAxeSa#e_tI_samAxeSa#noun#2#RM
AT_&_T_divestiture	e_tI_eNda_tI#e_tI_eNda_tI#noun#2#RM
B_cell	bI.koSikA#bI.koSikA#noun#2#RM
CD_drive	sIdI_drAiva#sIdI_drAiva#noun#2#RM
CPU_time	sIpIyU_kAla#sIpIyU_kAla#noun#2#RM
FBI_agent	ePZa_bI_AI_prawiniXi#ePZa_bI_AI_prawiniXi#noun#2#RM
FIFO_search	PIPo_anveRaNa#PIPo_anveRaNa#noun#2#RM
IBM_machine	AibIema_maSIna#AibIema_maSIna#noun#2#RM
ID_card	paricaya_pawra#paricaya_pawra#noun#2#RM
ISO_protocol	AI_esa_o_protoYkola#AI_esa_o_protoYkola#noun#2#RM
ISO_standard	AI_esa_o_mAnaka#AI_esa_o_mAnaka#noun#2#RM
IT_service	sUcanA_prOxyogikI_sevA_vipaNana#sUcanA_prOxyogikI_sevA_vipaNana#noun#2#RM
L_protocol_layer	ela_niyamAvalI_sawaha#ela_niyamAvalI_sawaha#noun#3#RM
LAN_operating_system	lEna_saMcAlana_waMwra#lEna_saMcAlana_waMwra#noun#3#RM
LAN_security_subcommittee	lEna_surakRA_upasamiwi#lEna_surakRA_upasamiwi#noun#3#RM
LAN_server	lEna_parisevaka#lEna_parisevaka#noun#2#RM
LIFO_search	liPo_anveRaNa#liPo_anveRaNa#noun#2#RM
MAC_protocol	mEka_protokoYla#mEka_protokoYla#UNDEFINED#0#RM
MIS_Planner	ema_AI_esa_(prabaMXana_sUcanA_waMwra_)Ayojana#ema_AI_esa_(prabaMXana_sUcanA_waMwra_)Ayojana#noun#2#RM
N_P_completeness	ena_pI_saMpUrNarwA#ena_pI_saMpUrNarwA#noun#3#RM
NEWS_briefing	samAcAra_kA_vivaraNa_xenA#samAcAra_kA_vivaraNa_xenA#noun#2#RM
NOT_circuit	noYta_paripaWa#noYta_paripaWa#noun#2#RM
NOT_equivalence_gate	noYta_wulyawA_xvAra#noYta_wulyawA_xvAra#noun#3#RM
NOT_operation	pUraka_saMkriyA#pUraka_saMkriyA#noun#2#RM
OR_element	AEYra_avyava#AEYra_avyava#noun#2#RM
OR_gate	AEYra_xvAra#AEYra_xvAra#noun#2#RM
OR_mixer	aWavA_miSrraka#aWavA_miSrraka#noun#2#RM
