ecclesiastic commissioner	carca_kamiSnara
ecclesiastical calendar	XArmika_wiWipawrI
echelon management	sopAnaka_prabaMXa
echo suppresser	gUMja_xamana
echo suppressor	prawiXvani_niroXaka
econometric analysis	arXamiwiparaka_viSleRapra
econometric model	arWamiwIya_prawirUpa
econometric theory	arWamiwi_sixXAMwa
economic activity	vARirka_gawiviXi_iAryakalApa
economic adjustment	ArWika_samAyojana
economic adviser	ArWika_salAhakAra_aarAmarSaxAwA
economic advisor	ArWika_salAhakAra
economic affairs department	ArWika_kArya_viBAga
economic analysis	ArWika_viSleRapra
economic and social commission for asia pacific	eSiyA_Ora_praSAMwa_kRewrIya_ArWika_Ora_sAmAjika_Ayoga
economic and social council of india	BArawIya_ArWika_evaM_sAmAjika_pariRax
economic and statistical advisor	ArWika_Ora_sAMKyikIya_salAhakAra
economic and statistical directorate	ArWika_Ora_sAMKyikI_nixeSAlaya
economic and statistical research	ArWika_Ora_sAMKyikIya_anusaMXAna

economic appraisal	ArWika_mUlyAMkana
economic capacity	ArWika_kRamawA
economic change	ArWika_parivarwana
economic character	ArWika_svarUpa
economic class	ArWika_varga_aamuxAya
economic classification scheme	ArWika_vargIkaraNa_yojanA
economic classification	ArWika_vagabakaraNa
economic climate	ArWika_vAwAvaraNa
economic collaboration	ArWika_sahayoga
economic condition	ArWika_sWiwi
economic conflicts	ArWika_saMxaRar
economic consumption	ArWika_vyaya
economic contradiction	ArWika_aMwarviroXa_asaMgawiyAM
economic council	ArWika_pariRaxa
economic crisis	ArWika_saMkata
economic data	ArWika_AMkadZe
economic depression	ArWika_maMxI
economic determinants	ArWika_nirXAraka
economic development	ArWika_vikAsa
economic dimensions	ArWika_AyAma
economic discrimination	ArWika_Bexa_BAva
economic dispute	ArWika_vivAxa
economic effort	ArWika_prayAsa_arayawna
economic ends	ArWika_umeSya
economic environment	ArWika_paryAvaraNa_aAwAvaraNa
economic equation	ArWika_samIkaraNa
economic expansion	ArWika_prasAra_aiswAra
economic exploitation	ArWika_SoRapra
economic factor	ArWika_kAraka_aawva
economic feasibility	ArWika_saMBAvyawA_ApayukwawA
economic forces	ArWika_SikwayAM

economic freedom	ArWika_svawaMwrawA_AvAXInawA
economic health	ArWika_xaSA
economic history	ArWika_iwihAsa
economic ideal	ArWika_AxarSa
economic incentive	ArWika_prowsAhana
economic institution	ArWika_saMsWA
economic intelligence inspector	ArWika_AsUcanA_nirIkRaka
economic investigator	ArWika_anveRaka
economic laws	ArWika_niyama
economic management	ArWika_prabaMXa_ayavasWA
economic method	ArWika_praprAlI
economic ministries	ArWika_maMwrAlaya
economic model	ArWika_prawirUpa
economic motive	ArWika_umeSya
economic norms	ArWika_mAnaxaMda
economic objectives	ArWika_umeSya_aakRya
economic parameter	ArWika_samIRta_aOhamI
economic planner	ArWika_yojanAkAra
economic policy	ArWika_nIwi
economic resources	ArWika_saMsAXana
economic self sufficiency	ArWika_Awma_niBarrawA
economic social council	ArWika_Ora_sAmAjika_pariRaxa
economic strangulation	ArWika_xabAva
economic structure	ArWika_DAMcA_AaMracanAvinyAsa
economic survey	ArWika_sarvekRaNa
economic transactions	ArWika_lena_xena_ayavahAra
economic trend	ArWika_pravqwwi
economic value	ArWika_mUlya
economic viability	arWa_sakRamawA
economic welfare	ArWika_kalyANa
economical exploitation	ArWika_SoRapra
economically sound	ArWika_iRta_se_svasWa_aaSakwa
economics computing	arXaSAswra_aBikalana
economics of the scheme	yojanA_kA_vwwiIya_arWika_pahalu
economy campaign	miwavyayiwA_aiBayAna
economy measures	miwavyayiwA_ke_upAya
economy slip	kiPZAyawa_parcI
edible banana	Bojya_kelA
edible bean	KAxya_PalI
edible cockle	KAxya_kAkala
edible corn	KAxya_makaI
edible oil	KAxya_wela
edible oilseeds	KAxya_wilahana
edible vegetable	KAxya_vanaspawi_iabjI
edit mode	saMpAxana_viXA
edited copy	saMpAxiwa_prawilipi
editing information	saMpAxana_sUcanA
editor in chief	pramuKa_saMpAxaka
educated unemployment	SikRiwa_berojZawagArI_IekArI
education co ordinator	SikRA_saMyojaka
education effort	SikRA_prayAsa
education expansion officer	SikRA_pa_asAra_aXikArI
education extension officer	SikRA_viswAra_aXikArI
education officer	SikRA_aXikArI
educational activity	SEkRika_kAryakalApa
educational advisor	SikRA_salAhakAra
educational career	SEkRika_jIvana
educational environment	SEkRika_pariveSa
educational qualification	SEkRika_arhawA
educational resources information center	SikRA_saMsAXana_sUcanA_kenxra
educational situations	SEkRika_saMxarBa
educational technology	SEkRika_prOxyAogikI
effective action	praBAvo_oAragara_kArravAWa
effective buying rate	praBAvI_KarIxa_araya_xara
effective closure	praBAvI_praviXi
effective control	praBAvI_niyaMwraNa
effective custody of security	jamAnawa_arawiBUwi_kI_praBAvI_aiBarakRA
effective date	praBAvI_wiWi
effective demand	praBAvI_mAMga
effective implement	praBAvI_kAryAnvayana
effective implementation	praBAvI_kAryAnvayana
effective instruction	praBAvI_anuxeSa
effective measures	praBAvI_upAya
effective operand address	praBAvI_saMkArya_pawA
effective output	vAswavika_uwpAxa
effective procedure	praBAvI_praviXi
effective rate of duty	praBAvI_Sulka_xara
effective resistance	praBAvI_prawiroXa
effective selling rate	praBAvI_bikrI_Iikraya_xara
effective service	praBAvI_sevA


effective staff strength	vAswavika_karmacArI_saMKyA
effective steps	kAragara_upAya
effective supervisory machinery	kAragara_paryavekRI_waMwra
effective transmission speed	praBAvI_saMcaraNa_cAla
effective uid	praBAvI_yU_AI_dI
effects not cleared	mAla_aana_kI_vasUlI_nahIM_huWa
efficiency bar	xakRawA-roXa
efficiency bureau	kAryakuSalawA_byUro
efficiency engineer	kArya_niRpawwi_iMjIniyara
efficiency inspector	xakRawA_nirIkRaka
efficiency of capital	pUMjI_kI_kAryakRamawA
efficiency officer	kAryakuSalawA_aXikArI
efficient book keeping	xakRa_bahI_KAwA
egalitarian system	samawAvAxI_praprAlI
egg cell	ega_sela
eggplant bush	bEMgana_kI_JAdZI
eggplant casserole	bEMgana_kA_vyaMjana
ego trip	ahaM_kI_wuRti_vAlA_kArya
eight ball	ATa_geMxeM
eight bit byte	ATa_bita_bAIta
eight hundred	ATasO
eighty eight	aTTAsI
eighty five	picyAsI
eighty four	cOrAsI
eighty nine	navAsI
eighty one	ikyAsI
eighty seven	sawwAsI
eighty six	CiyAsI
eighty three	wirAsI
eighty two	bayAsI
either of you	xonoM_meM_se_eka
either side	xono_ora

either way communication	pArasparika_saMcAra
ejaculatory duct	sKalana_nalI
ejector seat	bAhara_nikalane_kI_kursI
elasticity of demand	mAMga_loca
elbow grease	kaTIna_pariSrama
elected auditor	nirvAciwa_leKAparIkRaka
elected directors	nirvAciwa_nixeSaka
elected representat	nirvAciwa_prawiniXi
election agent	nirvAcana_aiBakarwA
election algorithm	cunAva_elgoriWma
election commission	nirvAcana_Ayoga
election commissioner	nirvAcana_Ayukwa
election day	nirvAcana_xina
election district	nirvAcana_jZilA
election duty	nirvAcana_dZyUtI
election effort	cunAva_prayAsa
election fraud	cunAva_pariNAmoM_meM_herA-PerI
election tribunal	nirvAcana_aXikaraNa
electoral college	nirvAcaka_maMdala
electoral officer	nirvAcana_aXikArI
electoral registration officer	nirvAcana_paMjIyana_aXikArI
electoral roll	nirvAcaka-sUcI
electoral rolls inspector	nirvAcana_nAmAvalI_nirIkRaka
electoral supervisor	nirvAcana_paryavekRaka
electric automobile	vixyuwIya_svacAliwavAhana
electric battery	vixyuwa_bEtarI
electric bell	bijalI_kI_GaMtI
electric bill	bijalI_kA_bila
electric car	bijalI_se_calane_vAlI_kAra
electric catfish	vixxayuwa_aSalka_mIna
electric cell	vixxayuwa_sela
electric chair	vixxayuwa_kursI

electric charge	vixxayuwa_AveSa
electric circuit	vixyuw_paripaWa
electric clock	bijalI_GadI
electric company	vixyuwa_kampanI
electric cord	bijalI_kA_wAra
electric dipole	vixyuwa_xviXruva
electric discharge	bijalI_visarjana
electric doublet	vixyuwa_jEkata
electric drill	vixyuwa_beXanI
electric eel	vixyuwayukwa_Ila_maCalI
electric inspector	bijalI_nirIkRaka
electric operator	bijalI_pracAlaka
electric shunter	bijalI_SaMtara
electric supervisor	bijalI_paryavekRaka
electrical accounting machine	vixyuwa_leKA_maSIna
electrical cable	bijalI_kA_wAra
electrical capacity	vixxayuwIya_kRamawA
electrical circuit	vixyuw_saMbanXI_paripaWa
electrical condenser	vixyuw_saMGaniwra
electrical conduction	vixyuwa_cAlana
electrical contact	vixyuwa_XArA_kA_saMparka
electrical converter	vixyuwa_saMparivarwaka
electrical discharge	vixyuwa_nissaraNa
electrical distributor	vixyuwa_viwaraka
electrical disturbance	vixyuwa_avaroXa
electrical engineer in chief	pramuKa_bijalI_iMjIniyara
electrical engineer	bijalI_iMjIniyara
electrical engineering	ilEktrikala_iMjIniyariMga
electrical mechanical supervisor	vExyuwa_yAMwrika_paryavekRaka
electrical signal maintainer	bijalI_siganala_anurakRaka
electrical works division	bijalI_nirmANa_praBAga
electricity board	bijalI_borda
electricity concurrent audit section	vixyuwa_saMvarwI_leKAparIkRA_anuBAga
electricity duty inspector	vixyuwa_Sulka_nirIkRaka
electricity sales	bijalI_kI_bikrI
electricity shortage	bijalI_kI_kamI
electricity tariff	bijalI_Sulka_xara
electromagnetic interference	vixyuwa_cumbakIya_vyawIkaraNa
electromagnetic relay	vixyuwa_cuMmbakIya_rile


electromechanical impact printing	vixyuwaCayAMwrika_saMGatta_muxraNa
electromechanical plotter	vixyuwaCayAMwrika_AleKaka
electromechanical scanning	vixyuwaCayAMwrika_kramavIkRaNa
electromechanical switching system	vixyuwa_yAMwrikIya_svicana_waMwra
electron beam recording	ilektrOYna_kiraNa_puMja_aBileKana
electron microscope	ilektrAna_sUkRmaxarSI
electronic automatic exchange	ilektrOYnika_svacAliwa_kenxra
electronic balance	ilEktronika_warAjZU
electronic calculator	ilektrOYnika_parikaliwra
electronic computer	ilektrAnika_kampyUtara
electronic converter	ilektrAnika_saMparivarwaka
electronic data processing center	ilektrOYnika_dAtA_prosesiMga_keMxra
electronic data processing	ilektrOYnika_AMkadZA_saMsAXana
electronic dictionary	ilektrAnika_SabxakoSa
electronic equipment	ilektrOYnika_upakaraNa
electronic funds transfer system	ilektrOYnika_niXi_awaMraNa_waMwra
electronic mail	ilEktrAnika_dAka
electronic mailing	ilektrOYnika_dAka_sevA
electronic media	ilektrOYnika_saMcAra_mAXyama
electronic microscope technician	ilektrOYnI_sUkRmaxarSI_wakanISiyana
electronic printer	ilektrOYnika_muxraka
electronic reconnaissance	ilektrOYnika_sEnika_sarvekRaNa
electronic switch	ilektrOYnika_svica
electronic switching system	ilektrOYnika_svicana_waMwra
electronic warfare	yAnwrikI_yuxXa
electronics chain	ilektrAnikI_SrqMKalA
electronics company	ilektrAnikI_kampanI


electrostatic bond	siWira_vixyuwikI_sambanXa
element of double financing	xuhare_vwwipoRapra_kA_wawva_aMSa
elementary education	prAraMiBaka_SikRA
elementary event	prAraMBika_GatanA
elementary item	mUla_maxa
elementary particle	mUlakaNa
elementary school	prAramBika_vixyAlaya
elephant ear	hAWI_kA_kAnA
elevator algorithm	uwWApaka_elgoriWma
