ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
Address strategy module	pawA_yukwi_mOYdayUla_
Address trace	paricaya_anureKa_
Air Chief Marshal	eara_cIPZa_mArSala{vAyu_senA_kA_bahuwa_ucca_aXikArI}
Air Commodore	eara_kOmodora{vAyu_senA_kA_ucca_aXikArI}
Air Vice Marshal	eara_vAisa_mArSala{vAyu_senA_kA_ucca_aXikArI}
Algorithm routine	kalana_viXi_nemakA_
Anchor record	laMgara_
Auto logon	svawaH_lOYgOYna_
Automatic feed punch	svawaH_BaraNa_paMca_
Automatic message accounting	svawaH_s@MAxeSa_leKAMkana
Automatic message routing	svawaH_s@MAxeSa_anumArgaNa
B cell	bI.koSikA
Back bone network	merUxaMda_rIDZa_netavarka_
Balance sheet as snapshot	wulana_pawra_kA_ASuciwra_
Bank switching	bEMka_svIciMga_
Base register	AXAra_rajistara_
Batch file	bEca_PAIla_
Batch processing	bEca_prakramana_
Batch region	bEca_
Batch session	bEca_
Batch system	bEca_
Batch terminal	bEca_
Block multiplexer	avaroXI_guNaka_(blOYka_saMkewaka)
Block multiplexor channel	KaMda_bahusaMkewaka_cEnala_
Code frame	kUta_Prema_
Code generation	koda_janana_
Code generator	kUta_janaka_
Code hoisting	koda_uwWApana_
Code iindependence	kUta_anASriwa_
Code optimization	kUta_IRwamIkaraNa_
Code page file	kUta_pqRTa_saMcikA_
Code segment	kUta_KaMda_
Code set	kUta_samuccaya_
Code snippet	kqta_snipeta_
Code word	kUta_Sabxa_
Data contol block	AMkadZA_niyaMwraNa_KaMda_
Data independence	AMkadZA_mukwawA_
Data pointer	AMkadZA_saMkewaka_
Data preparation	AMkadZA_wEyArI_
Di bit	xvixvayaMka_
Discharge Required	(BugawAna_hewu)_haswAkRara_apekRiwa
Document retrieval	praleKa_prawiniyana_
Document window	praleKa_KidZakI_
Down loaded	aXaHBAraNa_
Easter bunny	Istara_wyOhAra_kA_banI{KaragoSa_ke_lie_pyArakA_Sabxa}
Export Credit Gurarantee Corporation of India Ltd	BArawIya_niryAwa_qNa_gAraMtI_nigama_li..
Field Marshal	PIlda_mArSala{senA_kA_sarvocca_ohaxA}
Fleet Admiral	PlIta_edamirala{nOsenA_kA_ucca_aXikArI}
Fleet Street	PlIta_strIta{laMxana_kI_eka_sadZaka_kA_nAma}
Free Alongside Ship	jahAja_waka_ni:Sulka
Free On Board	jahAja_para_ni:Sulka
French Fries	AlU_ke_lambe_kaware{wale_hue}
God forsaken	vIrAnA`
Good morning	supraBAwa{namaskAra}
GGrandfather-father-son method	piwAmaha_
Have a nice time	samaya_acCA_bIwe[>KuSa_raho]
I-node table	aMwaH_noda_sAraNI_
Import REplenishment Licence	AyAwa_puna:pUrwi_lAiseMsa
Infix notation	aMwaligna_saMkewana_pUrvakriyA_
Job scheduling	kArya_anusUcana_
Job sequencing	kArya_anukramaNa_
Key bounce	kuMjI_uCAla_
Key phrase	mukya_vAk@MyASa
Light-emitting diode	prakASa_uwsarjaka__dAyeAda
Line graph	paMkwi_AleKI_
Line length	paMkwi_lambAI_
Line monitor	paMkwi_parivekRaka_
Line noise	lAina_kolAhala_
Line oriented	paMkwi_prAcya_
Line surge	lAina_prowkarRa_
Load sharing	BAra_sahayojana_
Local mode	sWAnIya_viXA_
Locking up of funds	niXi-roXa
MAC protocol	mEka_protokOYla_
MIS Planner	ema_AI_esa_(prabaMXana_sUcanA_waMwra_)Ayojana
Mac segment	mEka__KaMda
Memory workspace	smqwi__kAryakRewra
Memory-Resident package	smqwi_vAsI_pEkeja_
Memory-resident program	smqwi_vAsI_progrAma_
Merge sort	CaMEYtAI_saMvilaya_
Micro kernel	ead path	paTsUkRma_aRTi_
Model limitation	mOYdala_parisImAna_
No Objection Certificate	q`Apawwi_nahIM''
No fear	hAz{kisI_praSna_ke_uwwara_meM_sakarAwmaka_uwwara}
Non uniform memory access machine	viRama_smqwi_aBigama_waMwra_
Organisation of Petroleum Exporting Countries	petroliyana_(wela)_niryAwaka_xeSoM_kA_saMgaTana
Page fault frequency algorithm	pqRTa_xoRa_Avqwi_kalana_viXi_
Page in	aMwargama_
Page map register	pqRTa_prawiciwra_paMjI_
Page removal algorithm	pqRTa_apanayana_kalana_viXi_
Paper tape channel	kAgaja_tepa_praNAla_
Paper tape	kAgaja-tepa
Parent Directory	@ZmUla_nixeSikA
Permanent virtual circuit	sWAyI_aBAMsI__paripaWa
Program tracing	progrAma_
Program transformation	progrAma_
Pulse triggered flip-flop	s@Mpaxa_pravarwiwa_PlipaCaPlApa
Read reverse	paTana_prawilomana_
S N A	esa_ena_e_(_waMwra_netavarka_sWApawya)
Scotch Egg	walA_aMdA{goSwa_lagA_huA}
Second ballot	xobArA_mawaxAna{gadZabadZI_ke_kAraNa}
Secret Police	pulisa{jAsUsI_karane_vAlI}
Sheep dog	kuwwA{BedZo_kI_xeKaBAla_ke_liye}
Shliver surface	kaMpana_pqRTa_
Sig quote	siga-kvotaca_aBijFAna-uxXaraNa
Signal to noise ratio	saMkewaCaXvani_anupAwa_
Special purpose computer	viSeRa_uxxeSya_aBikaliwra_
Structure of array	saraNI_saMracanA_
System board	waMwra_patala_
T cell	tI.sela
T flip-flop	tI_Plipa_PlEYApa_
Teks complement	xasa_-_pUraka
The fallen	SahIxa_hue_loga{sEnika_iwyAxi}
Three way handshake	wriXA_prApwi_-_svIkqwi
Three-tier network	wriwala_netavarka__jAlakrama
User mode	prayokwA_paxvawi_
User profile	prayokwA_pArSvaka_
User state	prayokwA_avasWA_
Y chromosome	vAI-kromosoma
Zip code	pinakoda{amarIkA_meM}
absence from duty	kArya_a@ZyUtI_se_anupasWiwi
absentee statement	anupasWiwa-vivaraNa
abstract expressionism	nirAkAra_kA_xyowaka[aBivyaMjanAvAxa]
account head	leKA-SIrRa
accounting and finance	leKAMkana_eMva_vi<
active control	sakriya_niy@MAwraNa
active file	sakriya_s@MwaAcikA
actual price	vAswavika_mUlya@_kImawa
ad hoc	anOpacArika_rUpa_se{binA_kisI_yojanA_ke}
adaptive routine protocol	anukUlI_nemikA(rUtIna)_protokOYla
adc to the president	rARtrapawi_ke_e__dI__sI_
administrative department	praSAsanika-viBAga
administrative syst	praSAsana_paxXawi_
adulterated food	milAvatI_KAxya_aU@Zna
advance banking	u_u@Znawa_bEMkiMga
advanced accountancy	u_unawa_leKA_viXi_iA@Lwra
agent provocateur	prawiniXi{jo_galawa_kArya_karane_vAle_ko_pakadZavAwA_hE}
agreed to in principle	sixXAnwa_rUpa_se_eixXAnwawa:svIkqwa_aAnA_gayA
air chief marshal	eara_cIPZa_mArSala{vAyu_senA_kA_bahuwa_ucca_aXikArI}
air commodore	eara_kOmodora{vAyu_senA_kA_ucca_aXikArI}
air defense	havAI-bacAva
air force local audit office	vAyusenA_sWAnIya_leKA-parIkRA_kAryAlaya
air hostesses	vimAna_paricArikA{ba.}
all but	Coda_kara_saba[lagaBaga]
all over	pUre_[->meM]
all right	TIka_[hE]
allotment letter	AvaMtana-pawra
allotment of fund	niXi-AbaMtana
allotment order	AvaMtana-AxeSa
ambiguous grammar	s@MAxigXa_vyAkaraNa
ambiguous reference	s@MAxigXa_saMrxaBa
ammunition chest	golA-bArUxa_petI
analytical cubism	viSleRaNAwmaka_GanaciwraNa_SElI_.
anglo catholic	IsAI{kEWolika_mawa_ke}
annual letting value	vArRika_BArataka_(kirAyA)_mUlya
ansi screen control	e0_ena0_esa0_AI0_parxA_niyaMwraka
answer delay	u
answer lamp	u
appointing authority	niyukwi-parAXikArI
articulation point	s@MAXi_binxu
assistant water softening inspector	sahAyaka_jala-mqxukaraNa_nirIkRaka
asymmetric i\
at heart	hqxaya_se[xila_se]
at leisure	ArAma_se{jaba_samaya_ho_wo}
at length	viswAra_se^kAPI_samaya_bAxa
at sea	samuxra_para[->ulaJana_meM]
at variance with	se_iBa_a@Zna
attachment order	kurkI@Z_AxeSa
aubsistence allowance	nirvAha-BawwA
aubsistence grant	nirvAha-anuxAna
audible alarm	Sravya_s@MAcewaka
audible feedback	qqqqqSravya_paSca_BaraNa
audio CD	Sravya_sI0@dI0
audio response message	Sravya_anukriyA_s@MAxeSa
auto limitation	Awma-niyanwraNa
automated office storage	svacAliwa_kAryAlaya_B@MAdAraNa
automatic borrowing rights	svawa:uXAra_lene_ke_aXikAra
automatic credit guarantee scheme	svawa:upalabXa_qNa_gAraMtI_yojanA
automatic licence	svawa:prApwa_lAiseMsa
automatic message accounting	svawaH_s@MAxeSa_leKAMkana
automatic message routing	svawaH_s@MAxeSa_anumArgaNa
automatic refinance scheme	svawa:punarvwwi_yojanA
automatic replenishment system	svawa:puna:pUrwi_praprAlI
automatic wage progression	svawa:majZaxUrI_vqxXi
automotive engineering	motara-vAhana_aBiyAnwrikI
automotive technology	motara-vAhana_kI_wakZanIkZa
autumnal equinox	Saraxa_viRuva{23_siwambara}
baby carriage	baccA_gAdZI{prEma}
baby talk	bacce_ke_samAna_bolanA{sarala_SabxoM_Ora_vAkyoM_meM}
bachelor of science	vijFAna-snAwaka
back less	binA_pITa_vAlA{kapadZA}
back up	sahArA_xenA[prawi_banAnA{kampyUtara}]
balance keeper	SaWazRa_(rASi)_rakRaka
balanced proposals	saMwuliwa-bajata
ballet dancer	nqwyanAtikA_narwakI_.
banking hours	bEMka_kA_kArya-samaya
barometric pressure	vAyu-xAba
barred by time	kAla-varjiwa
bath tub	hOjZa{nahAne_kI}
bathtub gin	snAna-kuNda_jina
baton rouge	kufkumI_CadZI^lipastika
beach ball	geMxa{samuxrawata_para_KelI_jAne_vAlI}
beach buggy	bIca_bagI{samuxrawata_para_xOdaWaUAyA_jAnevAlA_svacAliwa_vAhana}
bean blight	PalI__aMgamArI
beat out	bajAnA{Dolaka_iwyAxi}[hatAnA]
best seller	badZI_mAwrA_meM_bikanevAlA{puswaka}
bills of exchange rediscounted and outstanding	puna:BunAye_gaye_Ora_bakAyA_vinimaya_bila
binary relation	xviy@MAkI_saMbaMXa
bitter dock	kaduvA_cilamodA_(bUtI)
black bread	kAlI_rotI{Cene_ko_jalAkara_banI_miTAI}
black bryony	kAlI_brAyanI{lawA}
black holes	kqRNa_vivara{ba.}
block multiplexer	avaroXI_guNaka_(blOYka_saMkewaka)
blow off's	PUzkanA[>udZanA]^XakkA[>GUzsA]{ba.}+kA
blow off	PUzkanA[>udZanA]^XakkA[>GUzsA]{@s}
blue-green algae	nIla-hariwa_SEvAla
bog down	xabanA{xalaxala_meM}
boiler supervisor	bAEYyalara_paryavekRaka_
book fair	puswaka-melA
bound to	bazXA_huA^bAXya
breach of agreement	kZarAra-BaMga
breach of contract	saMvixA-BaMga
breach of discipline	anuSAsana-BaMga
breach of law	viXi-BaMga
breach of privilege	viSeRAXikAra-BaMga
breach of trust with fraudulent intent	kapatI_irAxe_ke_sAWa_viSvAsa-BaMga
breach of trust	viSvAsa-BaMga
break through	nayA^mahawwvapUrNa_AviRkAra
brush cut	buruSa_Akqwi_kI{xADZI}
bubble gum	bulabule_vAlI_cOYkaleta{miTAI}
buffer i\
building block	imArawa_banAne_ke_tukadZe{Kela_meM}
building blocks	nirmANa_ikAI{@s}
bulk indent	Woka_mAzga-pawra
bullock cart's	bEla_gAdI+kA
bullock cart	bEla_gAdI{0}
bullock carts	bEla_gAdI_{@s}
bureaucratic procedure	aXikAra-wanwra-saMbaMXI_prakriyA
business like	vyAvahArika[kAryakuSala]
by the time	jaba_waka[ke_pahale{+boundary}]
cabinet member	maMwrimaMdala-saxasya
cabinet secretariat	maMwrimaMdala-sacivAlaya
car refreshment room manager	yAna_upAhAra-kakRa_prabaMXaka
carriage of records	aiBaleKoM_MikAdor@M_kA_vAhana
case is resubmitted as directed on prepage	pUrva_pqRTa_para_nixeSAnusAra_mAmalA_puna:praswuwa_hE
cast down	hawowsAhiwa_[kara[wAhE]{_3.e.}]
casting lots	BAgya_ke_xvArA_nirNaya_BAgya-pawraka_prayoga_kara_ke_(winakA_yA_pawWara_Axi)_PeMkakara_yA_uTAkara
caution money	avaXAna-rASi
cease fire's	yuxXavirAma+kA
cease fire	yuxXavirAma{0}
cease fires'	yuxXavirAma{ba.}+kA
cease fires	yuxXavirAma{@s}
cedar elm	xevaxAra_kA_pedZa@Z
central government	keMxrIya-sarakAra
central leather research institute	keMxrIya_carma-anusaMXAna_saMsWAna
central mechanical engineering research institute	keMxrIya_yAMwrika-iMjIniyarI-anusaMXAna_saMsWAna
central salt and marine chemicals research institute	keMxrIya_namaka_Ora_samuxrI-rasAyana_anusaMXAna_saMsWAna
central scientific instruments organisation	keMxrIya_vEjFAnika-yaMwra_saMgaTana
central social welfare board	keMxrIya_samAja-kalyANa_maMdala
certified copy	pramANIkqwa-prawi
chain reaction	SrqMKaliwa[SqMKalAbaxXa]_prawikriyA
channel control block	cEnala_niy@MAwraNa_KaMda
charge relinquishment	kAryaBAra-wyAga
charge report	kAryabAra-riporta
charge sheet	Aropa-pawra
chief auditor	muKya_leKA-parIkRaka
chief grainshop inspector	muKya_KAxyA_A@Zna_xukAna_nirIkRaka
chief producer	muKZya_pra_a@ZwuwakarwA
chief trade instructor	muKZya_@OZyavasAya_anuxeSaka
chief yard master	muKZya_yArda_mA_A@Ztara
city magistrate	nagara_maji_i@Ztreta
civil and session court	sivila_Ora_sESa_a@Zsa_@UZyAyAlaya
civil armament and production	sivila_ArmAme_e@Zta_waWA_upAxana_nixeSAlaya
civil aviation	nAgara-vimAnana
civil construction wing	sivila_nirmANa_@LZkaMXa
claim form	xAvA_prapawra_a@ZArma
class struggle	sAmAjika-mawaBexa
class war	sAmAjika-mawaBexa
class warfare	sAmAjika-mawaBexa
clay built	miwattI_kA[>kaccA]
climb down's	caDZanA{ba.}+kA
climb down	uwara_AnA{nIce}
close down's	pAsa`[<banxa_karanA2]{ba.}+kA
close down	pAsa`[<banxa_karanA2]{@s}
close relations	GaniRta_saMbaMXa_{@s}
close shave	kuCa_pAnA_(bAla-bAla_baca_nikalanA)
co accused	saha-aBiyukwa
co education	saha-SikRA
co examiner	saha-parIkRaka
co existence	saha-aswiwva
co heir	saha-vArisa
co member	sahayojiwa-saxasya
co operate	sahakArya_karanA{0}
co operated	sahakArya_karanA_{@ed
co operates	sahakArya_karanA_{@s}
co operating	sahakArya_karanA_{@ing}
co operation's	sahakAra+kA
co operation	sahakAra{0}
co operations'	sahakAra{ba.}+kA
co operations	sahakAra{@s}
co operative's	sahakArI+kA
co operative	sahakArI[-]
co operatives'	sahakArI{ba.}+kA
co operatives	sahakArI{@s}
co opt	sahayojiwa-karanA
cold blooded	TaMde_KUnavAlA[nirxayI]
combat intelligence	yuxXa-sUcanA
common divisor	(gaNiwa_meM)sArvaguNana_viBAjaka
common sense	sahaja_jFAna^sAmAnya_jFAna
communication tool box	s@MAcAra_OjAra_petI
communications technology	saMcAra-vyavasWA_wakZanIkZa
comparable with	wulanIya[wulya]
competent letter	sakRama-prAXikArI
complex number	jatila_saMKyA[aMka]
concerned file	saMbaMXiwa-misila
concerned section	saMbaMXiwa-anuBAga
consultant in obstetrics and gynaecology	prasUwi_Ora_@LwrIroga_parAmarSaxAwA
cook up's	pakAnA{ba.}+kA
cook up	pakAnA{@s}
county town	kAuNtI_praSAsana_kA_aXiRTAna{kexra}
creamy layer	navo_o@Znawa_varga
cross purposes	paraspara_viroXa{ba.}
cross section	@X_BAga
csma\
cup final	kapa_vijewA{PutabAla_Kela_meM}
cut in	kAtanA{@s}
cut motion	katOwI-praswAva
cytological assistant	koSikAvijFAna_sahAyaka_
date of superannuation	nivarwana-wiWi
date palm	KajUra_[kA_pedZa]
date place	janma-sWAna
date rate	janma-xara
date stamp	wArIKZa-mohara
day time's	xina_ke_samaya+kA
day time	xina_ke_samaya{0}
day times'	xina_ke_samaya{ba.}+kA
day times	xina_ke_samaya{@s}
de escalation	wIvrawA_meM_kamI{yuxXa_kI}
