#Structure_of_the_file:
#English-compound-word	Hindi-meaning	Hindi-paxasUwra	category	Head_position	Root/Word-meaning(meaning-type)
,_in_short_,	saMkRipwa_meM#saMkRipwa_meM#noun#4#RM
,_that_is_,	yAne_ki#yAne_ki#noun#4#RM
A_fighting_chance	kArya_kI_saPalawA_kI_WodZI_ASA#kArya_kI_saPalawA_kI_WodZI_ASA#noun#3#RM
Acacia_catechu	babUla_prajAwi#babUla_prajAwi#noun#2#RM
Accept_policy	svIkAra_nIwi#svIkAra_nIwi#noun#2#RM
Access_index	aBigama_sUcaka#aBigama_sUcaka#noun#2#RM
Access_line	aBigama_lAina#aBigama_lAina#noun#2#RM
Access_matrix	aBigama_AvyUha#aBigama_AvyUha#noun#2#RM
Access_method	aBigama_viXi#aBigama_viXi#noun#2#RM
Access_method_routine	aBigama_viXi_nemakA#aBigama_viXi_nemakA#noun#3#RM
Access_mode	aBigama_viXA#aBigama_viXA#noun#2#RM
Access_name_table	aBigama_nAma_sAraNI#aBigama_nAma_sAraNI#noun#3#RM
Access_path	aBigama_paWa#aBigama_paWa#noun#2#RM
Access_privilege	aBigama_viSeRAXikAra#aBigama_viSeRAXikAra#noun#2#RM
Access_right	aBigama_aXikAra#aBigama_aXikAra#noun#2#RM
Access_scan	aBigama_kramavIkRaNa#aBigama_kramavIkRaNa#noun#2#RM
Access_security	aBigama_surakRA#aBigama_surakRA#noun#2#RM
Access_server	aBigama_parisevaka#aBigama_parisevaka#noun#2#RM
Access_structure	aBigama_saMracanA#aBigama_saMracanA#noun#2#RM
Access_time	aBigama_kAla#aBigama_kAla#noun#2#RM
Access_unit	aBigama_ekaka#aBigama_ekaka#noun#2#RM
Account_number	KAwA_saMKyA#KAwA_saMKyA#noun#2#RM
Account_package	leKA_pEkeja#leKA_pEkeja#UNDEFINED#1#RM
Acknowledge_frame	aBisvIkAra_Prema#aBisvIkAra_Prema#noun#2#RM
Acoustic_coupler	Xvanika_yugmaka#Xvanika_yugmaka#noun#2#RM
Acoustic_coupling	Xvanika_yugmana#Xvanika_yugmana#noun#2#RM
Acoustic_delay_line	Xvanika_vilaMba_lAina#Xvanika_vilaMba_lAina#noun#3#RM
Acoustic_digitizer	Xvanika_aMkaka#Xvanika_aMkaka#noun#2#RM
Acoustic_memory	Xvanika_smqwi#Xvanika_smqwi#noun#2#RM
Acoustic_modem	Xvanika_moYdema#Xvanika_moYdema#noun#2#RM
Acoustic_signal	Xvanika_saMkewa#Xvanika_saMkewa#noun#2#RM
Acoustic_storage	Xvanika_BaMdAraNa#Xvanika_BaMdAraNa#noun#2#RM
Act_of_honour	mAnArWa_svIkqwi#mAnArWa_svIkqwi#noun#1#RM
Active_data_dictionary	sakriya_AMkadZA_koSa#sakriya_AMkadZA_koSa#noun#3#RM
Add_file	yoga_saMcikA#yoga_saMcikA#noun#2#RM
Add_in_program	progrAma_aXiyoga#progrAma_aXiyoga#noun#3#RM
Add_mode	yoga_viXA#yoga_viXA#noun#2#RM
Add_operation	jodZa#jodZa#noun#2#RM
Add_strip	yoja_pattI#yoja_pattI#noun#2#RM
Add_time	saMkalana_kAla#saMkalana_kAla#noun#2#RM
Addition_attribute	yoja_guNa#yoja_guNa#noun#2#RM
Addition_record	yoga_aBileKa#yoga_aBileKa#noun#2#RM
Addition_table	yoga_sAraNI#yoga_sAraNI#noun#2#RM
Address_book	pawA_puswaka#pawA_puswaka#noun#2#RM
Address_bus	pawA_basa#pawA_basa#noun#2#RM
Address_calculation_sort	pawA_kalana_CAMta#pawA_kalana_CAMta#noun#3#RM
Address_code	pawA_kUta#pawA_kUta#noun#2#RM
Address_command	pawA_samAxeSa#pawA_samAxeSa#noun#2#RM
Address_computation	pawA_aBikalana#pawA_aBikalana#noun#2#RM
Address_constant	pawA_acara#pawA_acara#noun#2#RM
Address_conversion	pawA_rUpAMwaraNa#pawA_rUpAMwaraNa#noun#2#RM
Address_data	pawA_AMkadZA#pawA_AMkadZA#noun#2#RM
Address_effective	praBAvI_pawA#praBAvI_pawA#noun#2#RM
Address_field	pawA_kRewra#pawA_kRewra#noun#2#RM
Address_file	pawA_saMcikA#pawA_saMcikA#noun#2#RM
Address_format	pawA_saMrUpa#pawA_saMrUpa#noun#2#RM
Address_free_program	pawA_rahiwa_kramAxeSa#pawA_rahiwa_kramAxeSa#noun#3#RM
Address_generator	pawA_janaka#pawA_janaka#noun#2#RM
Address_interlacing	pawA_aMwagraWana#pawA_aMwagraWana#noun#2#RM
Address_line	pawA_paMkwi#pawA_paMkwi#noun#2#RM
Address_mapping	pawA_prawiciwraNa#pawA_prawiciwraNa#noun#2#RM
Address_mapping_table	pawA_prawiciwraNa_sAraNI#pawA_prawiciwraNa_sAraNI#noun#3#RM
Address_mark	pawA_cihna#pawA_cihna#noun#2#RM
Address_mask	pawA_AvaraNa#pawA_AvaraNa#noun#2#RM
Address_modification	pawA_Aparivarwana#pawA_Aparivarwana#noun#2#RM
Address_pointer	pawA_saMkewaka#pawA_saMkewaka#noun#2#RM
Address_register	pawA_paMjI#pawA_paMjI#noun#2#RM
Address_resolution	pawA_viGatana#pawA_viGatana#noun#2#RM
Address_signal	pawA_saMkewa#pawA_saMkewa#noun#2#RM
Address_size	pawA_AmApa#pawA_AmApa#noun#2#RM
Address_space	pawA_sWAna#pawA_sWAna#noun#2#RM
Address_space_identifier	pawA_sWAna_aBijFApaka#pawA_sWAna_aBijFApaka#noun#3#RM
Address_stop	pawA_virAma#pawA_virAma#noun#2#RM
Address_strategy_module	pawA_yukwi_moYdayUla#pawA_yukwi_moYdayUla#UNDEFINED#1#RM
Address_trace	paricaya_anureKa#paricaya_anureKa#UNDEFINED#1#RM
Address_translation	pawA_anuvAxa#pawA_anuvAxa#noun#2#RM
Address_translator	pawA_anuvAxaka#pawA_anuvAxaka#noun#2#RM
Adjust_text_mode	samAyojya_pATyAMSa_viXA#samAyojya_pATyAMSa_viXA#noun#3#RM
Advance_interactive_executive	unnawa_aMwara_kriyA_kAryapAlaka#unnawa_aMwara_kriyA_kAryapAlaka#noun#3#RM
Advance_program_to_program_communications	unnawa_progrAmaSaHsaMcAra#unnawa_progrAmaSaHsaMcAra#noun#5#RM
Advance_set_up_option	unnawa_vyavasWA_vikalpa#unnawa_vyavasWA_vikalpa#noun#4#RM
Algorithm_language	elgoriWma_BARA#elgoriWma_BARA#noun#2#RM
Algorithm_routine	kalana_viXi_nemakA#kalana_viXi_nemakA#UNDEFINED#1#RM
Algorithm_theory	elgoriWma_sixXAMwa#elgoriWma_sixXAMwa#noun#2#RM
All-purpose_computer	sarvoxxeSIya_aBikaliwra#sarvoxxeSIya_aBikaliwra#noun#2#RM
Alma_Mater	jahAz_SikRA_pAI_vaha_saMsWA#jahAz_SikRA_pAI_vaha_saMsWA#noun#2#RM
Alpha_test	ElPA_parIkRaNa#ElPA_parIkRaNa#noun#2#RM
Alphanumeric_character	akRarAMkIya_saMprawIka#akRarAMkIya_saMprawIka#noun#2#RM
Alphanumeric_character_set	akRarAMkIya_saMprawIka_samuccaya#akRarAMkIya_saMprawIka_samuccaya#noun#3#RM
Alphanumeric_code	akRarAMkIya_kUta#akRarAMkIya_kUta#noun#2#RM
Alphanumeric_coded_character_set	akRarAMkIya_kuriwa#akRarAMkIya_kuriwa#noun#4#RM
Alphanumeric_data	akRarAMkIya_AMkadZA#akRarAMkIya_AMkadZA#noun#2#RM
Alphanumeric_display_device	akRarAMkIya_praxarSa_yukwi#akRarAMkIya_praxarSa_yukwi#noun#3#RM
Alphanumeric_edited_character	akRarAMkIya_saMpAxiwa_saMprawIka#akRarAMkIya_saMpAxiwa_saMprawIka#noun#3#RM
