#TODO ::	Hindi meaning spellings need to be checked
#Giving category as 'UNKNOWN' for the words whose category is not known
#######################################################################
#Eng-wrd_Category	IIT-Bombay/Shabdanjali meaning
########################################################################
A_noun	e
A-OK_adjective	ekaxama_TIka
A-level_noun	ucca_swarIya
A-one_adjective	sarvaSreRTa
A-road_noun	muKya_mArga
A.D._adverb	EdI
A1_adjective	SAnaxAra/bahuwa_hI_acCA
AA_noun	e_e
AB_noun	kalA_snAwaka
ABC_noun	varNamAlA/prAWamika_jFAna
ABC's_noun	prAWamika_jFAna
ABCs_noun	prAWamika_jFAna
ABLS_noun	e_bI_ela_esa
ABS_noun	Ebsa
AC_noun	esI/es
ACAS_noun	EkAsa
ACC_noun	e_sI_sI
ACE_noun	alAida_kamAMda_yUropa
AD_adverb	EdI
ADC_noun	e_dI_sI
AGM_noun	e_gI_ema
AI_noun	e._AI.
AIDS_noun	edsa/edsa{bImArI}
ANO_noun	e_ena_o
ANSI_noun	ANSI
APR_noun	e_pI_Araa
ASA_noun	e_esa_ea
ASCII_noun	EskII
ASG_noun	e_esa_jI
ATL_noun	ATlY
AV_adjective	e_vI
AWACS_noun	avEksa
Ab_noun	oYba
Abadan_noun	abAxAna
Abdias_noun	ebdAyasa
Abel_noun	ebala
Aberdeen_noun	EbaradIna
Abidjan_noun	abijAna
Abies_noun	xevaxAra
Abo_noun	oYstreliyAI_AxivAsI
Abor_noun	ebOra
Aboriginal_adjective	oYstreliyAI_AxivAsiyoM_kA
Aboriginal_noun	oYstreliyAI_AxivAsI
Aborigine_noun	oYstreliyAI_AxivAsI/mUla_nivAsI
Abraham_noun	abrAhama
Abruzzi_noun	abrUjZI
Abuja_noun	abUjA
Abukir_noun	abUkIra
Abydos_noun	abAidOsa
Abyssinia_noun	abisIniyA
Abyssinian_noun	abisIniyAI
Ac_noun	esII
Acadia_noun	akediyA
Acadian_adjective	akediyAI
Acadian_noun	akediyAI
Acapulco_noun	akEpulko
Accho_noun	Eko
Accra_noun	AkarA
Achaean_noun	akIyAvAsI/akIyAI
Achaian_noun	akIyAvAsI/akIyAI
Acheron_noun	EkarOna
Acheronian_adjective	EkarOnI
Acherontic_adjective	EkarOnI
Acheson_noun	Ekisana
Achilles_noun	akilIjZa
Achromycin_noun	EkromAisina
Acinonyx_noun	Esinoniksa
Acre_noun	ekara
ActiveX_noun	Ektiva-eksa
Adam_noun	Edama/Axama
Adhan_noun	ajZAna
Adrenalin_noun	Edrinalina
Advent_noun	IsA_masIha_kA_xubArA_Agamana/IsA_masIha_kA_pqWvI_para_Agamana
Afghan_noun	aPZagAnI/aPZagAn/aPagAnavAsI/aPagAniswAnI_BARA
Afghan-hound_noun	laMmbe_bAlo_vAlA_kuwwA
Afghani_noun	aPZagAnI
Afghanistani_noun	aPZagAnIvAsI
Africa_noun	aPZrIkA
African_adjective	aPZrIkI/aPrIkI
African_noun	aPZrIkI/aPrarIkI_loga
African-American_adjective	amarIkI_kAlI_jAwi_kA
African-American_noun	amarIkI_kAlA_AxamI
Afrikander_noun	aPZrikEnI
Afrikaner_noun	aPZrikEnI
Afro_noun	EPZro
Afro-American_adjective	amarIkI_kAlI_jAwi_kA
Afro-American_noun	amarIkI_kAlA_AxamI
Agriculture_noun	kqRi-viBAga
Aids_noun	edsa
Air-Chief-Marshal_noun	eara_cIPZa_mArSala{vAyu_senA_kA_bahuwa_ucca_aXikArI}
Air-Commodore_noun	eara_kOmodora{vAyu_senA_kA_ucca_aXikArI}
Air-Vice-Marshal_noun	eara_vAisa_mArSala{vAyu_senA_kA_ucca_aXikArI}
Airbus_noun	vAyu-basa/havAI-basa
Akaba_noun	akAbA
Akka_noun	EkA
Akko_noun	Eko
Allah_noun	allAha
Alma-Mater_noun	jahAz_SikRA_pAI_vaha_saMsWA
Almighty_noun	ISvara
Alsatian_noun	alseSiana/eka_prakAra_kA_kuwwA
Alzheimer's-disease_noun	mAnasika_bImArI{jisameM_vyakwi_kI_yAxASwa_evaM_bolane_kI_Sakwi_calI_jAwI_hE}
America_noun	amarIkA
American_adjective	amarIkI
American_noun	amarIkI/amarIkA_vAsI
Americana_noun	amarIkI_vaswu
