#administrative dictionary extracted by Shubangi. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
abandonment_noun	pariwyAga
abate_noun	upaSamana_karanA/upaSamana_honA/kamI_karanA/kamI_honA
abatement_noun	upaSamana/kamI
abbreviation_noun	saMkRipwi
abdicate_noun	paxa_wyAga_xenA
abduction_noun	apaharaNa/BagA_le_jAnA
abet_noun	xuRpreriwa_karanA
abettor_noun	xuRpreraka
abeyance_noun	prAsWagana
ability_noun	yogyawA
able_noun	yogya
abnormal_noun	apasAmAnya
abolition_noun	unmUlana
aboriginal_noun	AxivAsI
abridge_noun	kama_karanA_(jEse_Sakwi)/saMkRipwa_karanA_(jEse_riporta)
abridgement_noun	saMkRepaNa/kamI_(jEse_Sakwi)
abrogate_noun	nirAkaraNa
abrogation_noun	nirAkaraNa
absconder_noun	PZarAra/PZarArI
absence_noun	anupafsWfAwa/gErahAjLrI/aBAva
absentee_noun	anupasWiwa/gZErahAjLra
absolve_noun	vimukwa_karanA
absorb_noun	Amelana/avaSoRaNa_karanA
absorption_noun	Amelana/avaSoRaNa
abstain_noun	pravirawa_rahanA
abstract_noun	sAra
abstractor_noun	sArakarwA
absurd_noun	arWahIna/bewukA
absurdity_noun	arWahInawA/bewukApana
abuse_noun	xurupayoga
academic_noun	akAxamika/SEkRaNika/vixyA_saMbaMXI/SAswrIya
academician_noun	vixyAvix
academics_noun	vixyAvix
academy_noun	akAxamI
accede_noun	mAna_lenA/aXimilana
acceleration_noun	wvaraNa
accept_noun	svIkAra_karanA/mAnanA
acceptability_noun	svIkAryawA
acceptable_noun	svIkArya
acceptance_noun	svIkqwi/prawigrahaNa_(viXi)
access_noun	pahuca
accession_noun	rAjyArohaNa/paxArohaNa/parigrahaNa/aXimilana
accessory_noun	anuRaMgI/upasAXana
accident_noun	xuGaZtanA/saMyoga
accidental_noun	Akafsmaka
acclimatization_noun	paryanukUlana
accommodation_noun	AvAsa/nirvAha
accompanist_noun	saMgawakAra
