#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#	   3) Added category as 'noun' by default
#Added  :: By Roja Lakshmi (06-11-14)	
#######################################
abundant_noun	pracura/BarapUra
adoption_noun	anukUlana
agri-input_noun	kqRi_niveSa
agronomy_noun	sasyavijFAna
alkaline_noun	kRArIya
alluvial_noun	kaCArI_BUmi
altitude_noun	UzcAI
amla_noun	AMvale
anecdotal_noun	vqwwAMwa
anticipatory_noun	prawyASiwa
aquaculture_noun	maCalIpAlana
atmosphere_noun	vAwAvaraNa
authorize_noun	prAXikqwa
average_noun	Osawa
average_noun	Osawana
beetle_noun	BqMga_kIta
biological_noun	jOvika
bio-manure_noun	jOvika_KAxa
capital_noun	pUzjI
castor_noun	araNdI
cattle_noun	paSuXana
classification_noun	vargIkaraNa
clinical_noun	nOxAnika
cocoon_noun	kqmikoRa
cognizance_noun	saMjFAna
communication_noun	saMparka/saMcAra
complexity_noun	saMkliRtawA
components_noun	Gataka
constraints_noun	adacana
consumption_noun	Kapawa
contingent_noun	sAMyogika
coordinator_noun	saMcAlaka
cotton_noun	kapAsa
creeper_noun	bela
demand_noun	mAzga
dependency_noun	nirBarawA
deployed_noun	PElAyA_gayA
diffusion_noun	prasAra
director_noun	nixeSaka
directorate_noun	nixeSAlaya
dissemination_noun	prasAra
distribution_noun	viwaraNa
diversification_noun	viviXIkaraNa
dripper_noun	dripara
drought_noun	sUKA
dry-land_noun	baMjara_BUmi/baMjara
dwarf_noun	bOnA
ecological_noun	pAriveRika
employment_noun	rojagAra
energy_noun	UrjA
enterprise_noun	uxyoga
ethnographic_noun	mAnavajAwigawa
expenditure_noun	vyaya
export_noun	niryAwa
fact_noun	waWya
floriculture_noun	PUloxyAna
fodder_noun	cArA
fragile_noun	BurI-BurI
fumigation_noun	XUmrIkaraNa
fungicides_noun	kavakanASI
gene_noun	nasla
globalized_noun	BU-maNdalIkqwa
gnarl_noun	pora
godown_noun	BaNdAra
hallow_noun	WoWA
harvest_noun	Pasala
herbicide_noun	SAkanASI
heterogeneity_noun	vijAwIyawA
horticulture_noun	bAgavAnI
import_noun	AyAwa
income_noun	Aya
indigenous_noun	xeSI
induced_noun	preraka
innovation_noun	navIna_kArya
integrated_noun	samAkaliwa
integration_noun	samAkalana
intensity_noun	wIvrawA
intercropping_noun	aMwara_Pasala
investment_noun	niveSa
irrigation_noun	siMcAI
livelihood_noun	jIvikA
livestock_noun	paSuXana
loan_noun	qNa
maize_noun	jvAra/makkaI
malformation_noun	vikqwi
malnutrition_noun	kupoRaNa
management_noun	prabaMXa
marginal_noun	upAMwIya
marketing_noun	vipaNana
microbe_noun	jIvANu
micro-nutrients_noun	sUma_poRaka
milchy_noun	xUXiyA
milky_noun	xUXiyA
mobilization_noun	saMGatana
moisture_noun	namI
mortar_noun	gArA
mushroom_noun	Kumba/kukuramuwwA
ngo_noun	gO_sa_saM_(gOra_sarakArI_saMgaTana)
nursery_noun	narsarI
nutrient_noun	poRka
okra_noun	BiNdI
orientation_noun	pUrvABimuKIkaraNa
orientation_noun	pUrvABimuKIkaraNa
paddy_noun	XAna
parasites_noun	parajIvI
participatory_noun	BagIxArI
pastoral_noun	lobiyA
percentage_noun	prawiSawa
perturbations_noun	avyavasWA
pesticides_noun	kItanASI
pollution_noun	praxURaNa
population_noun	AbAxI
potential_noun	Sakwi
potentialities_noun	kRamawA
produce/yield_noun	pOxAvAra
producer_noun	uwpAxaka
production_noun	uwpAxana
public_noun	sArvajanika
pulses_noun	xalahana
quality_noun	guNavawwA
rate_noun	xAma
rationalization_noun	warkabaxXa_vyAKyA
reforms_noun	suXAra
replacement_noun	prawisWApana
resources_noun	saMsAXana
responsiveness_noun	prawikriyASIla
retailer_noun	Putakara_vyApArI
saline_noun	lavaNIya
salinity_noun	lavaNIya
sandy_noun	rewIlI
seedlings_noun	pOXa
sewage_noun	nikAsa_jala
skills_noun	kOSala
soil_noun	mqxA/mittI
sowing_noun	ropAI
specialist_noun	viSeRajFa
sprinkling_noun	PavvArA_siMcAI
sprouting_noun	aMkuraNa
stakeholders_noun	paNaXArI
staking_noun	sahArA_xenA
stem_noun	wanA
strategies_noun	yojanAeM
subsidy_noun	imaxAxa
supply_noun	ApUrwi
sustainable_noun	tikAU/sawawa
synchronizing_noun	samakAlika/eka_hI_samaya_meM_honA
tendril_noun	kopale
texture_noun	Uwaka
tracing_noun	anureKaNa
transport_noun	parivahana
turf_noun	KarapawavAra
vaccination_noun	tIkI_karaNa
vaporization_noun	vARpowsarjana
variety_noun	kisma
vermicompost_noun	keMcuvA_KAxa
vulnerable_noun	xoRapUrNawA
watershed_noun	jalAgama/jalasaMcayana
weeding_noun	nirAI-gudZAI
wholesale_noun	Woka
abdomen_noun	uxara
abdominal_noun	uxarIya/uxara
abducent_noun	apavarwaka
abiogenesis_noun	jIvowapawwi
abnormal_noun	apasAmAnya
abolish_noun	unmUlana
abrasion_noun	apaGarSaNa
abscess_noun	PodZA
abscission_noun	apacCexana/vilagana
absorption_noun	avaSoRaNa
abundance_noun	bAhulyawA
acacia_noun	akeSiyA
academic_noun	SEkRika
acarology_noun	prawyAyana
accessions_noun	prApwiyAM/vaMSAvaliyAM
acclimatization_noun	paryAnukUlana
accumulation_noun	saMcaya
acecia_noun	ekesiyA
achrosome_noun	SukAgra
acid_noun	amla
acidaemia_noun	amlarakwawA
acidity_noun	amlawA
acquisition_noun	aXigrahaNa
activity_noun	sakriyawA
adaptability_noun	anukUlanaSIlawA/anukUlanIyawA
adaptation_noun	aMgIkaraNa/svIkAra
adaptation_noun	anukUlana
adaptive_noun	anukUlI
adhere_noun	cipakanA
adhering_noun	AsaMjana
