#civil dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a.i.r.a.c._noun	e.AI.Ara.e.sI.
abacus_noun	aMkagaNaka/SIrRaPalaka
abatement_noun	upaSamana
abeam_noun	pUrA_AdZe
abetment_noun	xuRpreraNa
abeyance_noun	AsWagana
ablation_noun	apakRaraNa
ablaze_noun	prajvaliwa
abolish_noun	mitA_xenA/Kawma_karanA
aboriginal_noun	Axima/prAcIna
abrasive_noun	apaGarRI/apaGarRaka
abridgement_noun	saMkRepaNa
abrogation_noun	nirAkaraNa
abrupt_noun	apacCinna/Akasmika
absence_noun	anupasWiwi
absolute_noun	nirapekRa/parama/pariSuxXa
absolve_noun	vimukwa_karanA/xoRa_rahiwa_sixXa_karanA
absorb_noun	sa_o_Ka_nA/avaSa_o_R_A_Na_karanA/avaSa_o_iR_A_wa_karanA
absorber_noun	avaSoRaka
absorption_noun	avaSoRaNa/Amelana/vilayana
abstract_noun	sAra
abutment_noun	anusImA/sAWa_satA_huA
acceleration_noun	wvaraNa
accelerometer_noun	wvaraNamApI
acceptance_noun	svIkqwi
accessory_noun	upasAXana
accident_noun	xurGatanA
acclimatization_noun	parisWiwi-anukUlana/xaSAnukUlana
accord_noun	sa_maJO_wA/praxA_na_karanA/xa_na_e_A/ana
accountability_noun	javAbaxehI
accounting_noun	leKAMkana
accumulation_noun	saMcayana/saMcaya
accumulator_noun	saMcAyaka
accusation_noun	aBiyoga/xoRAropaNa
accuse_noun	aBiyoga_lagAnA/Aropa_lagAnA
accused_noun	aBiyukwa/AropI
across_noun	Ara-pAra
act_noun	kArya/aXiniyama_(vi)
action_noun	kArravAI
activate_noun	uwpreirawa_karanA/sakriya_karanA
active_noun	sakriya
activities_noun	kriyAkalApa/gawiviXiyAM
activity_noun	kriyAkalApa
acton_noun	ektana/EcCika_saMcAlana
actuate_noun	saMcAliwa_karanA/pravarwiwa_karanA/calAnA
adaptation_noun	anukUlana
addendum_noun	pariSiRta/anubaMXa/anuSeRa
