#computer dictionary extracted by Monika Sharma. Formatted by Roja (12-03-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#	   2) English words are converted to lower case
#	   3) Added category as 'noun' by default
#################################################################################
abacus_noun	ginawArA
abort_noun	viPalana
abstract_noun	sArAMSa/amUrwwa
access_noun	aBigama
activation_noun	sakriyaNa
addend_noun	yojya
adder_noun	yojaka
address_noun	pawA
addressing_noun	pawABigamana
algol_noun	elgAla
algorithm_noun	kalana_viXi
alignment_noun	sareKana
allocate_noun	niyawana
analog_noun	anurUpa
and_noun	waWA
architecture_noun	vAswukalA/sWApawya_kalA
archiving_noun	purABaMdAraNa
arguement_noun	svawaMwra_cara
array_noun	saraNI
ascii_noun	AskI
aspect_noun	aBimuKawA
assembler_noun	kodAMwaraka
assembly_noun	kodAMwaraNa
asynchronous_noun	awulyakAlika/awulyakAlI
attenuation_noun	kRINana
attenuator_noun	kRINakArI
attribute_noun	guNa
augened_noun	yojaka
author_noun	saMleKaka
automata_noun	svacala_prarUpa
automation_noun	svacAlana
automatisation_noun	svacAlanIkaraNa
autoplotter_noun	svawa:_AleKiwra
avaibility_noun	prApyawA
b-tree_noun	bI-warU
background_noun	pqRTaBUmi
backgrounding_noun	pqRTaBUmi_saMsAXana
base_noun	AXAra
batch_noun	pracaya
batching_noun	pracayana
baud_noun	bAda
begin_noun	prAraMBana
bibliography_noun	graMWa_sUci
binary_noun	xviAXArI
bipolar_noun	xviXuvI
bistable_noun	xvisWiwika
bisynchronous_noun	xvi_wulyakAlIka
bit_noun	xvayaMka
blinking_noun	timatimAnA
block_noun	KaMdaka
book_noun	pqRTiwa_smqwi
borrow_noun	paScAMka
bouncing_noun	ucCalana
bound_noun	paribaMXa
boundary_noun	parisImA
branch_noun	SAKA
branching_noun	SAKana
break_noun	vicCexa
bridgeware_noun	sewu_sAmagrI
bridging_noun	sewu_baMXana
broadband_noun	viswqwa_bEMda
buffer_noun	cayaka
buffering_noun	cayakana
bug_noun	xoRa
bus_noun	basa
byte_noun	bAita
cache_noun	kESe/xruwikA
calculation_noun	parikalana
calculator_noun	parikaliwra
call_noun	AhavAna
calling_noun	AhavAna
cancel_noun	nirasana
capacity_noun	kRamawA
captured_noun	pragrahaNa
card_noun	pawraka
carry_noun	haswaMgawa_hAsila
cartridge-disk_noun	AgutikA_cakrikA
catalogue_noun	kramAxeSa_sUci
cell_noun	koRtikA
chain_noun	SrqMKalA
chaining_noun	SrqMKalana
channel_noun	praNAla
chip_noun	cipa/patalikA
cipher_noun	bIjaleKa
circuit_noun	paripaWa
citation_noun	ulleKa
class_noun	varga
classification_noun	vargIkaraNa
clear_noun	mArjana
clipping_noun	karwana
clockings_noun	samAyojana
cluster_noun	gucCa
co-resident_noun	sahanivAsI
co-routine_noun	sahanemakA
cobol_noun	kobola
codasyl_noun	kodAsila
code_noun	kUta
coder_noun	kodiwra
collision_noun	saMGatata
column_noun	swaMBa
combination_noun	saMcaya
command_noun	samAxeSa
comment_noun	tippaNI
communication_noun	saMcAra
compandor_noun	saMpIdana_prasAriwra
compatibility_noun	susaMgawi/saMgawawA
compiler_noun	anuBARaka
compilition_noun	anuBARaNa
complement_noun	pUraka
component_noun	Gataka
compress_noun	saMpIdana
computability_noun	aBikalanIyawA
computation_noun	aBikalana
computer_noun	kampyUtara/aBikaliwra
computerization_noun	aBikaliwrIkaraNa
concatenate_noun	saMSrqMKalana
concatenation_noun	saMSrqMKalana
concentrator_noun	saMkenxriwra
concurrent_noun	saMgAmI
conditioning_noun	prawibaMXana/prAnukUlana
configuration_noun	vinyAsa
congestion_noun	saMkulana
connection_noun	saMbaMXana
