#computer science dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
abacus_noun	ebekasa/ninawArA
abort_noun	viPalana
abstract_noun	sArAMSa/amUrwa
abstracting_noun	sArAMSana/amUrwakaraNa/sArAharaNa
accent_noun	uccAraNa_cihna
access_noun	aBigama
accounting_noun	leKA_kArya
accumulator_noun	saMcAyaka
accuracy_noun	pariSuxXawA
acronym_noun	parivarNI_Sabxa
action_noun	kriyA
activation_noun	sakriyaNa
active_noun	sakriya
activity_noun	sakriyawA
adaptability_noun	anukUlanIyawA
adapter_noun	anukUliwra
addend_noun	yojya
adder_noun	yojaka
address_noun	pawA
addressing_noun	pawABigamana
adjacency_noun	saMlagnawA
adjust_noun	samAyojana
aerial_noun	eriyala
aggregate_noun	puMja
algol_noun	ElgoYla
algorithm_noun	kalana_viXi/elgoriWma
alias_noun	apara
aliasing_noun	upaGatana
alignment_noun	sareKaNa
allocate_noun	niyawana
alphabetization_noun	varNAnukramaNa
alphageometrics_noun	akRarAwmaka_jyAmiwikI
alphameric_noun	akRarAMkIya
alphamosaic_noun	alPAmojeka
alphanumeric_noun	akRarAMkIya
altering_noun	parivarwana
analog_noun	anurUpa
and_noun	waWA
annotation_noun	tippaNa
annunciator_noun	AKyApiwra
appendage_noun	anubaMXa
applique_noun	aXiropaNa
arbitration_noun	maXyasWa
architecture_noun	vAswukalA/sWApawyakalA
archiving_noun	purABaMdAraNa
argument_noun	svawaMwra_cara
array_noun	saraNI
ascender_noun	Arohaka
ascil_noun	AskI
aspect_noun	aBimuKawA
assemble_noun	kodZAMwaraNa
assembler_noun	kodAMwaraka
assembling_noun	kodAMwaraNa
assembly_noun	kodAMwaraNa
asynchronous_noun	awulyakAlika/_awulyakAlI
attenuation_noun	kRINana
attenuator_noun	kRINakArI
attribute_noun	guNa
augend_noun	yojaka
augment_noun	saMvarWa
augmenter_noun	saMvarXaka
author_noun	saMleKaka
authoring_noun	saMleKana
authority_noun	prAXikAra
autoanswer_noun	svawaH_uwwariwra
autoflow_noun	svawaH_pravAha
automata_noun	svacala_prarUpa
automation_noun	svacAlana/svacAliwa_yaMwra
automatisation_noun	svacAlanIkaraNa
automaton_noun	svacala_prarUpa
automoniter_noun	svamoYnitara
autoplotter_noun	svawaH_AleKiwra
availability_noun	prApyawA
b-tree_noun	ba-warU
background_noun	pqRTaBUmi
backspace_noun	paScIyana
backspacing_noun	paScIyana
backtracking_noun	paSca_anumArgaNa
backup_noun	pUrwikara
balance_noun	saMwulana/SeRa
band_noun	bEMda/pattI
bandpass_noun	bEMda_pAraka
bandwidth_noun	bEMda_cOdZAI
base_noun	AXAra
basic_noun	besika
batch_noun	pracaya
batching_noun	pracayana
baud_noun	boYdZa
bead_noun	kiraNa_puMja_vikRepaNa
beat_noun	prAraMBana
begin_noun	prAraMBana_KaMdaka
bellfast_noun	belaPAsta
bias_noun	aBinawi
bibliography_noun	graMWa_sUcI
bid_noun	bolI
bifurcation_noun	xviSAKana
binary_noun	xvi-AXArI
binarycoding_noun	xvi-AXArI_kUtaleKana
bind_noun	baMXana
binding_noun	baMXana
bionics_noun	bAyonikI/jEva_ilektrAnikI
bipolar_noun	xviXruvI
bistable_noun	xvisWiwika
bisynchronous_noun	xvi-wulyakAlika
bit_noun	xvayaMya/bita
blank_noun	rikwa
blanking_noun	lopana
blast_noun	sPotana
bleed_noun	sravaNa
blind_noun	aMXa
blinking_noun	timatimAnA
block_noun	KaMdaka
blockette_noun	KaMdikA
blocking_noun	KaMdakIyana/avaroXana
blow_noun	Pullana
blowing_noun	Pullana
book_noun	pqRTiwa_smqwi
bouncing_noun	ucCalana
bound_noun	paribaMXa
boundary_noun	parisImA
branch_noun	SAKA
branching_noun	SAKana
break_noun	vicCexa
bridgeware_noun	sewu_sAmagrI
bridging_noun	sewu_baMXana
bucket_noun	samUha/bakata
buffer_noun	cayaka
buffering_noun	cayakana
bug_noun	xoRa
buggy_noun	baggI
bus_noun	basa
bussback_noun	paScaBaraNa
byproduct_noun	upowpAxa
byte_noun	bAita
cable_noun	kebala
cache_noun	kESe/xruwikA
calculation_noun	parikalana
calculator_noun	parikaliwra
call_noun	AhvAna
calling_noun	Aha_vAna
cancel_noun	nirasana
capacity_noun	kRamawA
capstan_noun	kEpstana/tepacAlaka_cakra
capture_noun	pragrahaNa
card_noun	pawraka/kArda
caret_noun	kErata
carousel_noun	GUrNiwra
carriage_noun	vAhana
carrier_noun	vAhaka
carry_noun	haswaMgawa/hAsila
cartridge_noun	AgutikA
cassette_noun	kEseta/petikA
catalogue_noun	kramAxeSa_sUcI
catena_noun	kEtInA/SqMKalA
catenate_noun	SqMKaliwa
cell_noun	koRTikA
centering_noun	kenxraNa
chad_noun	tikalI
chain_noun	SqMKalA
chaining_noun	SqMKalana
channel_noun	cEnala/praNAla
channel-attached_noun	praNAla_saMlagna
character_noun	saMprawIka
character-deletion-character_noun	saMprawIka-vilopI_saMprawIka
characteristic_noun	aBilakRaNika
chart_noun	saMciwra
chassis_noun	nyAXAra
chip_noun	cipa/etalikA
cipher_noun	bIja_leKa/sAiPara
