#electrical dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#################################################################################
abatement_noun	kamI/upaSamana
abetment_noun	xuRpreraNa
ablation_noun	apakRaraNa
abolition_noun	unmUlana
abrasive_noun	apaGarRI/apaGarRaka
abrupt_noun	apacCinna/Akasmika
absence_noun	anupasWiwi/gErahAjirI
absent_noun	anupasWiwa/gErahAjira
absolute_noun	nirapekRa/parama/pUrNa/carama/pariSuxXa
absorb_noun	avaSoRaNa/samAviRta
absorber_noun	avaSoRaka
absorption_noun	avaSoRaNa/samAveSana
abstract_noun	sAra
abutment_noun	aMwyAXAra/pIlapAyA
abutting_noun	prawisparSI/takkara
accelerate_noun	wvariwa_karanA
acceleration_noun	wvaraNa
accelerator_noun	wvaraka
accelerogram_noun	esilogrAma/wvaraNAreKa
accelerograph_noun	esilogrAPa/wvaraNAleKa
accelerometer_noun	wvaraNamApI
acceptable_noun	svIkArya
acceptance_noun	svIkqwi/maMjUrI
access_noun	pahuMca/aBigama
accession_noun	parigrahaNa
accessory_noun	upasAXana/sahAyaka_upakaraNa
accidental_noun	Akasmika/aprawyASiwa
accord_noun	samaJOwA/praxAna_karanA
accordance_noun	anurUpawA/saMgawi
accordingly_noun	waxanusAra/waxanurUpa
account_noun	leKA/KAwA
accountability_noun	javAbaxehI
accountable_noun	uwwaraxAyI/javAbaxeha
accrue_noun	proxBUwa/upaciwa
accumulate_noun	saMciwa
accuracy_noun	pariSuxXawA/yaWArWawA
accurate_noun	pariSuxXa
acetone_noun	EsItona
acetylene_noun	EsItilIna
acid_noun	wejAba/amla
acquire_noun	upArjana
acquisition_noun	aXigrahaNa
acre_noun	ekadZa
act_noun	aXiniyama/kArya
acting_noun	kAryakArI
activate_noun	sakriya_karanA
active_noun	sakriya/kriyASIla
activity_noun	kAryakalApa/gawiviXi/kriyAkalApa
actuals_noun	vAswavika_AMkadZe
actuated_noun	saMcAliwa/pravarwiwa
actuator_noun	saMcAlaka/pravarwaka
adaptability_noun	anukUlanIyawA
adaptation_noun	anukUlana
adapter_noun	anukUlaka/edeptara
adder_noun	yojaka
additional_noun	awirikwa/apara
additive_noun	yojaka/yojya/yogAwmaka/yogaSIla
adhesion_noun	AsaMjana
adhesive_noun	AsaMjaka/cipakAneM_vAlA_paxArWa
adit_noun	praveSa_suraMga/edita
adjacent_noun	nikatavarwI/Asanna
adjoining_noun	samIpavarwI/satA_huA
adjourned_noun	sWagiwa
adjustable_noun	samAyojya
administer_noun	praSAsana_karanA/xenA/xilAnA
admittance_noun	praveSyawA
adoption_noun	aMgIkaraNa
advice_noun	salAha
aeration_noun	vAyumiSraNa/vAwana
aerial_noun	eriyala
aerodynamic_noun	vAyugawika
affidavit_noun	SapaWa-pawra/halaPZanAmA
affiliate_noun	saMbaxXa_karanA
afflux_noun	pravAha/bahAva
afforestation_noun	vanaropaNa/vanIkaraNa
ageing_noun	kAlapraBAvana
agitation_noun	AMxolana/vilodana/prakRoBana
agitator_noun	vilodaka/prakRoBaka
agreement_noun	karAra/anubaMXa
airfoil_noun	vAyupawraka
airless_noun	vAyu_rahiwa
alarm_noun	alArma
align_noun	sIXa_milAnA/saMreKaNa
alignment_noun	saMreKaNa
alkali_noun	kRAra
alkaline_noun	kRArIya
allocate_noun	niyawa_karanA/nirXAriwa_karanA
allocation_noun	niyawana
alloy_noun	miSraXAwu/eloYya
alluvial_noun	jaloDZa
alluvium_noun	jaloDZaka
alternating_noun	prawyAvarwI
alternator_noun	prawyAvarwaka/oYltaranetara
altitude_noun	uccawA/UMcAI
alum_noun	PitakarI
alumina_noun	EluminA
amalgamation_noun	samAmelana
ambient_noun	pariveSI
ammeter_noun	EmItara/XArAmApI
ammonia_noun	amoniyA
ampere_noun	Empiyara
amplidyne_noun	EmplIdAina
amplification_noun	pravarXana
amplifier_noun	pravarXaka/EmplIPAyara
amplitude_noun	AyAma
analogous_noun	anurUpa
analogue_noun	anurUpa
analyser_noun	viSleRaka
analysis_noun	viSleRaNa
anemometer_noun	enemomItara/vAyu_vega_mApI
angle_noun	koNa
angular_noun	koNIya
annular_noun	valayAkAra
annunciation_noun	Xvani_saMkewa
anode_noun	Enoda
antenna_noun	EMtInA
anti-termite_noun	xImakaroXI
anticlockwise_noun	vAmAvarwa
antimetry_noun	prawimApana
aperture_noun	Cixra
apparatus_noun	upakaraNa
appliance_noun	upasAXana
aquaplane_noun	ekvAplena
aquatic_noun	jalIya
aqueduct_noun	jalasewu
aqueous_noun	jalIya
aquifer_noun	jalavAhI_swara/jalaxAyI_swara
arc_noun	cApa/Arka/vqwwaKaNda
arch_noun	dAta/meharAba
area_noun	kRewra/kRewraPala
arid_noun	SuRka
armature_noun	Armecara
armour_noun	kavaca
