#geography dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#	   4) Removed information present in  ( ) Ex: Ababdeh abEbade (janajAwi)
		to	ababdeh_noun    abEbade
#################################################################################
ababdeh_noun	abEbade
ababula_noun	AbAbUlA
abate_noun	kama_honA
abbreviated_noun	saMkRipwa_SIrRaka
aberration_noun	aperaNa/vipaWana
abime_noun	viwwala
ablation_noun	apakRaraNa/apakRaraNAvaSeRa
abnormal_noun	apasAmAnya
abo_noun	Abo
aboriginal_noun	AxivAsI/_Axima
aborigince_noun	AxivAsI
abrade_noun	apagarRaNa
abri_noun	EbrI
abridgement_noun	saMkRepaNa/saMkRipwi
abrogation_noun	nirAkaraNa
absolute_noun	nirapekRa/carama
absolute-zero_noun	parama_SUnya
absondaring_noun	ebesandErana
absorber_noun	avaSoRI/avaSoRaka
absorption_noun	avaSoRaNa
absorptive_noun	avaSoRI/avaSoRaka
absorptivity_noun	avaSoRyawA/avaSoRakawA
abstract_noun	sAra
abysm_noun	niwala
abyss_noun	viwala/awala
abyssobenthic_noun	EbisobeMWika/viniwalasWa
acacia_noun	EkeSiyA
acanoeing_noun	doMgI_cAlana
acanthephyra_noun	EkEnWePZirA
accelerated_noun	wvariwa
accelerating_noun	wvaraka
acceleration_noun	wvaraNa
accelerogram_noun	wvaraNaleKa
accelerograph_noun	wvaraNaleKI
accelerometer_noun	wvaraNamApI
accent_noun	uccAraNa_cihna
accentuated_noun	viSiRta
accentuation_noun	viSiRtIBavana
access_noun	aBigama/aBigamyawA
accessibility_noun	aBigamyawA
accession_noun	parigrahaNa
accident_noun	saMyoga/GatanA/xurGatanA
accidental_noun	saMyogI/Akasmika/Aganwuka
accidented_noun	UbadZaKAbadZa/viRama
acclimatement_noun	paryanukUlana/paryanukUlAByAsa
acclimatisation_noun	paryanukUlana/xaSAnukUlana
acclimatization_noun	paryanukUlana/xaSAnukUlana
accommodation_noun	vAsa
accompaniment_noun	saMgawa
accordance_noun	uccawAsaMgawi
accordant_noun	saMgawa
accordant-junction_noun	saMgawa-saMgama
accoutrement_noun	sAja-sajjA
