#it dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
a-transducer_noun	e_trAMsdyUsara
abacus_noun	ebekasa/ginawArA
abandon_noun	pariwyAga
abnormal_noun	apasAmAnya
abort_noun	viPalana
absolute_noun	nirapekRa
abstract_noun	amUrwa
abstraction_noun	amUrwana
accent_noun	svarAGAwa/balAGAwa
accept_noun	sxyAIkAra
access_noun	aBigama
accessory_noun	sahayaMwra
account_noun	leKA
accounting_noun	leKA_kArya/leKAMkana
accumulator_noun	saMcAyaka
accuracy_noun	pariSuxXawA/yaWArWawA
acm_noun	e_sI_ema
acronym_noun	parivaNIr_Sabxa/saMkRipwa_rUpa/laGu_rUpa
action_noun	kriyA
activation_noun	sakriyaNa
activator_noun	sakriyaka
active_noun	sakriya
activity_noun	sakriyawA
actuator_noun	pravarwaka
acyclic_noun	acakrIya
adaptability_noun	anukUlanIyawA
adapter_noun	anukUlaka/anukUliwra
adaptive_noun	anukUlaka
addend_noun	yojya
adder_noun	yojaka
addition_noun	yoga/saMkalana
address_noun	pawA/saMboXana
addressability_noun	pawAyogyawA/saMboXanIyawA
addressable_noun	pawAyogya
addressing_noun	pawABigamana/(pawA_aBigamana)
addressless_noun	pawArahiwa
adj_noun	e_dI_je
adjacency_noun	saMlagnawA/AsannawA
adjoint_noun	saMlagna
adjudication_noun	aXinirNayana
adjust_noun	samAyojana
admin_noun	praSAsana
administrative_noun	praSAsanika
administrator_noun	prabaMXaka
adopter_noun	anukUlaka
adp_noun	e_dI_pI
advantage_noun	lABa
advertising_noun	vijFApana
aerial_noun	eriyala
agent_noun	karmaka
aggregate_noun	samuccaya
aggregation_noun	samuccayana
alarm_noun	sacewaka
alert_noun	sacewa
algol_noun	ElgoYla
algorithm_noun	algorixma/kalana_viXi
alias_noun	eliAsa/upanAma/urPa
aliasing_noun	eliAsana
alignment_noun	sareKaNa
aliweb_noun	Eliveba
allies_noun	sahayogI
allocate_noun	niyawana
allocation_noun	AvaMtana/niyawana
alpha_noun	ElPA
alphabet_noun	vaNArkRara/akRara
alphabetic_noun	akRarAwmaka/vaNArnukrima
alphabetization_noun	vaNArnukramaNa
alphageometrics_noun	vaNArjyAmiwikI/akRarajyAmiwikI
alphamosaic_noun	alPAmojZeka
alphanumeric_noun	akRarAMkIya
alt_noun	Alta
altavista_noun	EltAvistA
altering_noun	parivarwana
alternation_noun	prawyAvarwana
alternet_noun	Eltaraneta
ambiguity_noun	saMxigXawA
amiga_noun	emigA
amoeba_noun	amIbA
ampersand_noun	emparaseMda
amplitude_noun	AyAma
analog_noun	anurUpa/enAloYga
analogous_noun	anurUpa
analysis_noun	viSleRaNa
analyst_noun	viSleRaka
analytic_noun	viSleRaNAwmaka
anarchy_noun	arAjakawA
anchor_noun	laMgara/eMkara
and_noun	eNda
angle_noun	koNa
angstrom_noun	EgstrAma
animation_noun	enImeSana
annotation_noun	tippaNa
annoybot_noun	enoYyaboYta
annunciator_noun	AKyApiwra/AKyApaka
anomalies_noun	asaMgawi
anonymity_noun	anAmikawA_gumanAmI
ansi_noun	e._ena._esa._AI._(amarIkI_rARtrIya_mAnaka_saMsWA)_ena_sI
antecedent_noun	pUrvavarwI
antenna_noun	EntenA
anti-glare_noun	prawi_cOMXa
anticedent_noun	pUrvavarwI
aol_noun	e_o_ela
apl_noun	e_pI_ela
append_noun	jodZanA
apple_noun	epala
applet_noun	epaleta_anuprayogikA
application_noun	anuprayoga
applique_noun	aXiropaNa
arbitration_noun	maXyasWawA
arc_noun	Arka
archie_noun	ArcI
architecture_noun	vAswukalA/sWApawyakalA
archive_noun	purAleKa
archiving_noun	purAleKaNa
area_noun	kRewraPala/kRewra
arena_noun	kRewraka/erenA
argument_noun	prAcara
aris_noun	Erisa
armm_noun	e_Ara_ema_ema
arpanet_noun	arapAneta
array_noun	sAraNI
article_noun	leKa/vaswu
artifact_noun	virUpaNa_sAkRya
artificial_noun	kqwrima
asbestos_noun	ebestoYsa
ascender_noun	Arohaka
ascending_noun	ArohI
ascii_noun	AskI
ascription_noun	Aropana
askeric_noun	wAraka
aspect_noun	aBimuKawA
aspi_noun	EspI
asseble_noun	smarAMwaraka
assemble_noun	kodAMwaraNa/kodAMwara_karanA
assembler_noun	smarAMwaraka/kodAMwaraka
assembling_noun	kodAMwaraNa
assembly_noun	kodAMwaraNa
assertion_noun	niScayana
assignment_noun	nirxiRtIkaraNa
association_noun	saMGaTana/sAhacarya
associativity_noun	sahacAriwA
assumption_noun	kalpanA/grahana/anumAna
asymmetry_noun	asamamiwi
asynchronous_noun	awulyakAlika/awulyakAlI
athene_noun	eWena
atom_noun	paramANu
atomic_noun	kRawipUrNa
attachment_noun	saMlagnaka
attennation_noun	kRINana
attenuation_noun	kRINana
attenuator_noun	kRINakArI
attribute_noun	guNa
attribution_noun	guNa
attributor_noun	guNaxAyaka
audio_noun	Sravya
auditions_noun	SravaNa
augment_noun	saMvarXa
augmentation_noun	saMvarXana
augmenter_noun	saMvarXaka
author_noun	saMleKaka
authoring_noun	saMleKana
authority_noun	prAXikAra
authorization_noun	prAXikaraNa
autoalising_noun	raciwa_svawa:_eliyAsIkaraNa
autoflow_noun	svawa:_pravAha
automata_noun	oYtometA
automatic_noun	svacAliwa/sva/svawa:
automatically_noun	svawa:
automation_noun	svacAlana
automatisation_noun	svacAlanIkaraNa
automoniter_noun	svamoYnitara
autoplay_noun	oYtople
autoplotter_noun	svawa:AleKaka/svawa:ploYtara
autosave_noun	svarakRaNa
autoselect_noun	svawa:_cayana/svacayana
autotrace_noun	svawa:_anureKA/svawa:_anureKa
aux_noun	e_yU_eksa
auxiliary_noun	sahAyaka
availability_noun	upalabXawA
average_noun	Osawa
awk_noun	oYka
b-tree_noun	bI_vqkRa/bI_warU
back_noun	paSca
background_noun	pqRtaBUmi
backgrounding_noun	pqRtaBUmikaraNa
backspace_noun	paScIyana/bEkaspesa
backspacing_noun	paScIyana
backtracking_noun	paScaanumArgaNa
backup_noun	bEka-apa/pUrwikara
balance_noun	saMwulana/SeRa/wulana
balanced_noun	saMwuliwa
balloon_noun	bElUna
band_noun	pattI/bEMda
bar_noun	bAra/reKikA
base_noun	AXAra
basic_noun	besika
batch_noun	pracaya/bEca/samUha
batching_noun	pracayana
baud_noun	boYda
bcc_noun	bI_sI_sI
bcnf_noun	bI_sI_ena_ePa
beam_noun	kiraNa_puMja
begin_noun	prAraMBana
behavior_noun	vyavahAra
benchmark_noun	nirxeSamAnaka/vEMcamArka
bibliography_noun	graMWa_sUcI
bijection_noun	xviaMwa:kRepaNa
binder_noun	bAMXane_vAlA/baMXaka
binding_noun	bAMXanA/baMXana
bios_noun	boYyasa
bisynchronous_noun	xviwulyakAlika
bit_noun	xvayaMka/bita
blinking_noun	timatimAnA
block_noun	blAka/avaroXI
bmp_noun	bI_ema_pI
board_noun	borda
bomb_noun	bama
book_noun	kiwAba/puswaka
bookmark_noun	pqRTa_smqwi
boolean_noun	bUliyana
bounded_noun	paribaxXa/paribaMXiwa
box_noun	boYMksa/petI
bridge_noun	sewu/brija
bridges_noun	sewu
brightness_noun	xyuwi
broadcast_noun	prasAraNa
browse_noun	svaxeSa_vicaraNa/pqRTa_palatanA
browser_noun	vicaraka
bucket_noun	bAltI
budgets_noun	bajata
buffer_noun	baPara
bug_noun	xoRa
bulletproof_noun	buletaprUPa
bus_noun	basa
business_noun	vyavasAya
byte_noun	aRta-xvayaMka/bAita
c++_noun	sI_plasa_plasa
c_noun	sI
cable_noun	kebala
cache_noun	kESa/xruwikA
calculation_noun	parikalana
calculator_noun	kElakuletara/parikalaka
call_noun	AhvAna
cancel_noun	niraswa_karanA/raxxa_karanA
canonical_noun	vihiwa/kanonikala
capability_noun	kRamawA
capacitor_noun	saMXAriwra
capacity_noun	kRamawA/XAriwA
capital_noun	pUzjI/mUlaXana
card_noun	kArda/pawraka
cardinality_noun	pramuKawA
carrier_noun	vAhaka
carry_noun	hAsila
cascade_noun	kAskeda/sopAnI
case_noun	kesa
cassette_noun	kEseta
catalogue_noun	sUcI
catenation_noun	SrqMKalana
cell_noun	koSikA/sela
cfg_noun	sI_ePa_jI
chain_noun	SrqMKalA
chaining_noun	SrqMKalana
channel_noun	praNAla/cEnala
character_noun	saMprawIka
characteristic_noun	aBilAkRaNika
chart_noun	saMciwra
chassis_noun	nyAXAra_samanvAyojana
chip_noun	cipa
chmod_noun	sI.eca_modraparivarwanavixyA
choice_noun	vikalpa
choose_noun	cayana
chromatically_noun	vArNika_rUpa_se
chromaticity_noun	vArNikawa:
cipher_noun	sAiPara
ciphertest_noun	kUtrakuta_parIkRaNa
circuit_noun	paripaWa
circulators_noun	parisaMcAraka
cirus_noun	sAyarasa
cisc_noun	siska
citation_noun	ulleKa
claims_noun	xAvA
class_noun	SreNI/varga
classification_noun	vargIkaraNa
clear_noun	apamArjana
click_noun	klika
client_noun	grAhaka
clipper_noun	klipara
clipping_noun	karwana
clique_noun	guta
clock_noun	GadZI/kAlaxa
clocking_noun	kAla_saMkajana
clone_noun	klona
close_noun	banxa
closed_noun	saMvqwa
closure_noun	saMvaraNa
cluster_noun	gucCa
clustering_noun	gucCana
co-scheduling_noun	saha_anusUcana
coax_noun	samAkRa
coaxial_noun	samAkRIya
cobol_noun	kobola
codasyl_noun	kodAsila
code_noun	kUta/koda
coder_noun	kodaka
coefficient_noun	guNAMka
coherence_noun	saMsajana
