#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun#2#RM' by default
#Added  :: By Roja Lakshmi (06-11-14)
#######################################
aromatic_plants	sugaMXiwa_pOXe#sugaMXiwa_pOXe#noun#2#RM
assigned_quota	aXimAnya_kotA#aXimAnya_kotA#noun#2#RM
at_an_average	Osawana#Osawana#noun#2#RM
cold_storage	SIwagqha#SIwagqha#noun#2#RM
colonial_area	sAmuxAyika_kRewra#sAmuxAyika_kRewra#noun#2#RM
cooperative_society	sahakArI_saMsWA#sahakArI_saMsWA#noun#2#RM
crop_rotation	Pasala_cakra#Pasala_cakra#noun#2#RM
drip_irrigation	tapakA_siMcaMI#tapakA_siMcaMI#noun#2#RM
exposure_visit	paricAyAwmaka_xOrA#paricAyAwmaka_xOrA#noun#2#RM
farm_machanization	Pasala_yAMwrIkaraNa#Pasala_yAMwrIkaraNa#noun#2#RM
farmers_organization	kisAna_saMgaTana#kisAna_saMgaTana#noun#2#RM
farming_system	kqRivyavasWA#kqRivyavasWA#noun#2#RM
financial_analysis	viwwIya_samIkRA#viwwIya_samIkRA#noun#2#RM
food_grains	KAxyAnna#KAxyAnna#noun#2#RM
food_processing	KAxya_prasaMskaraNa#KAxya_prasaMskaraNa#noun#2#RM
gross_domestic_product	sakala_GarelU_uwpAxa#sakala_GarelU_uwpAxa#noun#2#RM
ground_level	BUmiwala#BUmiwala#noun#2#RM
kitchen_garden	gqhavAtikA#gqhavAtikA#noun#2#RM
land_scaping	BUsKalana#BUsKalana#noun#2#RM
livestock_feed	cArA#cArA#noun#2#RM
logistic_support	AvaSyaka_sAmagrI_samarWana#AvaSyaka_sAmagrI_samarWana#noun#2#RM
market_price	bAjAra_BAva#bAjAra_BAva#noun#2#RM
medicinal_plants	ORaXIya_pOXe#ORaXIya_pOXe#noun#2#RM
minimum_support_prize	nyUnawama_samarWana_mUlya#nyUnawama_samarWana_mUlya#noun#2#RM
mixture_of_clay_and_sandy_soil	xomata#xomata#noun#2#RM
monitoring_and_evaluation	parivIkRaNa_va_mUlyAMkana#parivIkRaNa_va_mUlyAMkana#noun#2#RM
natural_resources	prAkqwika_saMsAXana#prAkqwika_saMsAXana#noun#2#RM
oil_seeds	wilahana#wilahana#noun#2#RM
optimum_price	anukUla_xara#anukUla_xara#noun#2#RM
pastoral_based_system	carAgAhI_AXAriwa_vyavasWA#carAgAhI_AXAriwa_vyavasWA#noun#2#RM
post_harvest	PasaloparAnwa#PasaloparAnwa#noun#2#RM
post_harvest_technology	PasalAnanwara_wakarIka#PasalAnanwara_wakarIka#noun#2#RM
poultry_feed	cArA#cArA#noun#2#RM
rate_of_interenst	byAja_xara#byAja_xara#noun#2#RM
resistant_variety	prawiroXaka_kisma#prawiroXaka_kisma#noun#2#RM
selling_price	vikraya_mUlya#vikraya_mUlya#noun#2#RM
soil_conservation	mqxA_saMrakRaNa#mqxA_saMrakRaNa#noun#2#RM
soil_testing	mqxA_parIkRaNa#mqxA_parIkRaNa#noun#2#RM
surface_level_irrigation	sawahI_siMcAI#sawahI_siMcAI#noun#2#RM
tall_free_service	binA_mUlya_sevA#binA_mUlya_sevA#noun#2#RM
white_ant	xImaka#xImaka#noun#2#RM
aberrant_weather	asamAnya_mOsama#asamAnya_mOsama#noun#2#RM
abiotic_stress	ajEvika_xabAva#ajEvika_xabAva#noun#2#RM
aborted_seed	vikAsaroXiwa_bIja#vikAsaroXiwa_bIja#noun#2#RM
abscess_knife	PodZA_cIrane_kA_cAkU#PodZA_cIrane_kA_cAkU#noun#2#RM
accumulation_of_salt	lavaNa_saMcaya#lavaNa_saMcaya#noun#2#RM
acid_clay	amla_mqwwikA#amla_mqwwikA#noun#2#RM
acid_forming_fertilizer	amlakArI_urvaraka#amlakArI_urvaraka#noun#2#RM
acidic_rock	aXisivika_SEla#aXisivika_SEla#noun#2#RM
acidity_test	amlawA_parIkRaNa#amlawA_parIkRaNa#noun#2#RM
active_absorption	sakriya_avaSoRaNa#sakriya_avaSoRaNa#noun#2#RM
active_ingradient_(a.i.)	sakriya_wawva/sakriya_avayava#sakriya_wawva/sakriya_avayava#noun#2#RM
actual_expenditure	vAswavika_vyaya#vAswavika_vyaya#noun#2#RM
adapted_varieties	anukUliwa_kismeM#anukUliwa_kismeM#noun#2#RM
additive_effect	saMyojI_praBAva#saMyojI_praBAva#noun#2#RM
additive_gene	saMyogika_jIna#saMyogika_jIna#noun#2#RM
additive_gene_interaction	saMyogika_jIna_anyonyakriyA#saMyogika_jIna_anyonyakriyA#noun#2#RM
adobe_soil	IMta_mqxA#IMta_mqxA#noun#2#RM
advalorem_duty	yaWAmUlya_Sulka#yaWAmUlya_Sulka#noun#2#RM
adventitious_grass	apasWAnikaGAsa#apasWAnikaGAsa#noun#2#RM
adventitious_root	apasWAnika_mUla#apasWAnika_mUla#noun#2#RM
aeolian_deposit	vAwoDZa_nikRepa#vAwoDZa_nikRepa#noun#2#RM
aeolian_soil	vAwoDZa_mqxA#vAwoDZa_mqxA#noun#2#RM
aerial_growth	vAyava_vqxXi#vAyava_vqxXi#noun#2#RM
aerial_layering	gUtI_bAMXanA#gUtI_bAMXanA#noun#2#RM
aerial_root	vAyava_mUla#vAyava_mUla#noun#2#RM
aerial_stem	vAyavI_yawanA#vAyavI_yawanA#noun#2#RM
aerobic_bacteria	vAyujIvI_bEktIri_yA#vAyujIvI_bEktIri_yA#noun#2#RM
aerobic_decomposition	vAyu_apaGatana#vAyu_apaGatana#noun#2#RM
after_crop	uwwara_sasya#uwwara_sasya#noun#2#RM
after_growth	punavqrxXi#punavqrxXi#noun#2#RM
after_ripening	pAkowwara#pAkowwara#noun#2#RM
agricultural_forecasting	kqRi_pUrvAnumAna#kqRi_pUrvAnumAna#noun#2#RM
agricultural_hazard	kqRi_vipaxA#kqRi_vipaxA#noun#2#RM
agricultural_marketing	kqRi_vipaNana#kqRi_vipaNana#noun#2#RM
agricultural_operation	kqRi_kArya#kqRi_kArya#noun#2#RM
agricultural_planning	kqRi_Ayojana#kqRi_Ayojana#noun#2#RM
agricultural_policy	kqRi_nIwi#kqRi_nIwi#noun#2#RM
agricultural_practice	kqRi_kriyA#kqRi_kriyA#noun#2#RM
agricultural_produce	kqRi_upaja#kqRi_upaja#noun#2#RM
agricultural_product	kqRi_uwpAxa#kqRi_uwpAxa#noun#2#RM
agriculturally_important	kqRi_upayogI#kqRi_upayogI#noun#2#RM
agronomic_character	sasyIya_aBilakRaNa#sasyIya_aBilakRaNa#noun#2#RM
agronomic_research	sasyIya_anusaMXAna#sasyIya_anusaMXAna#noun#2#RM
agronomic_value	sasyIya_mAna#sasyIya_mAna#noun#2#RM
air_drainage	vAyu_nikAsa#vAyu_nikAsa#noun#2#RM
air_layering	gUtI_bAMXanA#gUtI_bAMXanA#noun#2#RM
air_permeability	vAyu_pAragamyawA#vAyu_pAragamyawA#noun#2#RM
alkali_disease	kRArIya_roga#kRArIya_roga#noun#2#RM
alkaline_soil	kRArIya_mqxA/Usara_mittI#kRArIya_mqxA/Usara_mittI#noun#2#RM
alkaline_toxicity	kRArIya_AviRAluwA#kRArIya_AviRAluwA#noun#2#RM
allied_fibres	sambaxXa_reSe#sambaxXa_reSe#noun#2#RM
allied_science	sambaxXa_vijFAna#sambaxXa_vijFAna#noun#2#RM
allitic_soil	elAitika_mqxA#elAitika_mqxA#noun#2#RM
alluval_soil	jaloDZa_mittI#jaloDZa_mittI#noun#2#RM
alluvial_deposits	jaloDZa_nikRepa#jaloDZa_nikRepa#noun#2#RM
alluvial_fan	jaloDZa_PElAva#jaloDZa_PElAva#noun#2#RM
alluvial_material	jaloDZa_sAmagrI#jaloDZa_sAmagrI#noun#2#RM
alluvial_plain	jaloDZa_mExAna#jaloDZa_mExAna#noun#2#RM
alluvial_soil	jaloDa_mqxA#jaloDa_mqxA#noun#2#RM
almond_crown_gall	bAxAma_SiKara_pitikA#bAxAma_SiKara_pitikA#noun#2#RM
almond_mosaic	bAxAma_mojeka#bAxAma_mojeka#noun#2#RM
alternaria_blight	AltaraneriyA_blAita#AltaraneriyA_blAita#noun#2#RM
alternaria_leaf_bright	pawwI_Xabbe#pawwI_Xabbe#noun#2#RM
alternate_husbandry	vEkalpika_XaMXA#vEkalpika_XaMXA#noun#2#RM
alternative_cost	vEkalpika_lAgawa#vEkalpika_lAgawa#noun#2#RM
alternative_goal	vEkalpika_lakRya#vEkalpika_lakRya#noun#2#RM
alternative_hypothesis	vEkalpika_parikalpanA#vEkalpika_parikalpanA#noun#2#RM
alternative_inheritance	anyawara_vaMSAgawi#anyawara_vaMSAgawi#noun#2#RM
ambient_temperature	pariveSa_wApa#pariveSa_wApa#noun#2#RM
amendment_soil	saMSoXiwa_mqxA#saMSoXiwa_mqxA#noun#2#RM
ammonia_oxidation	amoniyA_AksIkaraNa#amoniyA_AksIkaraNa#noun#2#RM
ammonia_synthesis	amoniyA_saMSleRaNa#amoniyA_saMSleRaNa#noun#2#RM
ammonical_fermentation	amoniyA_kiNvana#amoniyA_kiNvana#noun#2#RM
anaerobic_bacteria	avAyujIvI_jIvANu#avAyujIvI_jIvANu#noun#2#RM
