#computer science multi word dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#	   5) Removed information present in  ( ) Ex:Advective thunder storm aBivahanI wadZIw JaMJA (aBivAhI wadZiw JaMJA)
			to advective_thunder_storm	aBivahanI_wadZIw_JaMJA
#################################################################################
abnormal_termination	apasAmAnya_samApana#apasAmAnya_samApana#noun#2#RM
abort_timer	viPalana_kAlaxa#viPalana_kAlaxa#noun#2#RM
absolute_address	nirapekRa_pawA#nirapekRa_pawA#noun#2#RM
absolute_addressing	nirapekRa_pawABigamana#nirapekRa_pawABigamana#noun#2#RM
absolute_assembler	nirapekRa_kodAMwaraka#nirapekRa_kodAMwaraka#noun#2#RM
absolute_code	nirapekRa_kUta#nirapekRa_kUta#noun#2#RM
absolute_coding	nirapekRa_kUtaleKana#nirapekRa_kUtaleKana#noun#2#RM
absolute_command	nirapekRa_samAxeSa#nirapekRa_samAxeSa#noun#2#RM
absolute_coordinate	nirapekRa_nirxeSAMka#nirapekRa_nirxeSAMka#noun#2#RM
absolute_data	nirapekRa_AMkadZe#nirapekRa_AMkadZe#noun#2#RM
absolute_error	nirapekRa_wruti#nirapekRa_wruti#noun#2#RM
absolute_expression	nirapekRa_vyaMjaka#nirapekRa_vyaMjaka#noun#2#RM
absolute_instruction	nirapekRa_anuxeSa#nirapekRa_anuxeSa#noun#2#RM
absolute_loader	nirapekRa_BAraka#nirapekRa_BAraka#noun#2#RM
absolute_order	nirapekRa_AxeSa#nirapekRa_AxeSa#noun#2#RM
absolute_programming	nirapekRa_kramAxeSana#nirapekRa_kramAxeSana#noun#2#RM
absolute_term	nirapekRa_paxa#nirapekRa_paxa#noun#2#RM
absolute_value	nirapekRa_mAna#nirapekRa_mAna#noun#2#RM
absolute_vector	nirapekRa_saxiSa#nirapekRa_saxiSa#noun#2#RM
abstract_symbol	amUrwa_prawIka#amUrwa_prawIka#noun#2#RM
acceleration_period	wvaraNa_avaXi#wvaraNa_avaXi#noun#2#RM
acceleration_time	wvaraNa_kAla#wvaraNa_kAla#noun#2#RM
acceptance_test	svIkaraNa_parIkRaNa#svIkaraNa_parIkRaNa#noun#2#RM
access_arm	aBigama_bAhu#aBigama_bAhu#noun#2#RM
access_arrangement	aBigama_vyavasWA#aBigama_vyavasWA#noun#2#RM
access_authority	aBigama_prAXikAraka#aBigama_prAXikAraka#noun#2#RM
access_charge	aBigama_Sulka#aBigama_Sulka#noun#2#RM
access_class	aBigama_varga#aBigama_varga#noun#2#RM
access_data_base_management	aBigama_AzkadZAsaMcaya_prabaMXa#aBigama_AzkadZAsaMcaya_prabaMXa#noun#4#RM
access_environment	aBigama_pariveSa#aBigama_pariveSa#noun#2#RM
access_gap	aBigama_aMwarAla#aBigama_aMwarAla#noun#2#RM
access_index	aBigama_sUcaka#aBigama_sUcaka#noun#2#RM
access_line	aBigama_lAina#aBigama_lAina#noun#2#RM
access_mechanism	aBigama_yAMwrikawva#aBigama_yAMwrikawva#noun#2#RM
access_method	aBigama_viXi#aBigama_viXi#noun#2#RM
access_method_routine	aBigama_viXi_nemakA#aBigama_viXi_nemakA#noun#3#RM
access_mode	aBigama_viXA#aBigama_viXA#noun#2#RM
access_right	aBigama_aXikAra#aBigama_aXikAra#noun#2#RM
access_scan	aBigama_kramavIkRaNa#aBigama_kramavIkRaNa#noun#2#RM
access_time	aBigama_kAla#aBigama_kAla#noun#2#RM
account_number	KAwA_saMKyA#KAwA_saMKyA#noun#2#RM
accounting_finance_system	leKAkArya_viwwa_waMwra#leKAkArya_viwwa_waMwra#noun#3#RM
accounting_machine	leKA_yaMwra#leKA_yaMwra#noun#2#RM
accumulating_reproducer	saMcayI_punaruwpAxaka#saMcayI_punaruwpAxaka#noun#2#RM
accumulator_register	saMcAyaka_paMjI#saMcAyaka_paMjI#noun#2#RM
accumulator_shift_instruction	saMcAyaka_visWApana_anuxeSa#saMcAyaka_visWApana_anuxeSa#noun#3#RM
accuracy_control_character	pariSuxXawA_niyaMwraNa_saMprawIka#pariSuxXawA_niyaMwraNa_saMprawIka#noun#3#RM
accuracy_control_system	pariSuxXawA_niyaMwraNa_waMwra#pariSuxXawA_niyaMwraNa_waMwra#noun#3#RM
ace_pilot	uwkqRTa_mArgaxarSI#uwkqRTa_mArgaxarSI#noun#2#RM
acknowledge_character	pAvawI_saMprawIka#pAvawI_saMprawIka#noun#2#RM
acoustic_coupler	Xvanika_yugmaka#Xvanika_yugmaka#noun#2#RM
acoustic_coupling	Xvanika_yugmana#Xvanika_yugmana#noun#2#RM
acoustic_delay_line	Xvanika_vilaMba_lAina#Xvanika_vilaMba_lAina#noun#3#RM
acoustic_memory	Xvanika_smqwi#Xvanika_smqwi#noun#2#RM
acoustic_modem	Xvanika_modema#Xvanika_modema#noun#2#RM
acoustic_signal	Xvanika_saMkewa#Xvanika_saMkewa#noun#2#RM
acoustic_storage	Xvanika_BaMdAraNa#Xvanika_BaMdAraNa#noun#2#RM
action_cycle	kriyA_cakra#kriyA_cakra#noun#2#RM
action_line	kriyA_lAina#kriyA_lAina#noun#2#RM
action_message	kriyA_saMxeSa#kriyA_saMxeSa#noun#2#RM
action_specification	kriyA_vinirxeSa#kriyA_vinirxeSa#noun#2#RM
active_file	sakriya_saMcikA#sakriya_saMcikA#noun#2#RM
active_line	sakriya_lAina#sakriya_lAina#noun#2#RM
active_link	sakriya_kadZI#sakriya_kadZI#noun#2#RM
active_master_file	sakriya_praXAna_saMcikA#sakriya_praXAna_saMcikA#noun#3#RM
active_master_item	sakriya_praXAna_maxa#sakriya_praXAna_maxa#noun#3#RM
active_satellite	sakriya_upagraha#sakriya_upagraha#noun#2#RM
active_station	sakriya_kenxra#sakriya_kenxra#noun#2#RM
active_storage	sakriya_BaMdAraNa#sakriya_BaMdAraNa#noun#2#RM
activity_level	sakriyawA_swara#sakriyawA_swara#noun#2#RM
activity_loading	sakriyawA_BAraNa#sakriyawA_BAraNa#noun#2#RM
activity_ratio	sakriyawA_anupAwa#sakriyawA_anupAwa#noun#2#RM
actual_address_(_=absolute_address_)	nirapekRa_pawA#nirapekRa_pawA#noun#5#RM
actual_code_(_=absolute_code_)	nirapekRa_kUta#nirapekRa_kUta#noun#5#RM
actual_data_transfer_rate	vAswavika_AzkadA_sWAnAMwaraNa_xara#vAswavika_AzkadA_sWAnAMwaraNa_xara#noun#4#RM
actual_decimal_point	vAswavika_xaSamalava_binxu#vAswavika_xaSamalava_binxu#noun#3#RM
actual_instruction_(_=effective_instruction_)	praBAvI_anuxeSa#praBAvI_anuxeSa#noun#5#RM
actual_key	vAswavika_kuMjI#vAswavika_kuMjI#noun#2#RM
actual_time	vAswavika_kAla#vAswavika_kAla#noun#2#RM
actual_work_time	vAswavika_kArya_kAla#vAswavika_kArya_kAla#noun#3#RM
actuating_signal	pravarwaka_saMkewa#pravarwaka_saMkewa#noun#2#RM
adaptive_channel_allocation	anukUlI_praNAla_niyawana#anukUlI_praNAla_niyawana#noun#3#RM
adaptive_integration	anukUlI_samAkalana#anukUlI_samAkalana#noun#2#RM
adaptive_transversal_equalizer	anukUlI_anuprasWa_wulyakAraka#anukUlI_anuprasWa_wulyakAraka#noun#3#RM
add-subtract_time	saMkalana_vyavakalana_kAla#saMkalana_vyavakalana_kAla#noun#2#RM
add_file	yojI_saMcikA#yojI_saMcikA#noun#2#RM
add_mode	yoga_viXA#yoga_viXA#noun#2#RM
add_operation	yoga_saMkriyA#yoga_saMkriyA#noun#2#RM
add_time	saMkalana_kAla#saMkalana_kAla#noun#2#RM
added_entry	yojiwa_praviRta#yojiwa_praviRta#noun#2#RM
adder_subtracter	yojaka_vyavakalaka#yojaka_vyavakalaka#noun#2#RM
addition_recorder	yoga_aBileKa#yoga_aBileKa#noun#2#RM
addition_table	yoga_sAraNI#yoga_sAraNI#noun#2#RM
additional_character_(_=_special_character_)	viSiRta_saMprawIka#viSiRta_saMprawIka#noun#6#RM
additive_attribute	yojya_guNa#yojya_guNa#noun#2#RM
address_bus	pawA_basa#pawA_basa#noun#2#RM
address_code	pawA_kUta#pawA_kUta#noun#2#RM
address_comparator	pawA_wulaniwra#pawA_wulaniwra#noun#2#RM
address_computation	pawA_aBikalana#pawA_aBikalana#noun#2#RM
address_constant	pawA_acara#pawA_acara#noun#2#RM
address_conversion	pawA_rUpAMwaraNa#pawA_rUpAMwaraNa#noun#2#RM
address_data	pawA_AzkadZe#pawA_AzkadZe#noun#2#RM
address_effective	praBAvI_pawA#praBAvI_pawA#noun#2#RM
address_field	pawA_kRewra#pawA_kRewra#noun#2#RM
address_format	pawA_saMrUpa#pawA_saMrUpa#noun#2#RM
address_free_program	pawA_nirapekRa_kramAxeSa#pawA_nirapekRa_kramAxeSa#noun#3#RM
address_interlacing	pawA_aMwargraWana#pawA_aMwargraWana#noun#2#RM
address_line	pawA_lAina#pawA_lAina#noun#2#RM
address_mapping	pawA_prawiciwraNa#pawA_prawiciwraNa#noun#2#RM
address_mark	pawA_cihna#pawA_cihna#noun#2#RM
address_modification	pawA_Aparivarwana#pawA_Aparivarwana#noun#2#RM
address_part	pawA_BAga#pawA_BAga#noun#2#RM
address_pointer	pawA_saMkewaka#pawA_saMkewaka#noun#2#RM
address_register	pawA_paMjI#pawA_paMjI#noun#2#RM
address_signal	pawA_saMkewa#pawA_saMkewa#noun#2#RM
address_size	pawA_AmApa#pawA_AmApa#noun#2#RM
address_space	pawA_sWAna#pawA_sWAna#noun#2#RM
address_space_identifier	pawA_sWAna_aBijFApaka#pawA_sWAna_aBijFApaka#noun#3#RM
address_stop	pawA_virAma#pawA_virAma#noun#2#RM
address_trace	pawA_anureKa#pawA_anureKa#noun#2#RM
address_track	pawA_mArga#pawA_mArga#noun#2#RM
address_translation	pawA_anuvAxa#pawA_anuvAxa#noun#2#RM
address_translator	pawA_anuvAxaka#pawA_anuvAxaka#noun#2#RM
addressability_measure	pawAyogyawA_mApa#pawAyogyawA_mApa#noun#2#RM
