#geography multi word dictionary extracted from Bharatvani site by Prashant. Formatted by Roja (03-10-2019)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#	   5) Removed information present in  ( ) Ex:Advective thunder storm aBivahanI wadZIw JaMJA (aBivAhI wadZiw JaMJA)
			to advective_thunder_storm	aBivahanI_wadZIw_JaMJA
#################################################################################
abandoned_marginal_gorge	pariwyakwa_upAMwa_mahAKadda#pariwyakwa_upAMwa_mahAKadda#noun#3#RM
ablation_moraine	apakRaraNa_himoDZa#apakRaraNa_himoDZa#noun#2#RM
ablation_season	apakRaraNa-qwu#apakRaraNa-qwu#noun#2#RM
ablation_zone	apakRaraNa_kRewra#apakRaraNa_kRewra#noun#2#RM
abney_hand_level	EbanI-hEnda_levela#EbanI-hEnda_levela#noun#3#RM
abney_mounting	EbanI_AropaNa#EbanI_AropaNa#noun#2#RM
abnormal_density	aprasAmAnya_Ganawva#aprasAmAnya_Ganawva#noun#2#RM
aboriginal_andamanese	Axi_aNdamAnavAsI#Axi_aNdamAnavAsI#noun#2#RM
aboriginal_inhabitant	Axi_nivAsI#Axi_nivAsI#noun#2#RM
aboriginal_life	AxivAsI_jIvana#AxivAsI_jIvana#noun#2#RM
aboriginal_population	AxivAsI_janasaMKyA#AxivAsI_janasaMKyA#noun#2#RM
aboriginal_tribe	Axima_janajAwi#Axima_janajAwi#noun#2#RM
above_normal	sAmAnya_se_aXika#sAmAnya_se_aXika#noun#2#RM
abrasion_low_level	nimnawala_apaGarRaNa#nimnawala_apaGarRaNa#noun#3#RM
abrasion_platform	apagarRaNa_vexI#apagarRaNa_vexI#noun#2#RM
abrasion_streak_and_scratch	apagarRaNa_rEKA_Ora_KaroMca#apagarRaNa_rEKA_Ora_KaroMca#noun#4#RM
abrasion_tableland	apaGarRaNa_paTAra#apaGarRaNa_paTAra#noun#2#RM
