#space multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#################################################################################
a._c._conductivity	e.sI._cAlakawA#e.sI._cAlakawA#noun#3#RM
a._c._interruption	e.sI._rukAvata#e.sI._rukAvata#noun#3#RM
ablative_liner	apakRaraka_aswara#apakRaraka_aswara#noun#2#RM
ablative_material	apakRaraka_paxArWa#apakRaraka_paxArWa#noun#2#RM
abrasion_electrode	apaGarRaNa_ilEktroda#apaGarRaNa_ilEktroda#noun#2#RM
abrasion_test	apaGarRaNa_parIkRaNa#apaGarRaNa_parIkRaNa#noun#2#RM
absolute_address	nirapekRa_pawA#nirapekRa_pawA#noun#2#RM
absolute_gain	nirapekRa_labXi#nirapekRa_labXi#noun#2#RM
absolute_object	nirapekRa_vaswu#nirapekRa_vaswu#noun#2#RM
absolute_pressure	yaWArWa_xAba#yaWArWa_xAba#noun#2#RM
absolute_system_of_units	nirapekRa_mAwraka_paxXawi#nirapekRa_mAwraka_paxXawi#noun#4#RM
absolute_temperature	nirapekRa_wApa/parama_wApa#nirapekRa_wApa/parama_wApa#noun#2#RM
absolute_time	nirapekRa_kAla#nirapekRa_kAla#noun#2#RM
absolute_truth	parama_sawya#parama_sawya#noun#2#RM
absolute_velocity	nirapekRa_vega#nirapekRa_vega#noun#2#RM
absolute_weight	nirapekRa_BAra#nirapekRa_BAra#noun#2#RM
absolute_zero	parama_SUnya#parama_SUnya#noun#2#RM
absorbed_light	avaSoRiwa_prakASa#avaSoRiwa_prakASa#noun#2#RM
absorbing_boundary	avaSoRaka_parisImA#avaSoRaka_parisImA#noun#2#RM
absorbing_component	avaSoRaka_Gataka#avaSoRaka_Gataka#noun#2#RM
absorption_coefficient	avaSoRaNa-guNAMka#avaSoRaNa-guNAMka#noun#2#RM
absorption_cross_section	avaSoRaNa_anuprasWa_paricCexa#avaSoRaNa_anuprasWa_paricCexa#noun#3#RM
absorption_wavemeter	avaSoRaNa_waraMgamApI#avaSoRaNa_waraMgamApI#noun#2#RM
accelerated_aging	wvariwa_kAlapraBAvana#wvariwa_kAlapraBAvana#noun#2#RM
accelerated_aging_test	wvariwa_kAlapraBAvana_parIkRaNa#wvariwa_kAlapraBAvana_parIkRaNa#noun#3#RM
accelerated_life_test	wvariwa_Ayu_parIkRaNa#wvariwa_Ayu_parIkRaNa#noun#3#RM
accelerating_agent	wvaraNa_kAraka/wvaraNakArI#wvaraNa_kAraka/wvaraNakArI#noun#2#RM
acceleration_limit	wvaraNa_sImA#wvaraNa_sImA#noun#2#RM
acceleration_protection	wvaraNa_saMrakRaNa#wvaraNa_saMrakRaNa#noun#2#RM
acceleration_stress	wvaraNa_prawibala#wvaraNa_prawibala#noun#2#RM
acceleration_tolerance	wvaraNa_sahyawA#wvaraNa_sahyawA#noun#2#RM
acceptable_figure	svIkArya_mAna#svIkArya_mAna#noun#2#RM
acceptance_angle	svIkqwi_koNa#svIkqwi_koNa#noun#2#RM
acceptance_criterion	svIkqwi_kasOtI/svIkqwi_nikaRa#svIkqwi_kasOtI/svIkqwi_nikaRa#noun#2#RM
acceptance_sampling	svIkqwi_prawicayana#svIkqwi_prawicayana#noun#2#RM
acceptance_specification	svIkqwi_vinirxeSa#svIkqwi_vinirxeSa#noun#2#RM
acceptance_test	svIkqwi_parIkRaNa#svIkqwi_parIkRaNa#noun#2#RM
acceptor_circuit	grAhI_paripaWa/grAhI_sarkita#grAhI_paripaWa/grAhI_sarkita#noun#2#RM
acceptor_impurity	grAhI_apaxravya#grAhI_apaxravya#noun#2#RM
acceptor_level	grAhI_swara#grAhI_swara#noun#2#RM
acceptor_material	grAhI_paxArWa#grAhI_paxArWa#noun#2#RM
access_control	aBigama_niyaMwraNa#aBigama_niyaMwraNa#noun#2#RM
access_duration	aBigama_avaXi#aBigama_avaXi#noun#2#RM
access_method	aBigama_viXi#aBigama_viXi#noun#2#RM
access_time	aBigama_kAla#aBigama_kAla#noun#2#RM
accident_investigation	xurGatanA_jAMca#xurGatanA_jAMca#noun#2#RM
accident_prevention	xurGatanA_nivAraNa#xurGatanA_nivAraNa#noun#2#RM
accident_proneness	xurGatanA_pravaNawA#xurGatanA_pravaNawA#noun#2#RM
acetic_acid	EsItika_amla#EsItika_amla#noun#2#RM
acetic_anhydride_b	esItika_EnahAidrAida#esItika_EnahAidrAida#noun#3#RM
acetone_chloroform_system	EsItona_kloroPArma_waMwra#EsItona_kloroPArma_waMwra#noun#3#RM
acid-base_equilibrium	amla-kRArasAmya/amla-besa_sAmya#amla-kRArasAmya/amla-besa_sAmya#noun#2#RM
acidic_rock	aXisilika_SEla#aXisilika_SEla#noun#2#RM
acoustic_damping	XvAnika_avamaMxana#XvAnika_avamaMxana#noun#2#RM
acoustic_delay_line	XvAnika_vilaMba_lAina#XvAnika_vilaMba_lAina#noun#3#RM
acoustic_excitation	XvAnika_uwwejana#XvAnika_uwwejana#noun#2#RM
acoustic_feedback	XvAnika_punarniveSa#XvAnika_punarniveSa#noun#2#RM
acoustic_holography	XvAnika_hologrAPI#XvAnika_hologrAPI#noun#2#RM
acoustic_instability	XvAnika_asWirawA/asWAyiwva#XvAnika_asWirawA/asWAyiwva#noun#2#RM
acoustic_load	XvAnika_BAra/XvAnika_loda#XvAnika_BAra/XvAnika_loda#noun#2#RM
acoustic_measurement	XvAnika_mApana#XvAnika_mApana#noun#2#RM
acoustic_mode	XvAnika_viXA#XvAnika_viXA#noun#2#RM
acoustic_oscillation	XvAnika_xolana#XvAnika_xolana#noun#2#RM
acoustic_propagation	XvAnika_saMcaraNa#XvAnika_saMcaraNa#noun#2#RM
acoustic_radiation	XvAnika_vikiraNa#XvAnika_vikiraNa#noun#2#RM
acoustic_simulation	XvAnika_anukaraNa#XvAnika_anukaraNa#noun#2#RM
acoustic_stability	XvAnika_sWAyiwva#XvAnika_sWAyiwva#noun#2#RM
acoustic_tunnel	XvAnika_suraMga#XvAnika_suraMga#noun#2#RM
acoustic_velocity	XvAnika_vega#XvAnika_vega#noun#2#RM
acoustic_vibration_v	vAnika_kaMpana#vAnika_kaMpana#noun#3#RM
acoustical_energetics	XvAnika_UrjikI/XvAnika_UrjA-vijFAna#XvAnika_UrjikI/XvAnika_UrjA-vijFAna#noun#2#RM
acoustical_impedance	XvAnika_prawibAXA#XvAnika_prawibAXA#noun#2#RM
acoustical_stiffness	XvAnika_kadZApana#XvAnika_kadZApana#noun#2#RM
acquired_signal	aXigrahIwa_signala#aXigrahIwa_signala#noun#2#RM
acquisition_pn-code	arjana_pI.ena.koda#arjana_pI.ena.koda#noun#2#RM
action_and_reaction	kriyA_Ora_prawikriyA#kriyA_Ora_prawikriyA#noun#3#RM
action_time	kriyA_kAla#kriyA_kAla#noun#2#RM
activation_cross-section	sakriyaNa#sakriyaNa#noun#2#RM
activation_energy	sakriyaNa_UrjA#sakriyaNa_UrjA#noun#2#RM
active_antenna	sakriya_EntenA#sakriya_EntenA#noun#2#RM
active_area	sakriya_kRewra#sakriya_kRewra#noun#2#RM
active_component	sakriya_Gataka#sakriya_Gataka#noun#2#RM
active_homing	sakriya_aBilakRyana#sakriya_aBilakRyana#noun#2#RM
active_network	sakriya_netavarka#sakriya_netavarka#noun#2#RM
active_remote_sensing	sakriya_suxUra_saMvexana#sakriya_suxUra_saMvexana#noun#3#RM
active_satellite	sakriya_upagraha#sakriya_upagraha#noun#2#RM
active_sensor	sakriya_saMvexaka#sakriya_saMvexaka#noun#2#RM
active_tracking_system	sakriya_anuvarwana_waMwra#sakriya_anuvarwana_waMwra#noun#3#RM
activity_device	sakriyawA_yukwi#sakriyawA_yukwi#noun#2#RM
activity_ratio	sakriyawA_anupAwa#sakriyawA_anupAwa#noun#2#RM
activity_timer	sakriyawA_kAla#sakriyawA_kAla#noun#2#RM
actual_exhaust_velocity	vAswavika_recana_vega#vAswavika_recana_vega#noun#3#RM
actual_parameter	vAswavika_prAcala#vAswavika_prAcala#noun#2#RM
actual_stress	vAswavika_prawibala#vAswavika_prawibala#noun#2#RM
actual_thrust	vAswavika_praNoxa#vAswavika_praNoxa#noun#2#RM
actuation_duration	pravarwana_avaXi#pravarwana_avaXi#noun#2#RM
actuation_energy	pravarwana_UrjA#pravarwana_UrjA#noun#2#RM
acuity_of_hearing	SravaNa_suwIkRNawA#SravaNa_suwIkRNawA#noun#3#RM
adaptation_manoeuvre	anukUlana_prayuukwi#anukUlana_prayuukwi#noun#2#RM
adapted_nozzle	anukUliwa_noYjZala#anukUliwa_noYjZala#noun#2#RM
adapter_plate	anukUlaka_pleta#anukUlaka_pleta#noun#2#RM
adaptive_delta_modulation	anukUlI_deltA_moYdulana#anukUlI_deltA_moYdulana#noun#3#RM
adaptive_delta_modulator	anukUlI_deltA_moYdulaka#anukUlI_deltA_moYdulaka#noun#3#RM
adaptive_equalization	anukUlI_wulyakaraNa/anukUlI_samakaraNa#anukUlI_wulyakaraNa/anukUlI_samakaraNa#noun#2#RM
adaptive_equalizer	anukUlI_samakAraka#anukUlI_samakAraka#noun#2#RM
adaptive_pcm	anukUlI_pI.sI.ema.#anukUlI_pI.sI.ema.#noun#2#RM
addition_polymerization	saMkalana_bahulakIkaraNa#saMkalana_bahulakIkaraNa#noun#2#RM
additive_colour_viewer	yojanI_varNa_xarSaka#yojanI_varNa_xarSaka#noun#3#RM
additive_mixing	yojya_miSraNa#yojya_miSraNa#noun#2#RM
additive_noise	yojya_rava#yojya_rava#noun#2#RM
address_change	pawA_parivarwana#pawA_parivarwana#noun#2#RM
address_field	pawA_kRewra#pawA_kRewra#noun#2#RM
address_modification	pawAMwaraNa/pawAMwara#pawAMwaraNa/pawAMwara#noun#2#RM
address_register	pawA_paMjI#pawA_paMjI#noun#2#RM
addressing_system	pawABigamana_waMwra#pawABigamana_waMwra#noun#2#RM
adhesive_force	AsaMjaka_bala#AsaMjaka_bala#noun#2#RM
adiabatic_acceleration	ruxXoRma_wvaraNa#ruxXoRma_wvaraNa#noun#2#RM
adiabatic_compression	ruxXoRma_saMpIdana#ruxXoRma_saMpIdana#noun#2#RM
adiabatic_condition	ruxXoRma_sWiwi#ruxXoRma_sWiwi#noun#2#RM
adiabatic_curve	ruxXoRma_vakra#ruxXoRma_vakra#noun#2#RM
adiabatic_elasticity	EdiyAbetika_prawyAsWawA#EdiyAbetika_prawyAsWawA#noun#2#RM
adiabatic_equilibrium	sWiroRma_saMwulana#sWiroRma_saMwulana#noun#2#RM
adiabatic_temperature	sWiroRma_wApa#sWiroRma_wApa#noun#2#RM
adiabatic_transformation	sWiroRma_rUpAMwaraNa#sWiroRma_rUpAMwaraNa#noun#2#RM
adjustable_area_nozzle	samAyojya_kRewra_noYjZala#samAyojya_kRewra_noYjZala#noun#3#RM
adjustable_nozzle	samAyojya_wuMda/samAyojya_noYEYEYEYjZala#samAyojya_wuMda/samAyojya_noYEYEYEYjZala#noun#2#RM
adjustable_rocket_nozzle	samAyojya_rAketa_noYjZala#samAyojya_rAketa_noYjZala#noun#3#RM
adjustable_thrust	samAyojya_praNoxa#samAyojya_praNoxa#noun#2#RM
admittance_matrix	praveSyawA_mEtriksa#praveSyawA_mEtriksa#noun#2#RM
admittance_meter	praveSyawAmApI#praveSyawAmApI#noun#2#RM
adsorptive_power	aXiSoRaNa_kRamawA#aXiSoRaNa_kRamawA#noun#2#RM
advanced_technology	unnawa_prOxyogikI#unnawa_prOxyogikI#noun#2#RM
aerial_array	eriyala_vyUha/havAI_vyUha#eriyala_vyUha/havAI_vyUha#noun#2#RM
aerial_camera	havAI_kEmarA#havAI_kEmarA#noun#2#RM
aerial_camera_mount	havAI_kEmarA_AropaNa#havAI_kEmarA_AropaNa#noun#3#RM
aerial_film	Pilma/vAI_PLlma#Pilma/vAI_PLlma#noun#2#RM
aerial_imaging_system	prawibiMbana_waMwra#prawibiMbana_waMwra#noun#3#RM
aerial_negative	havAI_negetiva#havAI_negetiva#noun#2#RM
aerial_photogrammetry	havAI_PZotogrAmamiwi#havAI_PZotogrAmamiwi#noun#2#RM
aerial_photograph	havAI_PZoto/havAI_PZoto#havAI_PZoto/havAI_PZoto#noun#2#RM
aerial_photograph_composite	havAI_PZoto_sammiSra#havAI_PZoto_sammiSra#noun#3#RM
aerial_photography	havAI_PZotogrAPZI#havAI_PZotogrAPZI#noun#2#RM
