#telecommunication multi word dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
#          4) If last word is not punctuation then treated last word as head
#             or else treated last but one word as head
#################################################################################
absolute_block	pUrNa_bloYka#pUrNa_bloYka#noun#2#RM
absolute_block_working	pUrNa_bloYka_kAryacAlana#pUrNa_bloYka_kAryacAlana#noun#3#RM
accomodating_crank	samaMjakakArI_krEMka#samaMjakakArI_krEMka#noun#2#RM
accoustic_horn	Xvanika_wUrya#Xvanika_wUrya#noun#2#RM
adequate_distance	paryApwa_xUrI#paryApwa_xUrI#noun#2#RM
adjusting_apparatus	samaMjaka_upakaraNa#samaMjaka_upakaraNa#noun#2#RM
adjusting_cabin_wire	samaMjaka_kebina_wAra#samaMjaka_kebina_wAra#noun#3#RM
adjusting_crank	samaMjaka_krEMka#samaMjaka_krEMka#noun#2#RM
adjusting_screw	samaMjaka_peMca#samaMjaka_peMca#noun#2#RM
advance_screw	agrima_peMca#agrima_peMca#noun#2#RM
advance_signal	agrima_siganala#agrima_siganala#noun#2#RM
aerial_current	eriyala_kareMta#eriyala_kareMta#noun#2#RM
aerial_frequency_control	vAyavIya_Avqwwi_niyaMwraNa#vAyavIya_Avqwwi_niyaMwraNa#noun#3#RM
aerial_gain	vAyavIya_lABa#vAyavIya_lABa#noun#2#RM
aerial_radiation_resistance	vAyavIya_vikiraNa_prawiroXaka#vAyavIya_vikiraNa_prawiroXaka#noun#3#RM
aerial_resistance	vAyavIya_prawiroXaka#vAyavIya_prawiroXaka#noun#2#RM
aerial_system	vAyavIya_praNAlI#vAyavIya_praNAlI#noun#2#RM
alternating_current	prawyAvarwI_XArA#prawyAvarwI_XArA#noun#2#RM
amplification_factor	pravarXana_guNaka#pravarXana_guNaka#noun#2#RM
angle_of_polarisation	XruvaNa_koNa#XruvaNa_koNa#noun#3#RM
angle_slide	koNa_pattI#koNa_pattI#noun#2#RM
angle_straight	Qju_koNa#Qju_koNa#noun#2#RM
annode_modulation	enoda_mAdUleSana#enoda_mAdUleSana#noun#2#RM
appartus_foundation	upakaraNa_AXAravalaya#upakaraNa_AXAravalaya#noun#2#RM
approach_control	Agama_niyaMwraNa#Agama_niyaMwraNa#noun#2#RM
approach_lighting	praveSa_prakASana#praveSa_prakASana#noun#2#RM
approach_locking	pahuMca_pASana#pahuMca_pASana#noun#2#RM
approach_restricted_speed_aspects	pahuMca_gawiprabaMXaka_pakRa#pahuMca_gawiprabaMXaka_pakRa#noun#4#RM
approach_signal	pahuMca_siganala#pahuMca_siganala#noun#2#RM
approach_signal_lighting	pahuMca_siganala_prakASa#pahuMca_siganala_prakASa#noun#3#RM
approach_track_circuit	rela_Agamana_paripaWa#rela_Agamana_paripaWa#noun#3#RM
approaching_train	AnevAlI_gAdZI#AnevAlI_gAdZI#noun#2#RM
arm_contact	saMparka_BujA#saMparka_BujA#noun#2#RM
arm_radial	ArIya_BujA#ArIya_BujA#noun#2#RM
arm_repeater	anucArI_BujA#anucArI_BujA#noun#2#RM
aspect_signal	siganala_pakRa#siganala_pakRa#noun#2#RM
asymmetric_deflection	viRama_vikRepa#viRama_vikRepa#noun#2#RM
audio_range	Sravya_xUrI#Sravya_xUrI#noun#2#RM
auto_surge	svAroha#svAroha#noun#2#RM
automatic_frequency_control	svacAliwa_Avqwwi_niyaMwraNa#svacAliwa_Avqwwi_niyaMwraNa#noun#3#RM
automatic_gain_control	svacala_lABa_niyaMwraNa#svacala_lABa_niyaMwraNa#noun#3#RM
automatic_signal	svacala_siganala#svacala_siganala#noun#2#RM
automatic_signalled_territory	svacAliwa_siganala_kRewra#svacAliwa_siganala_kRewra#noun#3#RM
automatic_telephone_exchange	svacAliwa_telIPona_keMxra#svacAliwa_telIPona_keMxra#noun#3#RM
automatic_telephone_system	svacala_telIPona_praNAlI#svacala_telIPona_praNAlI#noun#3#RM
automatic_train_control	svacAliwa_gAdZI_niyaMwraNa#svacAliwa_gAdZI_niyaMwraNa#noun#3#RM
automatic_train_stop	svacAliwa_gAdZI_roka#svacAliwa_gAdZI_roka#noun#3#RM
automatic_tunning_control	svacala_svaraNa_niyaMwraNa#svacala_svaraNa_niyaMwraNa#noun#3#RM
automatic_warning_system	svacala_cewAvanI_praNAlI#svacala_cewAvanI_praNAlI#noun#3#RM
automotic_block_signalling	svacAliwa_bloYka_siganala_vyavasWA#svacAliwa_bloYka_siganala_vyavasWA#noun#3#RM
auxiliary_light	upasaMgI_prakASa#upasaMgI_prakASa#noun#2#RM
axle_counter	XurA_gaNaka#XurA_gaNaka#noun#2#RM
back_blinker	piCalA_kOMXaka#piCalA_kOMXaka#noun#2#RM
back_board	piCalA_patta#piCalA_patta#noun#2#RM
back_contact	piCalA_saMparka#piCalA_saMparka#noun#2#RM
back_light	piCalI_bawwI#piCalI_bawwI#noun#2#RM
back_light_blinder_signal	siganala_ke_ADZa_kI_piCalI_bawwI#siganala_ke_ADZa_kI_piCalI_bawwI#noun#4#RM
back_light_signal	piCalI_bawwI_siganala#piCalI_bawwI_siganala#noun#3#RM
back_locking	piCalA_parxA#piCalA_parxA#noun#2#RM
balance_lever	saMwulana_lIvara#saMwulana_lIvara#noun#2#RM
balance_weight	saMwulana_BAra#saMwulana_BAra#noun#2#RM
balancing_network	saMwulana_waMwra#saMwulana_waMwra#noun#2#RM
band_switch	bEMda_svica#bEMda_svica#noun#2#RM
banner_flag	roka_pawAkA#roka_pawAkA#noun#2#RM
banner_signal	JaMdA_siganala#JaMdA_siganala#noun#2#RM
banner_type_repeater_signal	pawAkA_prakAra_kA_punarAvarwa_siganala#pawAkA_prakAra_kA_punarAvarwa_siganala#noun#4#RM
beam_light	kiraNa_prakASa#kiraNa_prakASa#noun#2#RM
beat_frequency	spaMxana_Avqwi#spaMxana_Avqwi#noun#2#RM
beat_frequency_oscillator	vispaMxana_Avqwi_xolaka#vispaMxana_Avqwi_xolaka#noun#3#RM
bell_code_signal	GaMtI_kUta_siganala#GaMtI_kUta_siganala#noun#3#RM
bell_signal	siganala_GaMtI#siganala_GaMtI#noun#2#RM
block_back	paSca_bloYka#paSca_bloYka#noun#2#RM
block_back_section	paSca_bloYka_sekSana#paSca_bloYka_sekSana#noun#3#RM
block_diagram	bloYka_AreKa#bloYka_AreKa#noun#2#RM
block_forward	agra_bloYka#agra_bloYka#noun#2#RM
block_gear	bloYka_giyara#bloYka_giyara#noun#2#RM
block_indicator	bloYka_saMkewa#bloYka_saMkewa#noun#2#RM
block_instrument	bloYka_upakaraNa#bloYka_upakaraNa#noun#2#RM
block_instrument_section	bloYka_upakaraNa_sekSana#bloYka_upakaraNa_sekSana#noun#3#RM
block_interlocking_system	bloYka_aMwarpASana_praNAlI#bloYka_aMwarpASana_praNAlI#noun#3#RM
block_joint	bloYka_jodZa#bloYka_jodZa#noun#2#RM
block_post	bloYka_posta#bloYka_posta#noun#2#RM
block_section	bloYkana_sekSana#bloYkana_sekSana#noun#2#RM
block_section_limit_board	bloYka_sekSana_sImA_borda#bloYka_sekSana_sImA_borda#noun#4#RM
block_signal	bloYka_siganala#bloYka_siganala#noun#2#RM
block_station	bloYka_steSana#bloYka_steSana#noun#2#RM
block_switch	bloYka_svica#bloYka_svica#noun#2#RM
block_system	bloYka_praNAlI#bloYka_praNAlI#noun#2#RM
