#steel dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
###############################################################################
alloy_noun	miSrAwu
alloying_noun	miSrAwvana
annealing_noun	anIlana
arching_noun	woraNa/cApakaraNa
ash_noun	rAKa/rAKa_aMSa
ashes_noun	axagXa_rAKa
atmosphere_noun	vAyumaMdala/parimaMdala
attenuation_noun	kRINana
avalanche_noun	avaXAva
bedding_noun	saMswaraNa
beneficiation_noun	sajjIkaraNa
billet_noun	bileta
bitumen_noun	bitUmena
blast_noun	vAwyA
blasting_noun	sPotA/praopaNa
bloom_noun	blUma
blooming_noun	vilepana/blUmakArI
breeze_noun	Aoxa
brick_noun	IMta/ikaRtakA
bridging_noun	sewu_baMXA/CAxA
briquette_noun	ikaRtakA
briquetting_noun	brikitana/ikaRtakAyana
brittleness_noun	BaMgurawA
bruising_noun	KaroMca
calcination_noun	niswApA
calibration_noun	aMSAMkA
centrifuge_noun	apakeMxriwra
charge_noun	GAna/AveSa
charging_noun	GAnana
churning_noun	maMWA
coal_noun	koyalA
combustible_noun	xahanaSIla
compacting_noun	saMhawikaraNa
constriction_noun	saMkIrNA
converter_noun	parivarwiwra/kavartara
conveyor_noun	vAhiwra
corrosion_noun	saMkRAraNa
cupola_noun	kyUpolA
decarbonization_noun	vikArbanana
decarburization_noun	vikArburaNa
decarburize_noun	vikArburaNa
desulphurization_noun	vigaMXakA
electrobrightener_noun	vEpraBAsaka
electrobrightening_noun	vEpraBAsana
electrocapillary_noun	vEkoSikA
electroplating_noun	vElepana
erosion-corrosion_noun	aparaxA_saMkRAraNa
erosion_noun	aparaxA
feeder_noun	praBaraNa
ferro-alloy_noun	lOha_miSrAwu
ferro-chrome_noun	lOha_kroma
ferro-manganase_noun	PeromEMganIja
ferro-silicon_noun	lOha_silikA
ferrochromium_noun	lOha_kromiyama
fusible_noun	saMgalanIya
galvanizing_noun	yaSaxA/yaSaxa_lepana
granulation_noun	kaNikAyana
gypsum_noun	jipsama
gyration_noun	pariBramaNa
hammering_noun	Gana_wAdZana
hardenability_noun	kaToraNIyawA
hardening_noun	kaTorawA
ingot_noun	piMda/SilikA
ladle_noun	lOdala
leaching_noun	niAAlA
liquefaction_noun	xravaNa/xrAvaNa
metal_noun	XAwu
metallurgical_noun	XAwukarmIya
nichrome_noun	nAikroma
overheating_noun	aXiwApA
pulverized_noun	cUrNiwa
rail_noun	rela
refinery_noun	pariRkaraNI/pariRkaraNaSAlA
refining_noun	pariRkaraNa
reflux_noun	paScavAhI
refractory_noun	uccawApasaha
relining_noun	puna:AswaraNa
roll_noun	belA/bellA
rolling_noun	bellA
rust_noun	jaMga
rusting_noun	jaMga_laganA
saddening_noun	svalpa_pAraNa/svalpa_Porjana
sand_noun	bAlU
scrap_noun	skrEpa/ukacCaRta
sinter_noun	siMtara
sintering_noun	siMtaraNa
slag_noun	slaga
slugging_noun	slagA
slurry_noun	karxama/gArA
slurrying_noun	karxamA
smelting_noun	pragalana
steel_noun	ispAwa
steeling_noun	ispAwA
steeloscope_noun	ispAwa_xarSI
structurals_noun	saMracanA_upAxAna
supercooling_noun	awiSIwalA
synthesis_noun	saMSleRaNa
tempering_noun	pAyA/tEmparA
texture_noun	saMvyUwi
thermostat_noun	wApasWApa
torsteel_noun	toYra_ispAwa
tumbling_noun	saMlotA
tunnel_noun	suraMga
tunneling_noun	suraMgA
washery_noun	XAvanI
washing_noun	XAvana
wildsteel_noun	ugra_ispAwa
