a-star	e-stAra
abstract	ebstrEkta
act	ekta/esItI
action	ekSana
actionaider	ekSana_edara
actionaiders	ekSana_edarsa
actions	ekSansa/ekSaMsa
activation	sakriyaNa/ektIveSana
activations	sakriyaNa/ektIveSansa
actuator	ekcuetara
admissibility	edamisibilitI
agendas	ejeMdAja
agent	ejeMta
agents	ejeMtoM/ejeMtsa
ai	eAI/kqbu
algorithm	kalana_viXi/elgorixama/kalanaviXi
algorithms	elgorixamsa/kalana_viXiyAz/kalanaviXiyAz/kalanaviXiyoM/algorixamsa/kalana_viXiyoM/elgoriWamsa
alpha	alPA
anycasting	enIkAstiMga
argument	ArgyUmenta
arguments	ArgyUmentsa
arities	AritIja
arity	AritI
array	arre/saraNI
association	esosieSana
attend	ateMda
attribute	etribyUta
attributes	etribyUtsa
axon	eksoYna
backtracking	bEkatrEkiMga
binary	bAinarI
botnets	botnetsa
call	koYla
cell	koSikA/sela
child	cAilda
children	cildrana/cildena/cildensa/cildransa/cildrena
chromosome	kromojoma
chromosomes	kromosomsa/guNasUwra
circumscription	sarkamskripSana
class	klAsa
classes	klAsesa
clausal	kloYjZala
code	koda
combination	saMyojana/koYmbIneSana
combinations	saMyojana/koYmbIneSana/saMyojanoM/koYmbIneSaMsa
computer	kaMpyUtara/saMgaNaka
computers	saMgaNakoM/kaMpyUtarsa/saMgaNa/saMganakoM/kaMpyUtaroM
conceptualization	avaXAraNAoM/kaMsepcyulAijZESana/avaXAraNA
conceptualizations	avaXAraNAeM/kaMsepcyulAijZESansa/avaXAraNAoM
constant	sWirAMka/koYnsteMta
constants	sWirAMka/koYnstenta
constraint	vyavaroXa/koYnsatreMta
constraints	vyavaroXa/kaMstreMtsa/vyavaroXoM
crossover	kroYsaovara
crowdsourcing	krAudasorsiMga
currentnode	kareMta_noda
cycle	cakra/sAikala/cakriwa
data	detA
database	detAbesa
debug	dIbaga
delta	deltA
dendral	deMdrala
dendrites	deMdrAitsa
dependencies	nirBarawAeM/dipendansIja/dipendansIjZa/nirBarawAoM
dependency	nirBarawA/dipendansI
direction	xiSA/direkSana
disjunction	disjaMgakSana
do	dU
domain	kAryakRewra/domena
encode	enakoda
endgame	eMdagema
entailment	eMtelameMta
entities	eMtitIja
entity	eMtitI
environment	enavAyaranameMta/enavAyarameMta
episode	episod
epoch	Ipoka
epochs	Ipoksa
eta	itA
exoar	eksora
expel	kspela
explore	eksaplora/eksaplor
explored	eksaplorda
exponentially	eksaponenaSiyalI
factorial	PZEktoriyala
file	PAila
fork	Porka
frame	Prema
frames	PremoM/Premsa
function	PaMkSana/PZaMkSana
functions	PaMkSansa/PZaMkSaMsa
gene	jIna
genes	jInsa
genome	jInoma
goal	gola
goals	golsa
grasp	grAspa
grid	grida/grIda
hardware	hArdaveyara
heuristic	hyUristika
heuristics	heyaristiksa/hyUristika/hyUristiksa
index	iMdeksa/sUcakAMka
inference	niRkarRa/inParansa
ingest	injesta
inheritance	inheritansa
input	inaputa
inputs	inaputsa/inaputsa_ikAiyAeM/inaputsa_yUnitsa/inapu_tsa
instantiation	instEnSieSana
interlingua	iMtaraliMgvA
interpolation	iMtarapoleSana
intuitor	intUtara
intuitors	intUtarsa
ions	AyanoM
isa	ijae
iterations	itareSansa/punarAvarwanoM/itareSanoM/itareSaMsa
java	jAvA
layer	parawa/leyara/paraweM/leyarsa
layers	paraweM/leyarsa/parawoM
level	levala/swara
levels	levaloM/swara/levalsa/swaroM
linear	liniyara
linearly	liniyaralI
literal	SAbxika/litarala
literals	SAbxika/litaralsa/SAbxikoM
loc	elaosI
location	sWAna/lokeSana
logic	loYjika
login	loYgaina
matrices	AvyUha/metrisesa
matrix	AvyUha/mEtriksa
max	aXikawama/mEksa
maxply	aXikawama_plAI/mEksa_plAI
microprocessor	mAikroprosesara
minimax	minimEksa/minImEksa
misclassification	galawa_vargIkaraNa/misa_klAsiPikeSana/miskalAsiPikeSana
model	prawimAna/moYdala
move	mUva
multi-layer	bahu-parawa/maltI-leyara
mutation	myuteSana
negation	negeSana
negative	qNa/negetiva
network	netavarka
neuron	nyUroYna
neurons	nyUroYnsa
node	noda
nodeinfo	nodaiMPo
nodes	nodasa/nodoM/nodsa
nonlinear	noYnalIniyara
nucleus	nABika/nyUkliyasa
object	oYbjekta
object-oriented	oYbjekta_orieMteda
objective	oYbjektiva
objects	oYbjektsa
odd	viRama/oYda
ontology	oYntoloYjI
operation	oYpareSana
optimal	anukUlawama/oYptimala/Aptimala
optimization	oYptimAijZeSana
optimize	anukUlana/oYptimAija
optimized	anukUliwa/oYptimAijda
output	Autaputa
outputs	AutaputoM/Autaputsa
overestimation	ovarestimaSana
parent	perenta/pereMta/pEreMta
parents	perentsa/pereMtsa
password	pAsavarda
percept	parasepta
perceptron	parasepatrona
percepts	paraseptsa
permutations	kramacaya/paramuteSana
pheromone	Peromona
placeholders	plesaholdarsa
plan	plAna
planning	plAniMga
plannings	plAniMgsa
plies	plAIja
ply	plAI
population	populeSana
positive	Xana/poYjitiva
powerpoint	poYvarapoYiMta
pre-processing	prI-prosesiMga
precondition	pUrva_Sarwa/prI_kaMdISana/prI-kaMdISana/prIkaMdISana
preconditions	pUrva_SarweM/prI_kaMdISansa/prI-kaMdISansa/pUrva_SarwoM/prIkaMdISansa
predicate	nirXAraka/pradIketa/prediketa/viXeya/predIketa
predicates	nirXAraka/pradIketsa/prediketsa/nirXArakoM/pradiketsa/viXeya
premise	premisa
premises	premisesa
preprocessing	prIprosesiMga
prerequisite	pUrvApekRA/pririkvisita/pUrvApekRiwa
prerequisites	pUrvApekRAeM/pririkvisitsa/pUrvApekRAez/pUrvApekRAoM
primitive	primitiva
primitives	primitivja
problem	proYblama/problama
problems	proYblamsa/problamsa
process	prakriyA/prosesa
processes	prosesija/proseseja/prosesesa
processing	prasaMskaraNa/proYsesiMga/prosesiMga
processor	prosesara
processors	prosesarsa
program	progrAma
programmer	progrAmara
programmers	progrAmarsa
programs	progrAmoM/progrAmsa
prolog	proloYga
propel	propela
python	pAyaWana
quantifier	parimANaka/kvAMtiPAyara
quantifiers	parimANako/kvAMtiPAyarsa
random	yAxqcCika/reMdama
randomness	yAxqcCikawA/reMdamanesa
recombination	rikoYmbineSana
recursion	rikaraSana
refutation	rePyuteSana
relationship	rileSanSipa
relationships	rileSanSipsa
resolution	rejZalUSana
router	rAutara
routers	rAutarsa
script	skripta/skript
scripts	skriptsa
search	Koja/sarca/solyUSana_Koja/solyUSanasarca
segment	KaMda/segameMta
segments	KaMdoM/segameMtsa
selection	cayana/silekSana
sensor	seMsara
sensors	seMsaroM/seMsarsa
set	seta
shortlist	SoYrtalista
sibling	sibliMga
sigma	sigmA
sigmoid	sigmoida
software	soYPtaveyara
space	spesa
speak	spIka
spectrometer	spektromItara
square	skveyara
state	avasWA/steta/stArta_steta/stetsa
state-space	steta-spesa
state-spacesearch	steta-spesa
states	avasWAeM/stetsa/avasWAez/avasWAoM/steta
storage	storeja
store	stora
strategies	raNanIwiyAz/strEtajIja/raNanIwiyoM
strategy	raNanIwiyAz/strEtajI/raNanIwi
subscripts	paxAMka/sabaskriptsa/paxAMkoM
subtree	sabatrI
summation	jodZa/sameSana
supercomputer	supara_kaMpyUtara
swale	svAle
syllogism	silajijZama
symbols	prawIka/simbalsa/prawIko/prawIkoM
synchronization	siMkronAijZeSana
task	toYska
technique	wakanIka/teknIka
techniques	wakanIkoM/teknIksa
testing	parIkRaNa/testiMga
threshold	WreSaholda/WreSolda
tree	trI
uncertainty	aniSciwawA/ansartentI
underestimation	andarestimaSana/andarestimeSana
unification	ekIkaraNa/yUniPikeSana
value	mAna/vElyU/mAnoM/vElyUja
values	mAna/vElyUja/vElyUjZa/mAnoM
variable	cara/variebala
variables	cara/veriebalsa/caroM/variebalsa
vector	saxiSa/vektara
weight	veta
weightage	veteja
weighted	vetida
weights	veta/vete_sa/vetsa
zeroing	lopana/jIroiMga
