#workshop dictionary extracted by Monika Sharma. Formatted by Roja (26-01-2016)
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun' by default
################################################################################
abstraction_noun	apaharaNa/nikarRaNa
accessible_noun	aBigamya
accurate_noun	yaWArWa
adhesion_noun	AsaMjana
adjusting_noun	samAyojana
adjustment_noun	samAyojana
aligning_noun	ekareKIya
apparatus_noun	upakaraNa
arc_noun	Arka
ash_noun	Basma
automobile_noun	svagAmI
auxiliaries_noun	sahAyaka_upakaraNa
bare_noun	anAvqwa
bellows_noun	XOMkanI
belt_noun	pattA
bit_noun	agra
blasting_noun	visPotana
blower_noun	aXyAwA
body_noun	nikAya/piNda
boiler_noun	BApajaniwra/vARpiwra
bolt_noun	kAvalA
boring_noun	praveXana
brake_noun	AroXa
brazing_noun	brejana
brittle_noun	BaMgura
buckling_noun	AkuMcana
burner_noun	jvAlaka
carburizing_noun	kArbana_vyApana
casting_noun	Dalaja
chamfered_noun	apakoNiwa
cheaper_noun	alpavyayI
chip_noun	CIlana
chisel_noun	CEnI
clamp_noun	SikanjA
cleaning_noun	mArjana
clearance_noun	avakASa
coated_noun	lepiwa
collapse_noun	nikAya
condition_noun	prawibanXa
connection_noun	sambanXana
conoidal_noun	SaMkuBi
container_noun	AXAna/XAraka
contraction_noun	sankucana
coupling_noun	yugmana
covered_noun	Avqwa
crack_noun	xarAra
crush_noun	saMxalana
crushing_noun	xalana
crysteline_noun	ravexAra
cumbustion_noun	xahana
defective_noun	saxoRa
deformation_noun	vikqwi/virUpaNa
dense_noun	saGana
deoxidised_noun	viAksIkqwa
deposite_noun	nikRepa
designer_noun	aBikalpaka
device_noun	yukwi
die_noun	rUpaxA
dirt_noun	mala
dissolved_noun	vilIna
disturbance_noun	vikRoBa
double_noun	xvika/xviguNiwa
drill_noun	baramA
drilling_noun	veXana
ductility_noun	wanyawA
earthed_noun	BUsamparkiwa
ecoomically_noun	miwavyayiwA
edge_noun	konA/XAra
elongation_noun	xIrGAkaraNa
embrittlement_noun	BiXUrIkaraNa
enclose_noun	paribaxXa
enormous_noun	vipula
envelop_noun	anvAlopI
equipment_noun	upaskara
evolution_noun	uxBava
evolved_noun	uxvikasiwa
externally_noun	vAhyawaH
fabrication_noun	saMviracanA
face_noun	Palaka
factor_noun	upAxAna
fastner_noun	banXaka
fatigue_noun	SrAnwi
film_noun	parawa
filter_noun	nispanxaka
finishing_noun	parirUpaNa
fit_noun	anvAyojana
fittings_noun	anvAyukwiyAM
flash_noun	xamaka
fluidity_noun	waralawA
flush_noun	sapAta
flux_noun	gAlaka
forming_noun	prarUpaNa
frame_noun	sAMcA
fusible_noun	galanIya
fusion_noun	saMgalana
gap_noun	anwarAla
gasificator_noun	gEsa_kAraka
gasolin_noun	petrola
gasometer_noun	gEsa_taMkI
gauge_noun	pramApI
glider_noun	aganwra_vimAna
granules_noun	xAnA
grey_noun	XUsara
grinding_noun	apaGarRaNa
grooved_noun	KAMcexAra
guide_noun	nirxeSaka
handling_noun	haswana
helmet_noun	Siraswra
holder_noun	grAhI
hood_noun	Caja
hose_noun	naByanAla
inclined_noun	Anawa
inclussion_noun	anwarveSa
ingot_noun	sillI
installation_noun	aXiRTApana
interchanger_noun	vinimAwra
jigs_noun	jigsa
job_noun	kqwyaka
joining_noun	sanXikaraNa
junction_noun	saMgama_sWAna
knob_noun	GuNdI
leakage_noun	kRaraNa
loaded_noun	BAriwa
luminous_noun	xIpwa
machinist_noun	yanwrakAra
maintenance_noun	anurakRaNa
minor_noun	amuKya
mould_noun	sAMcA
muffle_noun	avaguNTa
nonluminous_noun	jyowihIna
nozzle_noun	wuNda
nut_noun	DibarI
oblique_noun	wiryaka
occlusion_noun	aXiXAraNa
open_noun	vivqwa
operation_noun	pracAlana
operator_noun	pracAlaka
orifice_noun	ranXra
overcome_noun	awikramaNa
overhead_noun	Siropari
paint_noun	pralepa
pan_noun	karAha
panel_noun	BatTI
paste_noun	leI
pattern_noun	prawirUpa
penetration_noun	veXana
perpendicular_noun	lambavawa
pipe_noun	nAla
plasticity_noun	suGatyawA
plate_noun	pattikA
pneumatic_noun	vAwila
pool_noun	kuNda
porous_noun	saMranXra
portable_noun	suvAhya
preferable_noun	aXimAnya
preparation_noun	sajjA
preperation_noun	sajjA
press_noun	xAbaka
projected_noun	prakRipwa
prolong_noun	xIrGakAla
protective_noun	rakRaka
punch_noun	sumbA
pungent_noun	wIKI
pyrometer_noun	uwwApamApI
quality_noun	guNawA
quenching_noun	majjaSIwana
ragged_noun	cIriwa
rare_noun	xuRprApya/xurlaBa
refrigeration_noun	praSIwana
regulator_noun	niyAmaka
repair_noun	jIrNoxXAra
resin_noun	rAla
respirator_noun	Svasiwra
retain_noun	aBiXAraNa
rigidity_noun	xqDZawA
rinsing_noun	prakRAlana
rolling_noun	lotanika
rosin_noun	ganXrAla
rotary_noun	GUrNI
scalp_noun	parpatI
scrubber_noun	mArjaka
seam_noun	sIvana
severe_noun	ugra
shear_noun	aparUpaNa
sheet_noun	cAxara
shielded_noun	parirakRiwa
shock_noun	praGAwa/XakkA
shop_noun	SAlA
shovel_noun	PAvadZA
silicious_noun	silikAmaya
slag_noun	XAwumala
sliding_noun	sarpaNa
sludge_noun	avapaMka
solder_noun	JAla
soldered_noun	Jaliwa
solidification_noun	piNdana
solvent_noun	vileyaka
soot_noun	kajjala
spacing_noun	anwaraNa
sparker_noun	sPuliMga_praxAyI
specifications_noun	vinirxeSa
spiral_noun	sarpila
split_noun	vipAtiwa
spray_noun	PuhAra
squeeze_noun	niRpIdana
staggered_noun	asamuKa
steady_noun	aparivarwiwa
stem_noun	xaNda
stiffener_noun	swamBaka
storage_noun	saMgraha
straight_noun	qju
strain_noun	vikqwi
streamer_noun	jyowi_kewu
stress_noun	prawibala
strong_noun	prabala
supplier_noun	praxAyaka
supply_noun	praxAya/samBaraNa
sweating_noun	prasvexana
tack_noun	kIlikA
tallow_noun	paSubasA
tapered_noun	SuNdiwa
tarnished_noun	malina
technician_noun	praviXijFa
technique_noun	praviXi
tensile_noun	wanana
thin_noun	mahIna
throttling_noun	uparoXana
tilt_noun	aBinawi
tin_noun	vaMga
tinning_noun	kI_karanA
tongs_noun	saMxaSa
tough_noun	xqDZa
tubular_noun	nalikAkAra
ultimate_noun	carama
unbevelled_noun	apravaNiwa
uneven_noun	asamAna
unshielded_noun	aparirakRiwa
vertical_noun	uxagra
vessel_noun	BANda/vAhikA
viceversa_noun	biloma_krama
vitreeous_noun	kAca_sama
warping_noun	saMvalana
waste_noun	apaSiRta
wear_noun	viGarRaNa
workpiece_noun	kAryavaswu
zinc_noun	yaSaxa
