#
#Eng_tam	H_tam-Sub_viBakwi-preceding_part_of_the_verb
################################################################
##################    Manually corrected by " Madhavi " ###########################
0	wA_hE-0-0
0_not	0-0-nahIM
against_ing	ne_ke_viruxXa-0-0
# The British Orthopdic Association ruled against screening as a national policy.
# briwiSa OrWopedik saMGa praxarSan karane ke viruxXa eka raRwriya nIwI kI waraha SAsana kiyA.
am_able_to_0	0_pAwA_hE-0-0
am_being_en	yA_jA_rahA_hE-ko-0
am_en_born	yA_hE-0-0
am_en	yA_jAwA_hE-0-0
am_going_to_0	ne_vAlA_hE-0-0
am_ing	0_rahA_hE-0-0
# I am playing a dangerous game. <=> mEM eka KawaranAka Kela Kela rahA hUM.
# He is playing the best golf of his life. <=> vaha apne jIvana kA sabase acCA golf Kela rahA hE.
am_not_being_en	yA_jA_rahA_hE-ko-nahIM
# I definitely am not being paid the same amount.
# muJe (ko) niScIwa rUpa se samAna rASI kA BugawAna nahIM kiyA jA rahA hE.
# I am not being given that opportunity. <=> muJe vaha mOkA/avasara nahIM diyA jA rahA hE.
am_not_en	yA_hE-0-nahIM
am_not_going_to_0	ne_vAlA_hE-0-nahIM
am_not_ing	0_rahA_hE-0-nahIM
#I am not doing as good as i should.  <=>  mEM uwanA acCA nahIM kara rahA hUM jiwanA mUJe karanA cAhiye.
am_not_to_0	ne_vAlA_hE-0-nahIM
# Perhaps I am not to open it.  <=>  SAyad mEM ise nahI Kolane vAlA hUM.
# He is not to use his title.   <=>  vaha usakA SIrRaka nahiM prayoga karane vAlA hE.
am_not_to_be_en	yA_jAnA_hE-0-nahIM
# Judaism teaches that life is not to be taken before its time. <=> judEjzma paDzAwe hEM ki jIvana isake samaya se pahale nahIM liyA jAnA hE.
am_to_0	ne_vAlA_hE-0-0
am_to_be_en	yA_jAnA_hE-0-0
am_unable_to_0	0_pAwA_hE-0-nahIM
are_able_to_0	0_pAwA_hE-0-0
are_being_en	yA_jA_rahA_hE-0-0
# The right steps are being taken. <=>  sahI kadama uTAye jA raheM hEM.
are_en_born	yA_hE-0-0
are_en	yA_gayA_hE-0-0
# His answers are wrtten down on the paper. <=> usake uwwara kAgajaz para liKA gayA hE.
are_going_to_0	ne_vAlA_hE-0-0
are_ing	0_rahA_hE-0-0
# Hungry dogs are runnning everywhere. <=> BUKe kuwwe sabjagaha xOdaz raheM hEM.
are_not_being_en	yA_jA_rahA_hE-0-nahIM
# My decisions are not being taken seriously. <=> mere nirNayoM ko gamBIrawA se nahIM liyA jA rahA hE.
are_not_en	yA_hE-0-nahIM
# We are not given the opportunity to see. <=> hame xeKane ke lie avasara nahIM xiyA hE.
are_not_going_to_0	ne_vAlA_hE-0-nahIM
are_not_ing	0_rahA_hE-0-nahIM
# We are not changing our policy.  <=> hama apanI nIwI nahIM badala raheM hEM
are_not_to_0	ne_vAlA_hE-0-nahIM
# They are not to do this. 	<=>  ve ise nahIM karane vAle hEM.
are_not_to_be_en	yA_jAnA_hE-0-nahIM
# They are not to be given back to the people.  <=> logoM ke liye una logoM ko wApasa nahIM xiyA jAnA hE.
are_to_0	ne_vAlA_hE-0-0
# They are to go with someone.  <=>  ve kuCa logoM ke sAWa jAne vAle hEM.
are_to_be_en	yA_jAnA_hE-0-0
# These projects are to be done differently.  <=> ina pariyojanAoM ko alaga warike/Dazga se kiyA jAnA hE.
are_unable_to_0	0_pAwA_hE-0-nahIM
before_ing	ne_ke_pahale-0-0
being_en	yA_jA_rahA-0-0
between_ing	ne_ke_bIca-0-0
beyond_ing	ne_ke_pare-0-0
#The culprit had gone beyond thinking (about a bomb). <=> aparAXI socane ke pare calA gayA WA ( eka bama ke bAre mEM.)
by_ing	0_kara-0-0
can_0	0_sakawA_hE-0-0
# He can do without losing his own life. <=>  vaha apanA jIvana Koye binA hI kara sakawA hE.
can_be_en	yA_jA_sakawA_hE-0-0
# Some medicins can be given with food. <=> kuCa xavAiMyoM ko KAne ke sATa xiyA jA sakawA hE.
can_have_en	yA_hogA-0-0
can_never_0	0_sakawA_hE-0-kaBI_nahIM
# We can never go back.		<=>   hama vApasa kaBI nahIM jA sakaweM hEM.
can_never_have_en	0_sakawA-0-kaBI_nahIM
can_not_0	0_sakawA_hE-0-nahIM
cannot_0	0_sakawA_hE-0-nahIM
can_not_be_en	yA_jA_sakawA_hE-0-nahIM
# comparable studies can not be done with human research subjects
# wulaniya paDzAI mAnava anusanDAna viRayoM ke sAWa nahIM kiyA jA sakawA hE.
cannot_be_en	yA_jA_sakawA_hE-0-nahIM
can_not_have_en	yA_hogA-0-nahIM
cannot_have_en	yA_hogA-0-nahIM
can_not_help_ing	raha_sakawA-ko-yA_binA+nahIM
could_0	0_sakA-0-0
# Joan could buy her paracetamol over the counter at very low cost.
# jona bahuwa apanA pErasiwamOla kama kimawa para kAunwara se Karixa sakI.
could_be_en	yA_jA_sakawA_hE-0-0
#They could be given a new problem in the examination. <=> una logoM ko parikRA meM eka naI samasyA xI jA sakawI hE.
#
##################    Manually corrected by " Ruchi " ###########################
could_have_been_en	yA_jA_sakawA_WA-0-0
# Effective measures could have been taken at every stage of the crisis.
# saMkata ke hara caraNa meM praBAvI kaxama uTAye jA sakawe We.
could_have_been_ing	wA_ho-0-ho_sakawA_hE
could_have_en	0_sakawA_WA-0-0
# No one could have seen that coming.		use Awe hue koi nahIM xeKa sakawA WA.
could_not_0	0_sakA-0-nahIM
could_not_be_en	yA_jA_sakA-0-nahIM
# They sprang together and could not be pulled apart.	ve sAWa uge Ora unheM alaga nahIM kiyA jA sakA.
could_not_have_been_en	yA_jA_sakawA_WA-0-nahIM
could_not_have_been_ing	wA_ho-0-ho_sakawA_hE_nahIM
could_not_have_en	0_sakawA_WA-0-nahIM
could_not_help_ing	raha_sakA-ko-yA_binA+nahIM
dare_0	nA_kI_himmawa_hE-meM-0
did_0	yA_WA-0-0
did_dare_0	nA_kI_himmawa_WI-meM-0
did_have_to_0	nA_padA-ko-0
did_have_to_be_en	nA_padawA_WA-0-0
did_not_0	yA_WA-0-nahIM
did_not_dare_0	WI-meM-nA_kI_himmawa+nahIM
did_not_have_to_0	nahIM_padA-ko-nA
did_not_have_to_be_en	nahIM_padawA_WA-0-nA
did_not_like_to_0	nA_pasanxa_nahIM_karawA_WA-0-0
did_not_use_to_0	yA_karawA_WA-0-nahIM
do_0	wA_hE-0-0
does_0	wA_hE-0-0
does_dare_0	hE-meM-nA_kI_himmawa+nahIM
does_have_to_0	nA_padegA-ko-0
does_have_to_be_en	nA_padegA-ko-0
does_not_0	wA_hE-0-nahIM
does_not_dare_0	WI-meM-nA_kI_himmawa+nahIM
does_not_have_to_0	nA_hE-ko-nahIM
does_not_have_to_be_en	ne_kI_jZarUrawa_nahIM_hE-0-0
does_not_like_to_0	nA_pasanxa_nahIM_karawA_hE-0-0
do_have_to_0	nA_padegA-ko-0
do_have_to_be_en	nA_padegA`-ko-0
do_not_0	wA_hE-0-nahIM
do_not_dare_0	nA_kI_himmahE-meM-0
do_not_have_to_0	nA_hE-ko-nahIM
do_not_have_to_be_en	ne_kI_jZarUrawa_nahIM_hE-0-0
do_not_like_to_0	nA_pasanxa_nahIM_karawA_hE-0-0
ed_en	yA_[huA]-0-0
ed	yA-0-0
en	yA_huA-0-0
from_ing	ne_se-0-0
get_en	yA_jAwA_hE-0-0
gets_en	0_ho_jAwA_hE-0-0
gets_en	yA_jAwA_hE-0-0
got_en	yA_gayA-0-0
had_been_en	yA_gayA_WA-0-0
had_been_ing	wA_rahA_WA-0-0
had_en	yA_WA-0-0
#had_en	0_cukA_WA-0-0
had_got_to_be_en	0_xenA_padA-0-0
had_just_en	yA_hI_WA-0-0
had_not_been_en	yA_gayA_WA-0-nahIM
had_not_been_ing	0_rahA_WA-0-nahIM
had_not_en	0_cukA_WA-0-nahIM
had_not_got_to_be_en	0_xenA_padA-0-nahIM
had_not_to_be_en	nA1_padegA_WA-0-nahIM
had_to_0	nA_padA-ko-0
had_to_be_en	nA_hI_WA-0-0
has_been_en	yA_gayA_hE-0-0
has_been_ing	wA_rahA_hE-0-0
has_en	yA_hE-0-0
#has_en	0_cukA_hE-0-0
has_got_to_be_en	yA_hI_jAnA_hE-0-0
has_never_en	0_cukA_hE-0-kaBI_nahIM
has_never_en	0_cukA_hE-0-nahIM
has_not_been_en	yA_gayA_hE-0-nahIM
has_not_been_ing	wA_rahA_hE-0-nahIM
has_not_en	0_cukA_hE-0-nahIM
has_not_got_to_be_en	yA_jAnA_hE-0-hI_nahIM
has_not_to_be_en	nA1_padegA-0-nahIM
has_to_0	nA_hE-ko-0
has_to_be_en	nA_hI_hE-0-0
have_been_en	yA_gayA_hE-0-0
have_been_ing	wA_rahA_hE-0-0
# what we have been doing. <=>  hama kyA karawE rahE hE.
have_en	0_cukA_hE-0-0
# They have done the documentary. <=> ve viwwaciwra banA cuke hE.
have_got_to_be_en	yA_hI_jAnA_hE-0-0
have_never_en	0_cukA_hE-0-nahIM
have_not_been_en	yA_gayA_hE-0-nahIM
have_not_been_ing	wA_rahA_hE-0-nahIM
have_not_en	0_cukA_hE-0-nahIM
have_not_got_to_be_en	yA_jAnA_hE-0-nahIM
have_not_to_be_en	nA1_padegA-0-nahIM
have_to_0	nA_hE-ko-0
have_to_be_en	nA_hI_hE-0-0
have_got_to_be_en       yA_hI_jAnA_hE-0-0
# you have got to be prepared. <=>  wumhE wEyAra kIya hI  jAnA hE.
have_to_keep_ing	we_rahanA_hE-ko-0
having_en	0_cukane_ke_bAxa-0-0
imper_0	imper-0-0
imper	imper-0-0
imper_not_0	imper-0-mawa
ing	wA_huA-0-0
in_ing	ne_meM-0-0
into_ing	ne_para-0-0
is_able_to_0	0_pAwA_hE-0-0
is_being_en	yA_jA_rahA_hE-0-0
is_en_born	yA_hE-0-0
is_en	yA_huA_hE-0-0
is_going_to_0	ne_vAlA_hE-0-0
is_ing	0_rahA_hE-0-0
is_never_to_be_en	yA_jAnA_hE-0-kaBI_nahIM
is_not_being_en	yA_jA_rahA_hE-0-nahIM
is_not_en	yA_gayA_hE-0-nahIM
# Art is not seen as a business. <=> kalA ko vyApAra ki waraha nhiM xeKA gayA hE.
is_not_going_to_0	ne_vAlA_hE-0-nahIM
is_not_ing	0_rahA_hE-0-nahIM
is_not_to_0	ne_vAlA_hE-0-nahIM
is_to_0	ne_vAlA_hE-0-0
is_to_be_en	yA_jAnA_hE-0-0
is_unable_to_0	0_pAwA_hE-0-nahIM
keep_ing	wA_rahawA_hE-0-0
keep_on_ing	wA_rahawA_hE-0-0
keeps_ing	wA_rahawA_hE-0-0
keeps_on_ing	wA_rahawA_hE-0-0
kept_ing	wA_rahA-0-0
kept_on_ing	wA_rahA-0-0
let_0	ne_xo-ko-0
liked_to_0	nA_pasanxa_karawA_WA-0-0
likes_to_0	nA_pasanxa_karawA_hE-0-0
like_to_0	nA_pasanxa_karawA_hE-0-0
made_0	Nic-0-0
may_0	0_sakawA_hE-0-0
may_be_en	yA_jA_sakawA_hE-0-0
may_have_been_en	yA_gayA_hogA-0-0
may_have_been_ing	wA_rahA_ho-0-ho_sakawA_hE
may_have_en	yA_hogA-0-0
may_need_to_0	ne_kI_jZarUrawa_pada_sakawI_hE-ko-0
may_not_0	0_sakawA-0-nahIM
may_not_be_en	yA_jA_sakawA_hE-0-nahIM
may_not_have_been_en	yA_gayA_hogA-0-nahIM
may_not_have_been_ing	wA_rahA_ho-0-ho_sakawA_hE_nahIM
may_not_have_en	yA_hogA-0-nahIM
might_0	0_sakawA_hE-0-0
might_be_en	yA_jA_sakawA_hE-0-0
might_be_ing	0_rahA_hogA-0-ho_sakawA_hE
might_have_been_ing	yA_huA_ho_sakawA_hE-0-0
might_have_en	yA_hogA-0-SAyaxa
might_not_0	ez-0-ho_sakawA_hE_nahIM
might_not_be_en	yA_jA_sake-0-nahIM
might_not_be_ing	yA_ho-0-ho_sakawA_hE_nahIM
might_not_have_been_ing	0_rahA_hogA-0-nahIM
might_not_have_en	yA_ho-0-ho_sakawA_hE_nahIM
must_0	nA_cAhiye-ko-0
must_be_en	nA_hogA-0-0
must_be_ing	wA_rahA_hogA-0-0
must_have_been_en	yA_gayA_hogA-0-0
must_have_been_ing	0_rahA_hogA-0-0
must_have_en	yA_hogA-0-0
must_have_not_been_ing	wA_rahA_hogA-0-nahIM
must_have_not_en	yA_hogA-0-nahIM
must_not_0	nA_cAhiye-ko-nahIM
must_not_be_en	nA_hogA-0-nahIM
must_not_be_ing	wA_rahA-0-nahIM
must_not_have_been_en	yA_gayA_hogA-0-nahIM
must_not_have_been_ing	0_rahA_hogA-0-nahIM
must_not_have_en	yA_hogA-0-nahIM
need_not_0	ne_kI_jZarUrawa_hE-ko-nahIM
need_to_0	ne_kI_jZarUrawa_hE-ko-0
need_to_be_en	yA_jAnA_hE-0-0
NEG_PRES	nahIM-0-0
never_0	0-0-kaBI_nahIM
not_en	yA_huA-0-nahIM
not_having_en	nA_ke_kAraNa-0-nahIM
######################## Manually corrected by " Shubhra " #######################
not_to_0	nA-0-nahIM
# I tried not to think about it.  <=>  mEne usa bAre meM nahIM socane kI koSiSa kI.
of_ing	ne_ke_bAre_meM-0-0
on_ing	ne_para-0-0
# Congratulations on making it to the finals. <=> PZAinala waka pahuMcane para baXAI ho.
ought_not_to_0	nA_cAhiye-ko-nahIM
ought_not_to_be_en	yA_jAnA_cAhiye-ko-nahIM
ought_not_to_have_en	nA_cAhiye_WA-ko-nahIM
ought_to_0	nA_cAhiye-ko-0
ought_to_be_en	yA_jAnA_cAhiye-ko-0
ought_to_have_en	nA_cAhiye_WA-ko-0
# Petya ought to have known that he was in the forest. <=> pewyA ko pawA honA cAhiye WA ki wo jaMgala meM WA.
shall_0	gA-0-0
# They shall say I ought to have known better. <=> ve kaheMge muJe behawara pawA honA cAhiye WA.
shall_be_en	yA_jAyegA-0-0
# The crooked places shall be made straight, and the rough places smooth.
# teDZe-meDZe jagahoM ko sIXA banA xiyA jAyegA, Ora ubadZa-kAbadZa rAstoM ko mulAyama.
shall_be_ing	wA_rahegA-0-0
shall_have_to_0	nA_hogA-0-0
# I shall have to see your apartments. <=> muJe wumalogoM kI PZlEteM xeKanI hoMgI.
shall_not_0	gA-0-nahIM
# I shall not live to see another dawn. <=> mEM eka Ora subaha xeKane ke liye nahIM jiuzgA.
should_0	nA_cAhiye-ko-0
# I think you should take your kids out. <=> mEM socawA huz/muJe lagawA hE wumheM apane baccoM ko bAhara/GumAne le jAnA cAhiye.
should_be_en	yA_jAnA_cAhiye-0-0
should_be_ing	nA_cAhiye-0-0
should_be_to_0	nA_kA_cAhiye_honA-ko-0
should_have_been_en	nA_cAhiye_WA-ko-0
should_have_been_ing	wA_rahanA_cAhiye_WA-ko-0
should_have_en	nA_cAhiye_WA-ko-0
# I do not think President Obama should have gone on this bus tour.
# muJe nahIM lagawA ki rARtrapawI obAmA ko isa basa yAwrA para jAnA cAhiye WA.
should_like_to_0	nA_pasanxa_kara_gA-0-0
should_never_0	nA_cAhiye-ko-kaBI_nahIM
# You should never say never because you don't know what God will do in your life.
# wumheM kaBI nahIM kaBI nahIM kahanA cAhiye kyoMki wuma nahIM jAnawe BagavAna wumhArI jZiMxagI meM kyA kareMge.
should_not_0	nA_cAhiye-ko-nahIM
# They should not give crazy people guitars. <=> (unheM) pAgala logoM ko gitAra nahIM xenA cAhiye.
should_not_be_en	0_jAnA_cAhiye-ko-nahIM
should_not_be_ing	nA_cAhiye-0-nahIM
should_not_be_to_0	nahIM_cAhiye_honA_kA_nA-0-0
should_not_have_been_en	yA_cAhiye_WA-ko-nahIM
should_not_have_been_ing	wA_rahanA_cAhiye_WA-ko-nahIM
should_not_have_en	nA_cAhiye_WA-ko-nahIM
subj	subj-0-0
s	wA_hE-0-0
# She sleeps on the couch.  <=> vaha soPZe para sowI hE.
to_be_en	yA_huA_honA-0-0
to_be_ing	wA_huA-0-0
# It appears to be going upwards. <=> vaha Upara jAwA huA prawIwa howA hE.
TO_INF	nA-0-0
towards_ing	ne_ke_liye-0-0
used_to_0	yA_karawA_WA-0-0
# I used to think she was extremely talented. <=> mEM socA karawA WA vaha awyaMwa prawiBAvAna hE.
was_able_to_0	0_pAwA_wA-0-0
was_being_en	yA_jA_rahA_WA-0-0
# When I woke up I was being carried from the car to a house. <=> jaba mEM jAgI muJe gAdZI se Gara meM le jAyA jA rahA WA.
