# Girl standing in front of me ..
# Structure of the file:
##_I_was_fond_of_her_music.
#GOD,ÈÏÌÚÂèÌÚ,PADA,,
#These_are_the_people_who_most_need_our_help.
#_Girl_standing_in_front_of_me_..
#_Structure_of_the_file:
#aBiyAna_->_aBiyAna_calAnA
#anybody,³Û×Ü~ËÜ^³å§~ËÜ,PADA,kisI_oblque_form_of_koI,BI_is_optional_in_interrogative,
#anything's,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#anything,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#drift's,ÊØÆÚ{vib:³Ú},SABDA,,
#drift,ÊØÆÚ{0},SABDA,,
#drifted,ÊØÆÚ~{ed/en},SABDA,,
#drifting,ÊØÆÚ~{ing},SABDA,,
#drifts',ÊØÆÚ{s}{vib:³Ú},SABDA,,
#drifts,ÊØÆÚ~{s},SABDA,,
#fond,È×ÆèÄ~ØåÆÚ2[-],SABDA,,
#most,¤ÅÛ³ÂÌ,PADA,,
#nervous,ÔèÍµèÏ^×èÆÚÍÔÛ³[-],SABDA,,
#nobody,³å§~ÆØÜ¢{0},SABDA,,
#none,³å§~ÆØÜ¢,SABDA,,
#nothing,³İ¹~ËÜ~ÆØÜ¢^ÕŞÆèÍ{0},SABDA,,
#retain,×èÃÛÏ~Ï´ÆÚ{0},SABDA,,
#retained,×èÃÛÏ~Ï´ÆÚ~{ed/en},SABDA,,
#retaining,×èÃÛÏ~Ï´ÆÚ~{ing},SABDA,,
#retains,×èÃÛÏ~Ï´ÆÚ~{s},SABDA,,
#some,³İ¹^³å§,SABDA,,
#standing,×èÃÚ§/ÈèÏÂÛÖè¾Ú[-]~{ing},SABDA,,
#urge's,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{vib:³Ú},SABDA,,
#urge,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{0},SABDA,,
#urged,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ed/en},SABDA,,
#urges',ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{s}{vib:³Ú},SABDA,,
#urges,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{s},SABDA,,
#urging,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ing},SABDA,,
#walking,ÈâÄÑ~¸ÑÆÚ[-]~{ing},SABDA,,
#wrd,paxasuwra,source,comment,path_of_essay_file
#writing,ÑÛ´Ú§,PADA,,
'scape,ËÚµ~ÆÛ³ÑÆÚ{0},SABDA,,
'scaped,ËÚµ~ÆÛ³ÑÆÚ~{ed/en},SABDA,,
'scapes,ËÚµ~ÆÛ³ÑÆÚ~{s},SABDA,,
'scaping,ËÚµ~ÆÛ³ÑÆÚ~{ing},SABDA,,
-looking,ÄÛ´ÂÚ~[Øİ¥],REF,,
@@resummon,@punaH~@sammana~@karanA,@@Administration_@@Glossary:@@HARIRAM,,
America,¤ÌÏÜ³Ú,REF,,
American,¤ÌÏÛ³Æè,PADA,,
Americans,¤ÌÏÛ³Æè{s},PADA,,
April,¤ÈèÏâÑ,REF,,
Atlantic,¤½ÑÚÆ½Û³,REF,,
August,¤µ×èÂ,REF,,
Berlin's,ÊÏèÑÛÆ{vib:³Ú},SABDA,,
Berlin,ÊÏèÑÛÆ{0},SABDA,,
Berlins',ÊÏèÑÛÆ{s}{vib:³Ú},SABDA,,
Berlins,ÊÏèÑÛÆ~{s},SABDA,,
Britain,ÊèÏÛ½Æ{0},PADA,,
British,¤¢µèÏáº,PADA,,
Britisher,¤¢µèÏáº,PADA,,
Britishers,¤¢µèÏáº{s},PADA,,
December,ÄÛ×ÌèÊÏ,REF,,
English's,¤¢µèÏáºé^¤¢µèÏáºéÜ{vib:³Ú},SABDA,,
English,¤¢µèÏáºéÜ^¤¢µèÏáºé[-]{0},SABDA,,
Englished,¤¢µèÏáºé^¤¢µèÏáºéÜ~{ed/en},SABDA,,
Englishes,¤¢µèÏáºé^¤¢µèÏáºéÜ~{s},SABDA,,
Englishing,¤¢µèÏáºé^¤¢µèÏáºéÜ~{ing},SABDA,,
Europe,ÍİÏåÈ,REF,,
February,ÉÏÔÏÜ,REF,,
Friday,Õİ³èÏÔÚÏ,REF,,
Fridays,Õİ³èÏÔÚÏ,REF,,
GOD,§ÕèÔÏ,PADA,,
God,§ÕèÔÏ/ÄáÔÂÚ,PADA,,
Good-by,¤¸è¹Ú~ÆÌ×è³ÚÏ,REF,,
I,Ìâ¢,REF,,
India,ËÚÏÂ,PADA,,
Indian,ËÚÏÂÜÍ/ËÚÏÂ-³Ú,PADA,,
Indians,ËÚÏÂÜÍ{s},PADA,,
January,ºÆÔÏÜ,REF,,
John,ºçÆ,REF,,
July,ºİÑÚ§,REF,,
June,ºŞÆ,REF,,
Koh-i-noor,³åØÛÆŞÏ,REF,,
London,ÑÆèÄÆ,REF,,
March,ÌÚÏè¸,REF,,
Mediterranean,ËŞÌÅÜÍ,REF,,
Monday,×åÌÔÚÏ,REF,,
Mondays,×åÌÔÚÏ,REF,,
