#_@Structure_@of_@the_@file:		
#@wrd	@paxasuwra	@source
# @Girl @standing @in @front @of @me ..		
##_@I_@was_@fond_@of_@her_@music.		
#@GOD	paramAwmA	@PADA
#@These_@are_@the_@people_@who_@most_@need_@our_@help.		
#@aBiyAna_->_@aBiyAna_@calAnA		
#@anybody	kisI~BI^koI~BI	@PADA
#@anything's	koI~BI{cIjZa~yA~kAma}	@SABDA
#@anything	koI~BI{cIjZa~yA~kAma}	@SABDA
#@drift's	bahanA{@vib:kA}	@SABDA
#@drift	bahanA{0}	@SABDA
#@drifted	bahanA~{@ed/@en}	@SABDA
#@drifting	bahanA~{@ing}	@SABDA
#@drifts'	bahanA{@s}{@vib:kA}	@SABDA
#@drifts	bahanA~{@s}	@SABDA
#@fond	pasanxa~honA2[-]	@SABDA
#@most	aXikawama	@PADA
#@nervous	vyagra^snAyavika[-]	@SABDA
#@nobody	koI~nahIM{0}	@SABDA
#@none	koI~nahIM	@SABDA
#@nothing	kuCa~BI~nahIM^SUnya{0}	@SABDA
#@retain	sWira~raKanA{0}	@SABDA
#@retained	sWira~raKanA~{@ed/@en}	@SABDA
#@retaining	sWira~raKanA~{@ing}	@SABDA
#@retains	sWira~raKanA~{@s}	@SABDA
#@some	kuCa^koI	@SABDA
#@standing	sWAI/prawiRTA[-]~{@ing}	@SABDA
#@urge's	preraNA[>preriwa~karanA]{@vib:kA}	@SABDA
#@urge	preraNA[>preriwa~karanA]{0}	@SABDA
#@urged	preraNA[>preriwa~karanA]~{@ed/@en}	@SABDA
#@urges'	preraNA[>preriwa~karanA]{@s}{@vib:kA}	@SABDA
#@urges	preraNA[>preriwa~karanA]~{@s}	@SABDA
#@urging	preraNA[>preriwa~karanA]~{@ing}	@SABDA
#@walking	pExala~calanA[-]~{@ing}	@SABDA
#@writing	liKAI	@PADA
'scape	BAga~nikalanA{0}	@SABDA
'scaped	BAga~nikalanA~{@ed/@en}	@SABDA
'scapes	BAga~nikalanA~{@s}	@SABDA
'scaping	BAga~nikalanA~{@ing}	@SABDA
-@looking	xiKawA~[huA]	@REF
@@resummon	@@punaH~@@sammana~@@karanA	@@@Administration_@@@Glossary:@@@HARIRAM
America	amarIkA	@REF
ABBRThatis	jEse_ki
American	amarikan	@PADA
Americans	amarikan{@s}	@PADA
April	aprEla	@REF
Atlantic	atalAnatika	@REF
August	agaswa	@REF
Berlin's	barlina{@vib:kA}	@SABDA
Berlin	barlina{0}	@SABDA
Berlins'	barlina{@s}{@vib:kA}	@SABDA
Berlins	barlina~{@s}	@SABDA
Britain	britana{0}	@PADA
Britisher	aMgreja	@PADA
Britishers	aMgreja{@s}	@PADA
December	xisambara	@REF
English's	aMgrejZa^aMgrejZI{@vib:kA}	@SABDA
English	aMgrejZI^aMgrejZa[-]{0}	@SABDA
Englished	aMgrejZa^aMgrejZI~{@ed/@en}	@SABDA
Englishes	aMgrejZa^aMgrejZI~{@s}	@SABDA
Englishing	aMgrejZa^aMgrejZI~{@ing}	@SABDA
Europe	yuropa	@REF
February	ParavarI	@REF
Friday	SukravAra	@REF
Fridays	SukravAra	@REF
GOD	ISvara	@PADA
God	ISvara/xevawA	@PADA
Good-@by	acCA~namaskAra	@REF
I	mEM	@REF
India	BArawa	@PADA
Indian	BArawIya/BArawa-kA	@PADA
Indians	BArawIya{@s}	@PADA
January	janavarI	@REF
John	jOYna	@REF
July	julAI	@REF
June	jUna	@REF
Koh-@i-@noor	kohinUra	@REF
London	lanxana	@REF
March	mArca	@REF
Mediterranean	BUmaXIya	@REF
Monday	somavAra	@REF
Mondays	somavAra	@REF
November	navambara	@REF
October	aktUbara	@REF
Pope's	IsAI~Xarmaguru{@vib:kA}	@SABDA
Pope	IsAI~Xarmaguru{0}	@SABDA
Popes'	IsAI~Xarmaguru{@s}{@vib:kA}	@SABDA
Popes	IsAI~Xarmaguru{@s}	@SABDA
Saturday	SanivAra	@REF
Saturdays	SanivAra	@REF
September	siwambara	@REF
Sunday	ravivAra	@REF
Sundays	ravivAra	@REF
Thursday	guruvAra	@REF
Thursdays	guruvAra	@REF
Tuesday	maMgalavAra	@REF
Tuesdays	maMgalavAra	@REF
Utopia	rAmarAjya^kAlpanika	
Wednesday	buXavAra	@REF
Wednesdays	buXavAra	@REF
a'	saba^sArA[-]	@SABDA
abandon	CodZa~xenA[CodZA~huA]{0}	@SABDA
abandoned	CodZa~xenA[CodZA~huA]~{@ed/@en}	@SABDA
abandoning	CodZa~xenA[CodZA~huA]~{@ing}	@SABDA
abandons	CodZa~xenA[CodZA~huA]~{@s}	@SABDA
abduct	apaharaNa~karanA{0}	@SABDA
abducted	apaharaNa~karanA~{@ed/@en}	@SABDA
abducting	apaharaNa~karanA~{@ing}	@SABDA
abducts	apaharaNa~karanA~{@s}	@SABDA
abestos	ebestOYsa	@Miscelleneous
abilities'	yogyawA{@s}{@vib:kA}	@SABDA
abilities	yogyawA{@s}	@SABDA
ability's	yogyawA{@vib:kA}	@SABDA
ability	yogyawA{0}	@SABDA
able	yogya[cawura][-]	@SABDA
abler	yogya[cawura]~{wara}	@SABDA
ablest	yogya[cawura]~{wama}	@SABDA
aboard	@aboard{->para~savAra}	@SABDA
abode's	vAsa{@vib:kA}	@SABDA
abode	vAsa{0}	@SABDA
abodes'	vAsa{@s}{@vib:kA}	@SABDA
abodes	vAsa{@s}	@SABDA
abort	garBapAwa~karanA^aXUrA~CodZanA{0}	@SABDA
aborted	garBapAwa~karanA^aXUrA~CodZanA~{@ed/@en}	@SABDA
aborting	garBapAwa~karanA^aXUrA~CodZanA~{@ing}	@SABDA
abortion's	garBapAwa{@vib:kA}	@SABDA
abortion	garBapAwa{0}	@SABDA
abortions'	garBapAwa{@s}{@vib:kA}	@SABDA
abortions	garBapAwa{@s}	@SABDA
abortive	niRPala[-]	@SABDA
aborts	garBapAwa~karanA^aXUrA~CodZanA~{@s}	@SABDA
aboundant	awiSaya	@BHATIA
about	@about{->ke~bAre~meM/lagaBaga}	@PREP
above	@above{->Upara}	@SABDA
abridge=??~????	@HARI	
abridged	saMkRipwa	@SABDA
abridgement	saMkRepaNa	@HARI
abroad	vixeSa[>xUra~waka]~[meM]	@SABDA
abrogate	nirAkaraNa	@HARI
abrogation	nirAkaraNa	@HARI
abrupt	Akasmika`[-]	@SABDA
abruptly	sahasA	@SABDA
abscond	ParAra~honA{0}	@SABDA
absconded	ParAra~honA~{@ed/@en}	@SABDA
absconder	PZarAra/PZarArI	@Administration_@Glossary:@HARIRAM
absconding	ParAra~honA~{@ing}	@SABDA
absconds	ParAra~honA~{@s}	@SABDA
absence's	anupasWiwi{@vib:kA}	@SABDA
absence	anupasWiwi{0}	@SABDA
absences'	anupasWiwi{@s}{@vib:kA}	@SABDA
absences	anupasWiwi{@s}	@SABDA
absent	anupasWiwa[honA/rahanA]{0}[-]	@SABDA
absented	anupasWiwa[honA/rahanA]~{@ed/@en}	@SABDA
absentee	anupasWiwa	@THAKURDASSJI
absenting	anupasWiwa[honA/rahanA]~{@ing}	@SABDA
absents	anupasWiwa[honA/rahanA]~{@s}	@SABDA
absolute's	parama[<pUrNa]{@vib:kA}	@SABDA
absolute	parama[<pUrNa][-]	@SABDA
absolutely	niwAMwa	@SABDA
absolutes'	parama[<pUrNa]{@s}{@vib:kA}	@SABDA
absolutes	parama[<pUrNa]{@s}	@SABDA
absorb	soKa`[<anxara~KIMcanA]{0}	@SABDA
absorbed	soKa`[<anxara~KIMcanA]~{@ed/@en}	@SABDA
absorbing	soKa`[<anxara~KIMcanA]~{@ing}	@SABDA
absorbs	soKa`[<anxara~KIMcanA]~{@s}	@SABDA
