Gita	gIwA
Bhagavad-Gita	BAgavax-gIwA
Bhishma	BIRma
Sita	sIwA
Hanuman	hanumAna
Draupadi	xrOpaxI
Mahabharata	mahABArawa
Ramayana	rAmAyaNa
Johann	johana
Jakob	jekaba
Balmer	bAmara
Ernst	arnesta
Rutherford	raxaraPorda
Thomson	Woyamasana
Hans	hEMsa
Geiger	gAigara
Marsden	mArsadana
Galileo	gElIliyo
Newton	nyUtana
Faraday	PErAde
Henry	henarI
Michael	mAikala
Germer	jarmara
Galilei	gElilI
Ampere	Empiyara
Lyman	lImana
Paschen	pASana
Brackett	brEketa
Pfund	PuNda
Einstein	AiMstAina
Davisson	devisana
Yugoslav	yUgoslAva 
Nicola	nikolA
Tesla	teslA
Isaac	Aijaka
Niels	nIlsa
Bohr	bora
Planck	plAfka
Arnold	arnolda
Sommerfeld	somaraPElda
Gauss	gAusa
Coulomb	kUlamba
13B	13_bI
1920	1920
1971	1971
Aadekar	Axekara
Aadmi	AxamI
Aaghaaz	AgZAjZa
Aahutee	AhuwI
Aaina	AinA
Aakraman	AkramaNa
Aakrosh	AkroSa
Aamir	Amira
Aamras	Amarasa
Aanch	AMca
Aandhi	AMXI
Aankhen	AzKeM
aanyog	mAnayoga
Aarti	ArawI
Aarzoo	ArajZU
Aashiq	ASika
Aashiqui	ASikI
Aashirwad	ASIrvAxa
Aasmaan	AsamAna
Aasma	AsamA
Aasra	AsarA
AASTHA	AsWA
Aatish	AwiSa
Aatma	AwmA
Aazmayish	AjamAISa
AB....BAS	aba....basa
ABBAS	abbAsa
A.B.C.L.	e._bI._sI._ela.
ABCL	ebIsIela
Abdul	abxula
ABDUL	abxula
ABDUL-AZIZ	abxula-ajZIjZa
Abdullah	abxullAha
ABDULLAH	abxullAha
ABDUL-RAHMAN	abxula_rahamAna
Abha	ABA
Abhaya	aBAyA
Abhay	aBaya
Abhija	aBijA
Abhijeet	aBijIwa
Abhiji	aBijI
Abhilasha	aBilARA
Abhimaan	aBimAna
Abhinav	aBinava
Abhinetri	aBinewrI
Abhishek	aBiReka
Abhisheki	aBiRekI
Abiyanta	aBiyanwA
Abodh	aboXa
Abohar	abohara
Abroo	abarU
Abujam	abujama
A.C.B.	e._sI._bI.
ACB	esIbI
Achala	acalA
Achalpur	acalapura
Achanak	acAnaka
