aa	e~e
abaci	ginawArA{@s}
abaci's	ginawArA{ba.}{@vib:kA}
aback	pICe/hawapraBa
abacuses'	ginawArA{ba.}{@vib:kA}
abacuses	ginawArA{@s}
abacus	ginawArA{0}
abacus's	ginawArA{@vib:kA}
abandon	CodZa~xenA{0}
abandon	CodZa~xenA[CodZA~huA]{0}
abandoned	CodZa~xenA~{@ed/@en}[-]
abandoned	CodZa~xenA~{@ed/@en}
abandoneder	CodZA~huA~{wara}
abandonedest	CodZA~huA~{wama}
abandoning	CodZa~xenA~{@ing}
abandoning	CodZa~xenA~{@ing}
abandonment	pariwyAga{0}
abandonments'	pariwyAga{ba.}{@vib:kA}
abandonments	pariwyAga{@s}
abandonment's	pariwyAga{@vib:kA}
abandons	CodZa~xenA~{@s}
abandons	CodZa~xenA~{@s}
abase	avamAniwa~karanA{0}
abased	avamAniwa~karanA~{@ed/@en}
abasement	apamAna
abases	avamAniwa~karanA~{@s}
abashed	lajjiwa
abashedly	lajjiwa~rUpa~se
abasing	avamAniwa~karanA~{@ing}
abated	kama~honA~{@ed/@en}
abate	kama~honA{0}
abatement	kamI{0}
abatements'	kamI{ba.}{@vib:kA}
abatements	kamI{@s}
abatement's	kamI{@vib:kA}
abates	kama~honA~{@s}
abating	kama~honA~{@ing}
abattoirs'	vaXaSAlA{ba.}{@vib:kA}
abattoirs	vaXaSAlA{@s}
abattoir's	vaXaSAlA{@vib:kA}
abattoir	vaXaSAlA{0}
abbesses'	maTAXyakRA{ba.}{@vib:kA}
abbesses	maTAXyakRA{@s}
abbess	maTAXyakRA{0}
abbess's	maTAXyakRA{@vib:kA}
abbey	IsAiyo~kA~maTa{0}
abbeys'	IsAiyo~kA~maTa{ba.}{@vib:kA}
abbeys	IsAiyo~kA~maTa{@s}
abbey's	IsAiyo~kA~maTa{@vib:kA}
abbot	maTAXyakRa{0}
abbots'	maTAXyakRa{ba.}{@vib:kA}
abbots	maTAXyakRa{@s}
abbot's	maTAXyakRa{@vib:kA}
abbreviated	saMkRipwa~karanA~{@ed/@en}
abbreviate	saMkRipwa~karanA{0}
abbreviates	saMkRipwa~karanA~{@s}
abbreviating	saMkRipwa~karanA~{@ing}
abbreviation	saMkRipwi{0}
abbreviations'	saMkRipwi{ba.}{@vib:kA}
abbreviations	saMkRipwi{@s}
abbreviation's	saMkRipwi{@vib:kA}
abc	prAWamika_jFAna^varNamAlA
abdicated	svecCA~se~CodZanA~{@ed/@en}
abdicates	svecCA~se~CodZanA~{@s}
abdicate	svecCA~se~CodZanA{0}
abdicating	svecCA~se~CodZanA~{@ing}
abdication	paxa~wyAga{0}
abdications'	paxa~wyAga{ba.}{@vib:kA}
abdications	paxa~wyAga{@s}
abdication's	paxa~wyAga{@vib:kA}
abdomens'	uxara{ba.}{@vib:kA}
abdomens	uxara{@s}
abdomen's	uxara{@vib:kA}
abdomen	uxara{0}
abdominaler	uxara~sambanXI~{wara}
abdominalest	uxara~sambanXI~{wama}
abdominally	uxara~sambanXI~rUpa~se
abdominal	uxara~sambanXI[-]
abduct	apaharaNa~karanA{0}
abduct	apaharaNa~karanA{0}
abducted	apaharaNa~karanA~{@ed/@en}
abducted	apaharaNa~karanA~{@ed/@en}
abducting	apaharaNa~karanA~{@ing}
abducting	apaharaNa~karanA~{@ing}
abduction	apaharaNa{0}
abductions'	apaharaNa{ba.}{@vib:kA}
abductions	apaharaNa{@s}
abduction's	apaharaNa{@vib:kA}
abducts	apaharaNa~karanA~{@s}
abducts	apaharaNa~karanA~{@s}
abdul	abxula
