divide_up	bAzta_xe
abide_by	atala_rahanA
acceded_to	svIkAra_kiyA_gayA
back_up	sahArA_xenA
beef_up	suxqDZa_kara
cook_up	pakAnA
cough_up	anicCApUrvaka_xenA
cover_up	AdZa
cut_in	kAtanA
dispose_of	nipatAnA
dispose_off	nipatAnA
drop_in	A
embark_on	para_caDZAnA2
end_up	samApwa_ho
fall_through	asaPala_honA
fall_to	SurU_karanA
flare_up	Aga_BadZakanAA
get_up	uTa
give_up	Coda_xe
go_on	jArI_raKanA
hang_on	para_AXAriwa
hang_out	latakanA2
hang_together	mila-jula_kara_rahanA
hold_up	praxarSiwa_karanA
keep_on	jArI_raKanA
kick_up	udZAnA
knock_on	geMxa_ko_Age_Xakelane_kI_kriyA
knock_out	acewa_yA_paCAdZa_kara_xene_vAlA_prahAra
look_at	XyAna_xenA
look_for	Koja_karanA
look_into	XyAna_se_xeKanA
look_through	sarasarI_nigAha_se_xeKanA
make_off	BAga_jAnA
make_out	saPala_honA
make_over	haswAMwaraNa_karanA
move_in	praveSa_karanA
mug_up	aXyayana_karanA
pass_on	Age_baDZanA
perk_up	jAna_AnA
pick_up	uTAnA
pile_on	puMjana
piss_up	aXika_mAwrA_meM_SarAba_pInA
play_on	Kelawe_rahanA
play_up	sawAnA
play_with	socanA
pop_in	jalxI_se_xenA
pop_into	jalxI_se_raKanA
pop_off	mara_jAnA
pop_up	acAnaka_najZara_AnA
prick_up	kAna_uTAnA
prop_up	teka_lagAnA
pull_out	xUra_hata_jAnA
put_up	praswuwa_karanA
scale_up	badZAnA
screwed_up	muraJAnA
stitch_up	XoKA_xenA
stuck_up	Pazsa_jAnA
take_in	lenA[>mAna_lenA]
take_over	le_lenA
take_place	honA
take_up	hAWa_meM_lenA
throw_in	PeMkanA
tread_on	nArAja_karanA
try_on	pahanakara_xeKanA
tune_in	lagAnA
tune_up	Xuna_sura
use_up	Kapawa_honA
usher_in	prAraMBa_karanA
warm_up	joSa_meM_AnA
wind_up	lapetanA
calm_down	SAMwa_rahanA
