attorney-at-law	pramANiwa_aBikarwA
-Ibid	usI_sWAna_para
-arian	-meM_viSvAsa_raKanevAlA
-eared	-kAnavAlA
-ial	-Iya
-ian	prawyaya
-iana	kA
-ling	CotA
-meal	anAja_kA_cUrA
-wise	rIwi
AIDS	edsa
ABBRThatis	jEse_ki
A_feather_in_one's_cap	kaTina_kArya_ko_kara
A_fighting_chance	kArya_kI_saPalawA_kI_WodI_ASA
A_level	ucca_swarIya
Afghan	aPagAnI
Afghan_hound	laMmbe_bAlo_vAlA_kuwwA
African	aPrarIkI_loga
Air_Chief_Marshal	eara_cIPa_mArSala
Air_Commodore	eara_kOmodora
Air_Vice_Marshal	eara_vAisa_mArSala
Allah	allAha
Alma_Mater	jahAz_SikRA_pAI_vaha_saMsWA
Alsatian	eka_prakAra_kA_kuwwA
Alzheimer's_disease	mAnasika_bImArI
American	amarIkI
Anglican	girajAGara_ke_saxasya
April_fool	pahalI_aprEla_ko_banAyA_gayA_mUrKa
Aqualung	svasana_upakaraNa
Arabian	arabI
Area-code	kRewrIya_koda
Armageddon	anwima_yuxXa
Asian	eSiyA_kA
Asiatic	eSiyA_saMbaMXI
Baptist	bapwismA_xAwA
Birds_of_a_feather	eka_samAna
Bite_the_hand_that_feeds	viSvAsaGAwa_kara
British	barwAniyA
COBOL	kampyUtara_kI_vyApArika_BARA
Catholic	IsAI_sampraxAya
Chinese	cInI
Christmas	badA_xina
Classicism	uccakoti_kI_SElI_yA_sAhiwya
Come_down_on_one_side_of_the_fence_or_other	sAWa_xenA_yA_na_xe
Crown_prince	yuvarAja
Crown_princess	yuvarAjFI
Curtain-raiser	nAtakIya_praswuwi
Dem	lokawaMwravAxI
Deutschmark	jarmanI_kI_muxrA
Discomfort	asuviXA
E	aMgrejI_varNamAlA_kA_pAzcavA_akRara
EC	yUropa_xeSIya_samuxAya
ECG	I.sI.jI
ECU	I.sI.yU
EFL	vixeSI_BARA_ke_rUpa_meM_aMgrejI
EU	yuropIya_saMGa
Easter	Istara
Eau-de-Cologne	kolona_kA_iwra
Egyptian	misra_kA
Elizabethan	elijabeWa_kA
Englishman	aMgreja
Entry-phone	kisI_imArawa_ke_praveSa_xvAra_para_lagA_xUraBARa
Euro-election	yUropIya_saMsaxa_kA_cunAva
Eurocrat	yUropIya_praSAsanAXikArI
Europe	yUropa
European	yuropIya
FBI	ePa.bI.AI
FCO	vixeSa_evaM_rARtramaMdala_viBAga
FM	rediyo_prasAraNa_kA_eka_warIkA
FO	vixeSa_viBAga
FORTRAN	kampyUtara_nirxeSa_kI_BARA
Feather_one's_own_nest	apanA_Gara_Bara
Field_Marshal	PIlda_mArSala
Fine_tune	pUrNa_vivaraNa_meM_jA
Fleet_Admiral	PlIta_edamirala
Fleet_Street	PlIta_strIta
Flight_Sergeant	PlAita_sArjEMta
Flt_Lt	PlAita_lEPtineMta
Foot_stool	pAzva_raKane_kI_cOkI
Freudian_slip	nija_BAvoM_kI_akasmAw_tIkA
Friendly_Society	sahAyawA_karane_vAlA_saMGa
GMT	grInavica_mIna_tAIma
Gaelic	AyaralEMda_Ora_skAtalEMda_kI_BARA
Gallic	PrAMsIsi_jEsA
Gallup_poll	janamawa_nirXAriwa_karane_kA_mawaxAna
Gangetic	gaMgA_ke
Gawd	he_BagavAna
Georgian	britiSa_bAxaSAha_jorja_ke_samaya_kA
German	jarmanI_se
Gestapo	nAjI_pArtI_kI_KuPiyA_pulisa
HIgh_court	ucca_nyAyAlaya
HP	aSvaSakwi
Halloween	hElovIna
Her_majesty	mahArAnI
Herbicide	pOXanASaka_paxArWa
High-church	iMgalEMda_kA_girajAGara_jo_rIwi
High-commission	uccAyoga
High-commissioner	uccAyukwa
Highness	rAjaGarAne_kI_upAXi
Himalayan	himAlaya_kA
Hindi	hinxI
Hindu	hinxU
Hinduism	hinxuwva
His_majesty	mahArAjA
Hold_a_pistol_to_sb's_head	jabaraxaswI_kisI_se_koI_kAma_karavA
Hold_the_field^against_sb^	kRewra_para_majabUwa_pakada
Hold_the_field^against_sth^	kRewra_para_majabUwa_pakada
IBM	eka_bahu_rARtrIya_kaMpanI
ID	paricaya
ID_card	paricaya_pawra
IMF	International_monetary_fund
Ice_Pick	barPa_ko_wodane_kA_OjAra
Imam	imAma
Imprecation	aBicAra
In_apple_pie_order	saPAI_pUrvaka_susajjiwa
In_fear_and_trembling	awyaMwa_BayaBIwa_ho
In_fear_of_one's_life	apane_jIvana_kA_Baya_ho
In_motion	calAyamAna
In_one's_fifties	Ayu_kA_pAzcavAz_xaSaka
In_the_arms_of_morpheus	unIMxA
In_the_pink	pUrNa_svasWa
Indelicate	rUKA
India-rubber	mArjanI
Indian_summer	BArawIya_grIRmakAla
Indo	BArawIya
Infuriating	kroXiwa_karane_vAlA
Ingratiate	anugraha_prApwa_kara
Instrumental_music	vAxya_saMgIwa
Irish	AyaralEMda_ke
Islam	islAma
Islamic	islAmI
Jacobean	rAjA_jemsa_kA_SAsanakAla
Jacuzzi	bahuwa_badA_snAnagqha
Japanese	jApAnI
Jehovah	bAIbala_meM_ISvara_kA_nAma
Jersey	eka_nasla_kI_gAya_jo_aXika_xUXa_xewI_hE
Jesuit	IsA_masIha_kI_royala_keWolika_samAja_kA_saxasya
Jew	yahUxI
Jiffy_bag	pArasala_karane_hewu_bEga
Judaism	yahuxI_Xarma
Judas	XoKebAja
Jupiter	bqhaspawi
KC	rAjasaBA
KO	acewa_ho
KW	kilovAta
Keep_sth_in	rokakara_raKa
Klaxon	BoMpU
Kleenex	kAgaja_kA_rumAla
Knocking_someone_with_a_feather	kisI_ko_BayaBIwa_kara
Kremlin	rUsI_sarakAra_kA_kilA
Lent	cAlIsA
Leo	siMha_rASi
Libra	wulA
MB	cikiwsA_meM_snAwaka
MBA	ema.bI.e
MBE	britiSa_rAjya_kA_saxasya
MC	kOYMgaresa_saxasya
MCC	rARtrIya_pariRaxa_kA_saxasya
MD	snawakowwara_cikiwsaka
MP	saMsaxa_saxasya
Madonna	kumArI_mariyA
Maharaja	mahArAjA
Mammon	Xanasampawwi
McCoy	vAswavika_vaswu
Med	mEditereniyana_samuxra
Mend_fences	apane_mawaBexoM_ko_xUra_kara
Met	mOsama_viBAga
Midas_touch	hara_kAma_se_PAyaxA_ho
MoD	rakRA_maMwrAlaya
Money_Lender	sAhUkAra
Mr	SrI
Mrs	SrImawI
Ms	kumArI
Mt	parvawa
Murderous	hiMsra
NASA	amarIkA_kA_aMwarikRa_kAryAlaya
NATO	uwwarI_atalAMtika_saMXi_saMgaTana
Native_American	amarIkI_mUla_prajAwi_saxasya
No.	aMka
No_fear	hAz
Nonentity	nagaNya_vyakwi
Norman	vAswuSElI
Nov	navambara
Obsolescence	kama_samaya_calanevAlI_cIja
Och	vismayavAcaka_Sabxa
Oct	akwUbara
Oct^o^-	aRta
Only_skin_and_bone	hadIlA
Outface	harA
Oxbridge	OYksaPorda_Ora_kEMbrija_xonoM_viSvavixyAlaya
Oxfam	akAla_rAhawa_ke_lie_OYksaPorda_sahAyawA_samiwi
PGCE	SikRASAswra_meM_snAwakowwara_sartiPiketa_korsa
PIN	nijI_pahacAna_kA_aMka
PM	praXAna_maMwrI
PMT	pUrva_mAsika_Xarma_kI_becEnI
PO	dAka_Gara_kI_AxeSapawra
POW	yuxXa_banxI
PS	punaSca
PT	SArIrika_aByAsa
PTA	pereMta_tIcarsa_esosieSana
Perennially	pUre_varRa
Periwinkle	saxAbahAra
Persian_cat	PArasI_billI
Ph.D	pI.eca.dI
Pharaoh	prAcIna_misra_kA_rAjA
Pharisee	prAcIna_yahUxI_samparraxAya_kA_saxasya
Philo	premI
Piece_de_resistance	mOlika_evaM_mahawwvapUrNa_raca
Pilaf	pulAva
Pilchard	eka_CotI_samuxrI_maCalI
Pinball	pinabAla
Play_the_field	sabake_sAWa_saMbaMXa
Pole_position	kAra_resa_ke_prAramBa_meM_pahalA_sWAna
Polka	pUravI_yUropa_kA_eka_jinxAxila_nqwya
Portland_stone	pIle_raMga_kA_pawWara
Positivism	prawyakRavAxa
Post_modern	uwwara_AXunika
Posy	puRpagucCa
Pres	rARtrapawi
Press_office	pawrakAriwA_xaPwara
Prof	AcArya
Public_school	pablika_skUla
Punch_and_Judy_show	puwalioM_kA_praxarSana
Punk	paMka
Putting_the_fear_of_God_into	awyaMwa_BayaBIwa_kara
Quaderagesima	leMta_kA_pahalA_ravivAra
RAM	rEma
Regency	rAja_prawiniXiwva
Roman	romavAsI
Ruffle_someone's_feathers	uwwejiwa_kara
Russian	rUsI
SAS	ucca_SikRiwa_sipAhiyoM_kA_samUha
SS	jahAja
