avamAniwa_kara	avamAniwa
saMkRipwa_kara	saMkRipwa
apaharaNa_kara	apaharaNa
GqNA_kara	GqNA
pAlana_kara	pAlana
SapaWa_wyAga_kara	SapaWa_wyAga
unmUlana_kara	unmUlana_kara
garBapAwa_karavAne_vAlA	garBapAwa_karavAne_vAlA
saMkRepaNa_kara	saMkRepaNa
raxxa_kara	raxxa
vimukwa_karanA/kRamA_kara	vimukwa_karanA/kRamA
grahaNa_kara	grahaNa
avaSoRiwa_kara	avaSoRiwa
parahejZa_karanA/se_xUra_raha	parahejZa_karanA/se_xUra_rahanA
saMkRipwa_banAnA/saMkRepa_kara	saMkRipwa_banAnA/saMkRepa
xurvyavahAra_kara	xurvyavahAra
svIkAra_kara	svIkAra
svara_uccAraNa_kara	svara_uccAraNa
svIkAra_kara	svIkAra
vAha_vAha_kara	vAha_vAha
samAviRta_kara	samAviRta_kara
samAyojiwa_kara	samAyojiwa
sahAyawA_kara	sahAyawA
saMgawa_kara	saMgawa
pUrA_kara	pUrA
saMboXana_kara	saMboXana
prawyAyiwa_kara	prawyAyiwa
saMcaya_kara	saMcaya
xarxa_kara	xarxa
pUrA_kara	pUrA
amla_kara	amla
svIkAra_kara	svIkAra
avagawa_kara	avagawa_kara
binA_viroXa_ke_svIkAra_kara	binA_viroXa_ke_svIkAra
arjana_kara	arjana
xoRa_mukwa_kara	xoRa_mukwa
kAma_kara	kAma
aBinaya_kara	aBinaya
kAnUnI_kAryavAhI_karane_yogya	kAnUnI_kAryavAhI_karane_yogya
kAnUnI_kAryavAhI_karane_yogya	kAnUnI_kAryavAhI_karane_yogya
sakriya_kara	sakriya
paricAliwa_kara	paricAliwa
ke_liE_rUpAMwariwa_kara	ke_liE_rUpAMwariwa
nivexana_kara	nivexana
vAkiPa_kara	vAkiPa_kara
pAlana_kara	pAlana
pAlana_karwA/anucara	pAlana_karwA/anucara
sWagiwa_kara	sWagiwa
sWAnAMwariwa_kara	sWAnAMwariwa_kara
nirNaya_kara	nirNaya_kara
mukaxame_kA_nirNaya_kara	mukaxame_kA_nirNaya
vyavasWiwa_kara	vyavasWiwa
barAbara_kara	barAbara
binA_wEyArI_ke_bola	binA_wEyArI_ke_bola
prabanXa_karanA/praSAsana_kara	prabanXa_karanA/praSAsana
praSaMsA_kara	praSaMsA
praSaMsaka/prema_karane_vAlA	praSaMsaka/prema_karane_vAlA
svIkAra_karane_yogya	svIkAra_karane_yogya
svIkAra_kara	svIkAra
BarwI_kara	BarwI
svIkAra_karawe_hue	svIkAra_karawe_hue
grahaNa_kara	grahaNa
svIkAra_kara	svIkAra
svIkAra_kara	svIkAra_kara
ArAXanA_kara	ArAXanA
bahuwa_pasanxa_kara	bahuwa_pasanxa
