#Updated on 4-05-13
fourier_analysis	PUriye_viSleRaNa
absolute_rest	nirapekRa_virAma
absolute_scale_of	parama_wApa_mApavraPama
absolute_value	parama_mAna
absorption	avaSoRaNa
absorptivity	avaSoRakawA
abstract	amUrwa
accelerated_frame	wvariwa_Prema
acceleration	wvaraNa
acceleration_due_to_gravity	guruwvIya_wvaraNa
acceleration_vector	wvaraNa_saxiSa
accuracy	yaWArWawA
addition	kA_niyama
addition	SaBuja_kA_niyama
adiabatic	ruxXoRma
adiabatic_wall	ruxXoRma_Biwwi/xIvAraxXa
aerodynamics	vAyugawikI
air_resistance	vAyu_prawiroXa
algebra	bIjagaNiwa
alternative_energy_source	vEkalpika_UrjA_srowa
altitude	uzPacAI
amorphous	akristalIya
analytical_method	viSleRaNAwmaka_viXi
angle_of_declination	avanamana_koNa
angle_of_elevation	unnayana_koNa
angle_of_twist	EMTana_koNa
angular	koNIya
angular_acceleration	koNIya_wvaraNa
angular_diameter	koNIya_vyAsa
angular_frequency	koNIya_Avqwwi
angular_momentum	koNIya_saMvega
angular_speed	koNIya_cAla
angular_wave_number	koNIya_waraMga_saMKyA
annihilation	vilopana
anti-electron	prawi-ilektroYna
anticlockwise	vAmAvarwa
antinodes	praspaMxa
antiparticle	prawikaNa
applications	anuprayoga
applied_physics	anuprayukwa_BOwikI
approximation	sannikatana
approximation	sannikatana
areal_velocity	kRewrIya_vega
argument	koNAMka
aristotle	araswU
arithmetic_average	aMkIya_Osawa
artificial	kqwrima
artificial_satellites	kqwrima_upagraha
associative_law_of_vector_addition	saxiSoM_ke_jodZa_kA_sAhacarya_niyama
astronomical	KagolIya
astronomical_unit	KagolIya_mAwrAka
asymmetry	asamamiwi
atmospheric	vAyumaMdalIya
atomic	paramANvika
average	Osawa
average_acceleration	Osawa_wvaraNa
average_speed	Osawa_cAla
average_velocity	Osawa_vega
axial_rotation	akRIya_GUrNana
axis_of_symmetry	samamiwa_akRa
backward	paScagAmI
ball-bearing	boYla-beyariMga
beam	puMja
beats	vispaMxa
berry	rasaBarI
binary_system	xviaMgI_nikAya
binding_energy	baMXana_UrjA
binding_energy	baMXana_UrjA
black_body	kqRNikA
black_body	kqRNikA
black_hole	kqRNa_vivara
bob	golaka
boiling_point	kvaWanAMka
boltzmann-stefan's_law	boltSamAna-stepaPoYna_kA_niyama
bose-einstein_statistics	bosa-AiMstAina_sAMKyikI
boulder	SilAKaMda/KaMdASya
braking_distances	brekiMga_xUriyAz
brittle	BaMgura
brownian_motion	brAunI_gawi
bubble	bulabulA
building_blocks	imArawI_KaMda
bulk_modulus	Ayawana_prawyAsWawA_guNAMka
buoyancy	uwplAvakawA
buoyancy	uwplAvana/uwplAvakawA
buoyant_force	uwplAvana_bala
calibrated	aMSAMkiwa
calorimeter	uPaRmAmApI/vEPalorImItara
cancel	niraswa
capacitymolar_volume	grAma-aNuka_Ayawana
capillary	keSikA
capillary_waves	vePaSikAwvIya_waraMgeM
carnot_cycle	kArno_cakra
carnot_engine	kArno_iMjana
celestial_object	AkASIya_piMda
centripetal	veMPaxrABimuKI
centripetal_acceleration	aBiveMPaxra_wvaraNa
centripetal_force	aBiveMPaxra_bala
centroid	veMPaxraka
chain_reaction	SqMKalA_aBikriyA
characteristic_properties	aBilAkRaNika_guNa
charged_constituents	AveSayukwa_saMGatana
classical_physics	cirasammawa_BOwikI
cliff	cattAna
clockwise	xakRiNAvarwa
co-existence	saha-aswiwva
co-ordinates	nirxeSAMka
coefficient_of_linear	reKIya_prasAra_guNAMka
coefficient_of_performance	niRpAxana_guNAMka
coiled_spring	kaM_udaliwa_kamAnI
coincide	saMpAwI
coincide	saMpAwI
collision	saMGarRa/takkara
combustion_gas	xahanaSIla_gEsa
common_point	uBayaniRTa
common_to_all	sarvaniRTa
common_to_two	uBayaniRTa
communication	saMpreRaNa
communication	saMcAra
commutative_law	krama-vinimeya_niyama
composite	miSriwa
compressible	saMpIdya
compression	saMpIdana
compressive_strain	saMpIdana_vikqwi
concept	XAraNA/saMkalpanA
concrete	mUrwa
condensed	saMGaniwa
conduction	saMcaraNa
configuration	saMrUpaNa
configuration	vinyAsa/saMrUpaNa
conjecture	atakalabAjI
connecting	saMbaxXa
conservation	saMrakRaNa
conservation_of_momentum	saMvega_saMrakRaNa
conservative_force	akRayakArI_bala
constant_direction	niyawa_xiSA
constant_volume	sWira_Ayawana_wApamApI
constellations	wArAmaMdala
constituent	avayava
constitution	saMracanA
constructive_interference	saMpoRI_vyawikaraNa
contact_force	sparSIya_bala
contraction	saMkucana
convection	saMvahana
cooling	SIwalana
coordinate_system	nirxeSAMka_nikAya
coriolis_force	korioYlisa_bala
corresponding	waxnurUpa
cosine_curve	kojyA_vakra
cosmology	brahmAMdikI
couple	balayugma
coupled_oscillator	yugmiwa_xolaka
crest	SIrRa/SiKara
critical	krAMwika
cross_section	anuprasWa_kAta
crystallite	kristalANu
current_carrying_conductor	vixyuwvAhI_cAlaka
damped_motion	avamaMxiwa_gawi
data	AMkadZe
data_base	AMkadZe
decay	kRaya
deformation	virUpaNa
degree_of_freedom	svAwaMwraya_koti
