#Added by Roja(11-06-12)
#Collected from WSD tam files and hindi_default_tam.txt
#Eng_Tam	Hindi_Tam
#######################################################
0	-/hE/subj/wA_hE
0_ed_en	WawawawawawawaWawawawawawawa
0_en	wA_hE
0_not	0
NEG_PRES	nahIM
TO_INF	nA
against_ing	ne_ke_viruxXa
am_able_to_0	0_pAwA_hE
am_being_en	yA_jA_rahA_hE
am_en	yA_gayA_hE
am_en_born	yA_hE
am_going_to_0	ne_vAlA_hE
am_ing	0_rahA_hE/hE/yA_hE
am_not_being_en	yA_jA_rahA_hE
am_not_en	yA_hE
am_not_going_to_0	ne_vAlA_hE
am_not_ing	0_rahA_hE
am_not_to_0	ne_vAlA_hE
am_not_to_be_en	yA_jAnA_hE
am_to_0	ne_vAlA_hE
am_to_be_en	yA_jAnA_hE
am_unable_to_0	0_pAwA_hE
are_able_to_0	0_pAwA_hE
are_being_en	yA_jA_rahA_hE
are_en	hE/yA_gayA_hE/yA_hE/yA_jAwA_hE
are_en_born	yA_hE
are_going_to_0	ne_vAlA_hE
are_ing	0_rahA_hE/hE/yA_hE
are_not_being_en	yA_jA_rahA_hE
are_not_en	yA_hE
are_not_going_to_0	ne_vAlA_hE
are_not_ing	0_rahA_hE
are_not_to_0	ne_vAlA_hE
are_not_to_be_en	yA_jAnA_hE
are_to_0	ne_vAlA_hE
are_to_be_en	yA_jAnA_hE
are_unable_to_0	0_pAwA_hE
before_ing	ne_ke_pahale
being_en	yA_jA_rahA
between_ing	ne_ke_bIca
beyond_ing	ne_ke_pare
by_ing	0_kara
can_0	0_sakawA_hE
can_be_en	yA_jA_sakawA_hE
can_have_en	yA_hogA
can_never_0	0_sakawA_hE
can_never_have_en	0_sakawA
can_not_0	0_sakawA_hE
can_not_be_en	yA_jA_sakawA_hE
can_not_have_en	yA_hogA
can_not_help_ing	raha_sakawA
cannot_0	0_sakawA_hE
cannot_be_en	yA_jA_sakawA_hE
cannot_have_en	yA_hogA
could_0	0_sakA/0_sakawA_hE/0_sakawA_WA
could_be_en	yA_jA_sakawA_hE
could_have_been_en	yA_jA_sakawA_WA
could_have_been_ing	wA_ho
could_have_en	0_sakawA_WA
could_not_0	0_sakA
could_not_be_en	yA_jA_sakA
could_not_have_been_en	yA_jA_sakawA_WA
could_not_have_been_ing	wA_ho
could_not_have_en	0_sakawA_WA
could_not_help_ing	raha_sakA
dare_0	nA_kI_himmawa_hE
did_0	yA_WA
did_dare_0	nA_kI_himmawa_WI
did_have_to_0	nA_padA
did_have_to_be_en	nA_padawA_WA
did_not_0	wA_WA/yA_WA
did_not_dare_0	WI
