usa_jagaha	vahAz/usa_jagaha
SiRtAcArahInawaH	asaByawaH/aSiRtawaH/SiRtAcArahInawaH
nyUnAXika	kamobeSa/kamabeSa/nyUnAXika
besAKwA	Jatapata/catapata/PatAPata/wuraMwa/wuranwa/wawkAla/avilaMba/avilamba/PZOrana/POrana/KatAka_se/wawkRaNa/wadZAka_se/wadZa_se/wapAka_se/awiSIGra/awiSIGrawaH/jalxa_se_jalxa/jalxI_se_jalxI/wadZa_se/hAWoM-hAWa/hAWoM_hAWa/hAWo-hAWa/hAWo_hAWa/Kata_se/Anana-PAnana_meM/AnanaPAnana_meM/siwAba/siwAbI/besAKwA/TahAkA/ikahAI/ikahAU
kRaNa-kRaNa	prawikRaNa/pala_pala/pala-pala/prawipala/hara_kRaNa/kRaNa-kRaNa/haraGadZI/hara_GadZI/prawi_kRaNa/kRaNakRaNa/anukRaNa/CinaCina/Cina-Cina/AKana
bAxahavAI	vyarWa/PZajUla/PijUla/PZijUla/anerA/yoM_hI/vqWA/apArWa/bAxa-havAI/bAxahavAI/ahewu/ahewuka/aviraWA
Wara-Wara	Wara-Wara/WaraWara
saMBAlakara	sAvaXAnIpUrvaka/XyAnapUrvaka/XyAna_se/sAvaXAnI_se/sAvaXAnawaH/samBAlakara/saMBAlakara
nissanxeha	niHsaMxeha/nissaMxeha/jarUra/jZarUra/niHsanxeha/nissanxeha/nisaMxeha/nisanxeha/binA_Saka/beSaka/bilkula/bilakula/yakInana/yakZInana/avaSyameva/avaSya/alabawwA/bilASaka/aBarama/vASinxA/bASinxA/avasi/aviwarkika/asaMSaya/niSciwawaH/ikaMka
gupwawaH	gupwawaH/gupacupa_rUpa_se/corI_Cipe
Agala	sAmane/Age/samakRa/sammuKa/agre/anvakRa/aBimuKa/xarapeSa/Agala/AgalA
IrRyAhInawaH	IrRyAhInawaH/anasUyawaH/xveRahInawaH
BOMcakkA	hakkA-bakkA/BOMcakkA/kiMkarwavya-vimUDZa/kiMkarwwavya-vimUDZa/kiMkarwavyavimUDZa/kiMkarwwavyavimUDZa/hawabuxXi
labAlaba	labAlaba/labareja/labarejZa
wadZake	sabere/savere/subaha/wadZake/subaha-subaha/subaha_savere
hara_GadZI	prawikRaNa/pala_pala/pala-pala/prawipala/hara_kRaNa/kRaNa-kRaNa/haraGadZI/hara_GadZI/prawi_kRaNa/kRaNakRaNa/anukRaNa/CinaCina/Cina-Cina/AKana
cAranAcAra	majabUrana/vivaSawaH/anacAhe/majZabUrana/vivaSa_hokara/cAranAcAra/aMwawogawvA/barabasa
Barasaka	yaWASakwi/Barasaka/yaWAsAXya/yaWAsaMBava/kRamawAnusAra/yaWAkRama
AgalA	sAmane/Age/samakRa/sammuKa/agre/anvakRa/aBimuKa/xarapeSa/Agala/AgalA
anavarawa	lagAwAra/anavarawa/niraMwara/niranwara/wAbadZawodZa/xanAxana/sawawa/XUAzXAra/anaMwara/ananwara/avirAmawaH/aniSa/prawikRaNa/anukRaNa/XadZAXadZa/avirawa/muwwasila/avicCinna/avicCexa/aviSrAnwa/aviSrAMwa/asarAra/aharaha/AsaMga/Asafga/ikawAra
kaI_bAra	kaI_bAra/bahuwa_bAra/anekaSaH
AKZirakAra	aMwawaH/aMwawogawvA/aMwa_meM/AKira/AKZira/AKZirakAra/AKirakAra/howe_havAwe
gaharAI_meM	gahare/gaharAI_meM
kramahInawaH	kramahInawaH/akramawaH/avyavasWiwawaH/jahAz_wahAz
ajo	aba_waka/aBI_waka/Aja_waka/abawaka/aBIwaka/Ajawaka/ajahuz/ajahUz/ajo/ajOM/abalaga
AxeSAnusAra	AjFAnusAra/AxeSAnusAra
vApisa	vApasa/vApisa
aMXAXuMXa	aMXAXuMXa/bewahASA/anXAXunXa/aMXaXuMXa/anXaXunXa/utakkara
yaWABIRta	icCAnusAra/icCAnukula/yaWecCa/yaWABIRta/yaWAvAMCiwa
saba_milAkara	kula_milAkara/saba_milAkara
aXika	Upara/aXika/jyAxA/jZyAxA/bahuwa/KZUba/KUba/badZA/jyAxA/jZyAxA/aXika/kAPZI/kAPI/kadZA/jamakara/datakara
