##Added by Roja (04-05-12)
##Updated by Manju (04-05-13)
##Physics Compound Dictionary .d
##Extracted from 'Class11_Physics2_Glossary_NCERT_TextBook_HindiEdition.pdf'
#physics_word   Hindi_word_in_wx
##############################################################################
#dimension_noun	vima
absorbed_adjective	avaSoRiwa
absorb_verb	avaSoRiwa_kara
absorption_noun	avaSoRaNa
absorptivity_noun	avaSoRakawA
abstract_noun	amUrwa
acceleration_noun	wvaraNa
accuracy_noun	yaWArWawA
adiabatic_adjective	ruxXoRma
adiabatic_UNDEFINED	ruxXoRma
aerodynamics_adjective	vAyugawikI
algebraically_UNDEFINED	bIjagaNiwIya
algebra_noun	bIjagaNiwa
altitude_noun	UzcAI
ammeter_UNDEFINED	EmItara
amorphous_adjective	akristalIya
amplitude_noun	AyAm
angular_adjective	koNIya
annihilation_noun	vilopana
anthracene_UNDEFINED	eMWrAsIna
anticlockwise_adjective	vAmAvarwa
anti-clockwise_UNDEFINED	vAmAvarwa_GUrNana/vAmAvarwa_gawi
anti-electron_noun	prawi-ilektroYna
antinodes_noun	praspaMxa
antinode_UNDEFINED	praspanxa
antiparallel_UNDEFINED	prawisamAMwara
antiparticle_noun	prawikaNa
antiparticle_UNDEFINED	prawikaNa
apollo_UNDEFINED	apolo
applications_noun	anuprayoga
approximation_noun	sannikatana
argument_noun	koNAMka
aristotle_noun	araswU
armature_noun	Armecara
armature_UNDEFINED	Armecara
arsenide_UNDEFINED	ArsenAida
artificial_adjective	kqwrima
associative_UNDEFINED	sAhacarya
astronomical_adjective	KagolIya
astronomical_noun	KagolIya
asymmetry_noun	asamamiwi
atmospheric_adjective	vAyumaMdalIya
atomic_adjective	paramANvika/paramANvIya
aurora_UNDEFINED	uwwara_XruvIya
austrian_UNDEFINED	AstriyA
average_noun	Osawa
axially_UNDEFINED	akRawaH
axial_UNDEFINED	akRIya
ball-bearing_noun	boYla-beyariMga
bar-magnet_noun	Cada_cumbaka
beam_noun	puMja
beats_noun	vispaMxa
benjamin_UNDEFINED	beMjAmina
berry_noun	rasaBarI
billiard_UNDEFINED	biliyArda
biology_noun	jIva_vijFAna
biot_UNDEFINED	bAyo
bipolar_UNDEFINED	xviXruvIya
bisector_UNDEFINED	arXaka
bob_noun	golaka
body_noun	piNda
boulder_noun	SilAKaMda/KaMdASya
