#Updated on 4th May 2013
#physics_word	Hindi_word_in_wx
###################################################################################
fourier_analysis	PUriye_viSleRaNa#PUriye_viSleRaNa#noun#2#RM
absolute_rest	nirapekRa_virAma#nirapekRa_virAma#noun#2#WM
absolute_scale_of	parama_wApa_mApavraPama#parama_wApa_mApavraPama#noun#2#RM
absolute_scale_of_temperature	parama_wApa_mAPavrama#parama_wApa_mAPavrama#noun#2#RM
absolute_value	parama_mAna#parama_mAna#noun#2#RM
absolute_zero	parama_SUnya#parama_SUnya#noun#2#RM
accelerated_frame	wvariwa_Prema#wvariwa_Prema#noun#2#RM
acceleration_due_to_gravity	guruwvIya_wvaraNa/guruwvajaniwa_wvaraNa#guruwvIya_wvaraNa#noun#1#RM
acceleration_vector	wvaraNa_saxiSa#wvaraNa_saxiSa#noun#2#RM
adiabatic_wall	ruxXoRma_Biwwi/xIvAraxXa#ruxXoRma_Biwwi/xIvAraxXa#noun#2#RM
air_resistance	vAyu_prawiroXa#vAyu_prawiroXa#noun#2#RM
alternative_energy_source	vEkalpika_UrjA_srowa#vEkalpika_UrjA_srowa#noun#2#RM
analytical_method	viSleRaNAwmaka_viXi#viSleRaNAwmaka_viXi#noun#2#RM
angle_of_declination	avanamana_koNa#avanamana_koNa#noun#1#WM
angle_of_elevation	unnayana_koNa#unnayana_koNa#noun#1#WM
angle_of_twist	EMTana_koNa#EMTana_koNa#noun#2#RM
angular_acceleration	koNIya_wvaraNa#koNIya_wvaraNa#noun#2#RM
angular_diameter	koNIya_vyAsa#koNIya_vyAsa#noun#2#RM
angular_frequency	koNIya_Avqwwi#koNIya_Avqwwi#noun#2#RM
angular_momentum	koNIya_saMvega#koNIya_saMvega#noun#2#RM
angular_speed	koNIya_cAla#koNIya_cAla#noun#2#RM
angular_wave_number	koNIya_waraMga_saMKyA#koNIya_waraMga_saMKyA#noun#2#RM
applied_physics	anuprayukwa_BOwikI#anuprayukwa_BOwikI#noun#2#WM
arbitraily_chosen	svecCagqhIwa#svecCagqhIwa#noun#2#RM
areal_velocity	kRewrIya_vega#kRewrIya_vega#noun#2#RM
arithmetic_average	aMkIya_Osawa#aMkIya_Osawa#noun#2#RM
artificial_satellites	kqwrima_upagraha#kqwrima_upagraha#noun#2#RM
associative_law_of_vector_addition	saxiSoM_ke_jodZa_kA_sAhacarya_niyama#saxiSoM_ke_jodZa_kA_sAhacarya_niyama#noun#2#RM
astronomical_unit	KagolIya_mAwrAka/KagolIya_mAwraka#KagolIya_mAwraka#noun#2#RM
average_acceleration	Osawa_wvaraNa#Osawa_wvaraNa#noun#2#RM
average_speed	Osawa_cAla#Osawa_cAla#noun#2#RM
average_velocity	Osawa_vega#Osawa_vega#noun#2#RM
axial_rotation	akRIya_GUrNana#akRIya_GUrNana#noun#2#RM
axis_of_symmetry	samamiwa_akRa#samamiwa_akRa#noun#1#RM
binary_system	xviaMgI_nikAya#xviaMgI_nikAya#noun#2#RM
binding_energy	baMXana_UrjA#baMXana_UrjA#noun#2#RM
black_body	kqRNikA#kqRNikA#noun#2#RM
black_hole	kqRNa_vivara#kqRNa_vivara#noun#2#WM
boiling_point	kvaWanAMka#kvaWanAMka#noun#2#RM
boltzmann-stefan's_law	boltSamAna-stepaPoYna_kA_niyama#boltSamAna-stepaPoYna_kA_niyama#noun#2#RM
bose-einstein_statistics	bosa-AiMstAina_sAMKyikI#bosa-AiMstAina_sAMKyikI#noun#3#RM
braking_distances	brekiMga_xUriyAz#brekiMga_xUriyAz#noun#2#WM
brownian_motion	brAunI_gawi#brAunI_gawi#noun#2#RM
building_blocks	imArawI_KaMda#imArawI_KaMda#noun#2#RM
bulk_modulus	Ayawana_prawyAsWawA_guNAMka#Ayawana_prawyAsWawA_guNAMka#noun#2#RM
buoyant_force	uwplAvana_bala#uwplAvana_bala#noun#2#RM
capacitymolar_volume	grAma-aNuka_Ayawana#grAma-aNuka_Ayawana#noun#2#RM
capillary_waves	vePaSikAwvIya_waraMgeM#vePaSikAwvIya_waraMgeM#noun#2#RM
carnot_cycle	kArno_cakra#kArno_cakra#noun#2#RM
carnot_engine	kArno_iMjana#kArno_iMjana#noun#2#RM
celestial_object	AkASIya_piMda#AkASIya_piMda#noun#2#RM
centripetal_acceleration	aBiveMPaxra_wvaraNa/aBikeMxra_wvaraNa#aBikeMxra_wvaraNa#noun#2#RM
