Sanskrit	saMskqwa
Bhautiki	BOwikI
Physics	BOwikI
Science	vijFAna
Hahn	hena
Meitner	mAitanara
Einstein	AiMstAina
Dipu	xIpU
Mangal	mafgala
Sukhi	suKI
Lakshmi	lakRmI
Sonar	sonAra
Bagan	bAgAna
Papri	paparI
kular	kulAra
Faraday	PErAde
Heeraman	hirAmana
Heerabai	hIrAbAI
Atishay	awiSaya
Tijarah	 wijArA
Tijara	wijArA
Kanjivaram	kAMjIvarama
Nevsky	nevaskI
Mihailovsky	mihAilovskI
Newton	nyUtana
Vassilyevsky	vassilyevskI 
Dementyev	Dementyev
Bethany	beWAnI
Rousseau	rUso 
Sevastopol	sevastopola
Sonia	soniyA
Henriette	henarieta
Pani	pANi
Marmeladov	mArmelAxova
Gogol	gogola 
England	iMgalEMda
Ivan	ivAna
Romeo	romiyo
Pulcheria	Pulcheria
Heruvimov	heruvimova 
Ryazan	rAyAjZAnskAyA
Kepler	kepalara
Katerina	kAwerinA
Mary	mErI
Europe	yUropa
Zossimov	jossimova 
Raskolnikov	rEskolanikova
Mitrofanievsky	miwroPZAnievskI 
Kozel	Kozel
Krestovsky	Krestovsky
Asia	eSiyA
Napoleon	nepoliyana
Pokorev	Pokorev
Voskresensky	Voskresensky
Koch	koca
Karl	kArla
Persia	Persia
Jack	jEka
Rodion	rodiona
Rodionovitch	rodionovica  
Voznesensky	vojZaneseMskI 
Marfa	mArPA
Kazan	kajZAna
Alyona	alyonA 
Sofya	 soPyA 
Siberia	sAiberiyA 
Zametov	jamewova 
Martha	mArWA
Semyonovna	semyonovnA 
Pyotr	pyowra
Allah	allAha
Zaraisk	jZaraisaka 
Jamaica	jamEkA
Knopp	knopapa 
Jerusalem	yarUSalema
Nikodim	nikodima 
Petrovna	pewrovnA
Hulloa	hulaloe
Louvain	lOvEM
Wagner	vEganara
Potchinkov	potacinakova 
Paris	perisa
Polenka	poleMkA 
Lizaveta	lijZAvewA 
Switzerland	svitjaralEMda
Kolomensky	kolomenskI 
Noah	nUha
Kolya	kolyA
Deuce	dUsa
Raphael	rAPela
Romanovna	romanovnA 
Madonna	mEdonA 
Cyrus	sAirasa
Maria	mAriyA
Berg	barga 
Blanc	blEMka
Peski	peskI 
Shil	SIla 
Egypt	Ijipta 
Dagestan	xAgiswAna
Darya	xariyA
Juster	jastara 
Viazemsky	vikjZemaskaya 
Arkady	arkAxI
