I	I/eka/AI/mEM/muJe
a	eka/koI/prawi/kisI/eka_EsI/a
aboard	savAra/xala_meM/samUha_meM/ke_pAsa/para_savAra
about	PElA_huA/calawA-PirawA/cAro_ora/yahAz-vahAz/pICe/pAsa/lagaBaga/kramAnusAra/jahAz-wahAz/iXara-uXara/iwaswawaH/cArOM_waraPa/cAroM_ora/Asa-pAsa/iXara_uXara/bahuwa_ho_gayA/ke_bAre_meM/Asa_pAsa/wakarIbana
above	uparyukwa/Upara_kahA_huA/Upara_kA/UzcA/Upara/se_Upara/ke_Upara/isase_Upara
across	ArapAra/waraPa/sAmane/ora/meM_sarvawra/usa_pAra/koI_eka_xiSA_meM/saBI_ora/usa_pAra_se/ke_Upara_yA_sAmane/vahAz_se_yahAz
after	bAxa_kA/bAxa_meM/pICe/eka_ke_bAxa_eka/bAxa/ke_bAxa/kI_ora/ke_bAre_meM/ke_anusaraNa_para
against	ke_viruxXa/ke_sahAre/se_alaga
all	saBI/pUrA/aXikawama/sArA/pUrNa_rUpa_se/pUre_wOra_se/oYla/kevala/bahuwa/sabakuCa/saba/all/hara/samaswa/saba_kuCa
along	sAWa/ke_pAsa/eka_Cora_se_xUsare_Cora_waka/Age/Age_baDanA/barAbara_barAbara/ke_xOrAna/ke_kinAre/ke_anuxiSa
alongside	ke_pAsa/ke_nikata/bagala_meM/ke_sAWa-sAWa
also	BI/Ora
amid	ke_bIca_meM/ke_bIca/bIca_meM_hI
amidst	bIca_meM/ke_bIca
among	ke_bIca_meM/milakara/meM_se/meM/ke_sAWa-sAWa/ke_bIca_mez/ke_bIca/maXya_meM
amongst	ke_bIca_meM
an	eka/koI/prawi/kisI/eka_EsI/kisI_BI
and	Ora/evaM/waWA/va
another	eka_Ora/xUsarA/eka_anya/Binna
anti	viroXI/prawiroXa/ke_viroXI
any	WodA/prawyeka/mAmUlI/koI_BI/koI/kisI_BI/jo_BI/eka/kisI_BI_sWiwi_meM/bilkula/aba_Ora/kuCa/kisI_ko/kiFciwa/kisI
anybody	koI_vyakwi/koI/koI_BI/kisI_ko_BI
anyone	koI_eka/koI_BI/kisI_ko
anything	kuCa_BI/kuCa
are	hEM/howe_hEM/howA_hE/howI_hEM
around	pUrA/lagaBaga/cAro_ora/GerevAlA/yahAz-vahAz/upalabXa/sAre/pUre/pICe/jahAz-wahAz/iXar-uXara/iwaswawH/cAroM_ora/Asa-pAsa/hara_ora/iXara_uXara/kuCa_nahIM_karawe_hue/mOjUxa_honA/Asa_pAsa/pICe_kI_ora/waka/meM_yahAz-vahAz/ke_pasa/ke_cAroM_ora/cAroM_waraPa/GUma_kara/ke_pariwaH/ke_iXara_uXara
as	pahale_kI_waraha/mAno/kI_waraha/ke_rUpa_meM/jyoMhI/jisa_waraha/jEse_hI/jaba_ki/jEsA/kyofki/jaba/ke_jEsA/ke_BAnwi/ke_samAna/nimna_prakAra/jEsA_ki/uwanA
astride	pAzva_PElAkara/tAzgeM_PElA_kara/Ara-pAra/xono_waraPa
at	para/se/meM/kI_avasWA_meM/ke_yahAz/ko/kI_ora
atop	ke_Upara/sira_ke_Upara
be	ho/raha
