abandoned	bigadZA_huA/KAlI/pariwyakwa/CodZA_huA/
abandon	CodZa_xe/CodZa/banxa_kara/samarWana_xenA_banxa_kara/pAlana_karanA_banxa_kara/havAle_kara/asaMyama/roka_xe/CodZA_huA/
abasement	apamAna/xaSA/
abase	avamAniwa_kara/
abbreviation	safkRipwa/safkewAkRara/
abide	mAna_le/sWAI/pAlana_kara/
ability	yogyawA/kRamawA/
able	samarWa/
aboard	isa_para_savAra_ki/usa_para_savAra_ki/savAra/para_savAra/
abolish	unmUlana_kara/unmUlana_ho/
abominable	GinOnA/
abound	BarapUra/pracura/
about	vAlA/hI_vAlA/lagaBaga/0_ne_ke_bAre_meM_kya_KyAla_hE/isa_ke_bAre_meM_ki/usa_ke_bAre_meM_ki/AsapAsa/cAro_ora/meM_iXara-uXara/iXara-uXara/ke_bAre_meM/pariwaH/ke/ke_pariwaH/aBI/ke_cAroM_ora/
above	Upara_vAlA/isa_ke_pAra_ki/usa_ke_pAra_ki/ke_Upara/UzcA/Upara/para_se/sarvopari/
abrasive	KuraxarA/karkaSa/cota_pahuzcAne_vAlA/pIsane_yA_ragadZane_kI_vaswu/
abreast	barAbara/ke_prawi_sacewa/sAWa-sAWa/
abridge	saMkRipwa/saMkRepaNa_kara/
abrupt	beaxaba/rUKA/Akasmika/
absent	anupasWiwa/anupasWiwa_ho/
absolutely	bilakula/pUrNawaH/
absolute	nirapekRa/pUrNawayA/pUrA/parama/parama_sixXAMwa/
absorbing	xilacaspa/avaSoRiwa/
absorb	meM_magna_ho/lIna/soKa_le/xilacaspa/AwmasAw_kara/avaSoRiwa_kara/samAhiwa_kara/saha/
abstracted	anyamanaska/KoyA-KoyA/
abstract	kAlpanika/sAra/amUrwa/alaga_kara/
abysmal	aWAha/bahuwa_KarAba/
academic	SEkRaNika/ucca_SreNI_kA_SikRaka/
accede	mAna_le/svIkAra_kara/
accelerate	wvariwa_ho/wvariwa_kara/
accent	viSeRa_XyAna/GAva/svara_kA_caDZAva_uwAra/svara_uccAraNa_kara/
accept	svIkAra_kara/mAnyawA_prApwa/mAnA/
access	pahuzca/
accidental	Akasmika/saMyoga/
accident	xurGatanA/saMyoga/GatanA/
acclaim	vAha_vAhI/vAha_vAha_kara/viKyAwa/
acclimatize	DAla/xaSAnukUliwa_ho/
accommodate	sahayoga_xenA/raKa_saka/raha_saka/
accommodation	rukane_kI_vyvasWA/samaJOwA/rukane_kI_jagaha/
accomplish	sampAxiwa_kara/pUrA_kara/pUrA_ho/saPala_ho/nipuNa/kAma_saPala_kara/
according	ke_anusAra/
accord	sahamawI/mela_KA/xe/anubanXa/ke_anusAra/
account	leKA-joKA_xe/KAwA/vivaraNa/mahawava/ke_kAraNa/mAna/pEmAnA/spaRtIkaraNa_kara/kAraNa_ho/jimmexAra/hisAba/
accumulate	ekawriwa_kara/ekawriwa_ho/
accuse	xoRa_lagAwe_hue/aBiyukwa/Aropa_lagA/
accustom	aByaswa/aByaswa_ho/
ace	bahuwa_acCA/ikkA/Esa/
ache	pIdZA/xarxa_kara/
achieve	prApwa_kara/pUrA_kara/hAsila_kara/
acquainted	avagawa/pariciwa/
acquaint	avagawa_karA/pariciwa/
acquit	aprAXa_se_mukwa_kara/barI_kara/rihA_kara/
acrid	ugra/ugra_svaBAva/
across	isa_ke_pAra_ki/usa_ke_oAra_ki/meM/ke_usa_pAra/ke_ArapAra/para/isa_Cora_se_usa_Cora_waka/nIce_kI_ora/xUsarI_waraPa/xuniyA_Bara_meM/ke_sAmane/ke_bIca/ke_Upara/meM_sarvawra/ke_saBI_ora/ArapAra/
acrylic	ekrilika/
action	kAryavAhI/karma/kAryAnviwa/yuxXa/GatanA/romAMcaka_GatanA/asara/kI/harakawa/kAnUnI_kAryavAhI_karane_yogya/kriyA/
active	sakriya-/sakriya/
act	prawiniXiwva_kara/xiKA/harakawa_kara/aBinaya_kara/kAnUna/aXiniyama/kArya_kara/kA_kAma_kara/burA_vyavahAra_kara/kAma_kara/kAryakArI/aBinaya/kqwi/kArya/kara/laga/kAryarawa_raha/lagane_vAlA/praBAvI/kqwya/
acute	wIvra/wIkRNa/awyaXika/kuSAgra/
adapt	Dala/anukUla_bananA/anukUla_banA/DAla/
addict	vaSIBUwa/lawa_lagA_huA/
addition	ke_AlAvA/safkalana/sAWa_hI/joda/
address	saMboXiwa_kara/svAgawa_BARaNa/saMboXana/samboXiwa_kara/
add	safkaliwa_kara/safkalana_kara/jodZa/Pira_jodZa/yoga_ho/milA/Age_kaha/awirikwa/raKa/saMyojiwa_ho_jA/dAla/
adequate	paryApwa/
adhere	para_xqDZa_raha/pAlana_kara/date_raha/cipaka/anupAlana_kara/
adhesive	cipacipA/cipakAne_vAlA_paxArWa/
adjacent	saMlagna/bagala/satA_huA/
adjoin	saMyukwa_ho/saMyukwa_kara/
adjudge	nirNaya_kara/nirNaya_xe/
adjust	kama_jyAxA_kara/TIka_ho/TIka_kara/ke_anukUla_ho/ko_TIka_kara/DAla_le/GatA_baDZA/samAyojana_kara/
administer	lAgu_kara/xe/prabanXa_kara/
admire	praSaMsA_yukwa/praSaMsA_kara/
admit	BarwI_kara/xAKila_kara/svIkAra_kara/
adopt	apanA/goxa_le/cuna/
adore	pyAraBarA/bahuwa_prema_kara/
adorn	SoBA_baDZA/sajA/
adrift	bahawA_huA/wErawA_huA/
adult	vayaska/bAliga/
advanced	ucca/ucca_kakRAo_ke/unnawa/baDZa/AXunika/
advance	pahale_hI/pragawa/baDZa/unnawi/pahale_se/pahale_xe/pragawI/agrima_rASI/saMbaMXa_banAne_ke_prayAsa/behawara_ho/behawara_kara/praswuwa_kara/pahale_kara/niSciwa_samaya_se_pUrva_kara/Age_baDZa/pUrva/vqxXi/Age_baDZA/
advantage	lABa/PAyaxA/lABaxAyaka_sWiwi_meM_pahuzcA/
advent	Agamana/
advertise	vijFApana_kI/vijFApana_kI_praNAlI/vijFApana_xe/
advocate	vakIla/vakAlawa_kara/jora_dena/
aerial	AkASIya/eriyala/
aesthetic	kalApAraKI/sOMxarya_paraKa/
affair	prema_saMbanXa/cIjZa/mAmalA/kArya/vyApAra/
affected	banAvatI/praBAviwa/
affect	praBAvapUrNa/banAvatI/praBAviwa_kara/praBAviwa_ho/
affiliate	SAKA/sahabaxXa_kara/
affix	prawyaya/saMyukwa_kara/
afflict	saMwapwa/wraswa_ho/wraswa_kara/
afford	Karca_uTA/jutAne_meM_samarWa/galawI_kara/kara/xe/nikAla_pA/karane_kA_sAmarWya_raKa/
affront	apamAniwa/apamAna/apamAniwa_kara/
afraid	cinwiwa/BayaBIwa/
after	isa_ke_bAxa_ki/usa_ke_bAxa_ki/ke_pICe/ke_upara/usake_bAxa/ke_bAxa/ke_nAma_para/bAxa_kA/bAxa_meM/
against	isa_ke_viruxXa_ki/usa_ke_virUxXa_ki/se/ke_sahAre/ke_sAmane/ke_prawi/ke_prawikUla/ke_sammuKa/ke_viruxXa/
again	Pira/BI/Pira_se/
ageing	aXika_umra/buDZApA/bUDZA/
agency	mAXyama/aBikaraNa/
agent	prawiniXi/karmaka/kAraka/
age	Kuxa_ko_vqxXa/yuga/samaya/vqxXa/umra/vayaska_ho/
aggravate	uwwejaka/uwwejiwa_kara/
aggregate	kula/pUrNa_yoga/saMgraha_kara/
aggrieve	vyaWiwa/xuKa_xe/
agile	PurwIlA/weja/
agitate	AMxolana_kara/pareSAna_kara/ciMwiwa/hilA/
agonize	bahuwa_xuKI/awyanwa_pIdZiwa_ho/xuHKa_xe/
