##Added by Roja (04-05-12)
##Physics Compound Dictionary .
##Extracted from 'Class11_Physics2_Glossary_NCERT_TextBook_HindiEdition.pdf'
#physics_word	Hindi_word_in_wx
############################################################################
framework	DAzcA
mechanics	yAMwrikI
atomic	paramANvika
molecular	ANvika
photo_electric_effect	prakASa_vExyuwa_praBAva
quantum	kvAMtama
antiparticle	prawikaNa
discipline	viRaya
anti-electron	prawi-ilektroYna
unification	ekIkaraNa
reduction	nyUnIkaraNa
constituent	avayava
macroscopic	sWUla
concept	XAraNA/saMkalpanA
universal	sArvawrika
domain	praBAvakRewra/praBAva_kRewra
gravitation	guruwvAkarRaNa
electromagnet	vExyuwa_cuMbaka
kinetic_theory	aNugawi_siXxAMwa
statistical_mechanics	sAMKyikIya_yAMwrikI
temperature	wapa	
average	Osawa
mean	mAXya
terrestrial	pArWiva
celestial_object	AkASIya_piMda
eclipse	grahaNa
tide	jvAraBAtA
volcano	jvAlAmuKI
rainbow	inxraXanuRa
phenomena	pariGatanA
interaction	anyonya_kriyA
technology	prAxyogikI
observation	prekRaNa
qualitative	guNAwmaka
quantitative	mAwrAwmaka
prediction	pUrvAnumAna
modelling	prawirUpaNa
verification	sawyApana
speculation	parikalpanA
conjecture	atakalabAjI
accuracy	yaWArWawA
precision	pariSuXxawA
elliptical	xIrGavawwIya
heliocentric	sUya-keMxrIya
planetary	grahIya
orbit	kakRA
scattering	prakIrNana
interplay	pArasparika_kriyA
astronomical	KagolIya
radioactive	viGatanABika/rediyoEktiva
nucleus	nABika
nuclear_fusion	nABikIya_saMlayana
nuclearfission	nABikIya_viKaMdana
chain_reaction	SrAaM_qKalA_aBikriyA
binding_energy	baMXana_UrjA
annihilation	vilopana
classical_physics	cirasammawa_BOwikI
equilibrium	saMwulana/sAmyAvasWA
electrodynamics	vExyuwagawikI/vixyuw-gawikI/vExyuwa_gawikI
optics	prakASikI
thermodynamics	URmAgawikI
magnetic_field	cuMbakIya_kRewra
system	nikAya
ionosphere	AyanamaMdala
efficiency	xakRawA
range	parAsa
rigid_body	xqDZa_piMda
current_carrying_conductor	vixyuwvAhI_cAlaka
elementary_particles	mUla_kaNa
air_resistance	vAyu_prawiroXa
evacuated	nirvAwiwa
free_fall	mukwa_pawana
galaxy	AkASagaMgA
universe	viSva
physical_quantity	BOwika_rASi
applied_physics	anuprayukwa_BOwikI
measurement	mApana
approximation	sannikatana
acceleration	wvaraNa
acceleration_due_to_gravity	guruwvIya_wvaraNa
resistance	prawiroXa
communication	saMcAra
applications	anuprayoga
nuclear_weapon	ANvika_Saswra
nuclear_power_reactor	ANvika_Sakwi_riektara
neutron_induced_fission	nyUtroYna-preriwa_viKaMdana
alternative_energy_source	vEkalpika_UrjA_srowa
fossil_fuel	jIvASmI_IMXana
solar_energy	sOra_UrjA
geothermal_energy	BUwApIya_UrjA
genetic_engineering	AnuvaMSika_aBiyAMwrikI
impact	AGAwa
merry_go_round	cakraxolA(gola_cakra)
muscular_force	peSIya_bala
contact_force	sparSIya_bala
friction	GarRaNa
spring	kamAnI
tension	wanAva
buoyancy	uwplAvakawA
viscous_force	SyAnawA
surface_tension	pqRTa_wanAva
microscopic_domain	sUkRma_praBAva_kRewra
intermolecular	aMwarANvika
interatomic	aMwaraparamANvika
fundamental_force	mUla_bala
elastic_force	prawyAsWa_bala
derived_force	vyuwpanna_bala
empirical_law	AnuBavika_niyama
directly_proportional	anukramAnupAwI
inversely_proportional	vyuwkramAnupAwI
artificial_satellites	kqwrima_upagraha
galactic_cluster	maMxAkinIya_gucCe
unlike_charges	vijAwIya_AveSa
like_charges	sajAwIya_AveSa
repulsive_force	prawikarRaNa_bala
charged_constituents	AveSayukwa_saMGatana
instantaneous	wAwkRaNika
normally	aBilaMbavaw
vertical	UXrvAXara
perpendicularly	laMbavaw
horizontal	kREwija
medium	mAXyama
dynamics	gawikI
wave_theory	waraMga_siXxAMwa
radiation	vikiraNa
brownian_motion	brAunI_gawi
special_theory_of_relativity	ApekRikawA_kA_viSiRta_siXxAMwa
physicist	BOwikavix
mass-energy_equivalence	xravyamAna-UrjA_wulyawA
general_theory_of_relativity	ApekRikawA_kA_vyApaka_siXxAMwa
stimulated_emission	uxxIpiwa_uwsarjana
black_body	kqRNikA
cosmology	brahmAMdikI
massive_boson	sWUla_bosoYna
critical	krAMwika
neutral	uxAsIna
cancel	niraswa
intrinsic	AMwarika
emitted	uwsarjiwa/nirgawa
bose-einstein_statistics	bosa-AiMstAina_sAMKyikI
fermi-dirac_statistics	ParmI-diroYka_sAMKyikI
maxwell-boltzamann_statistics	mEksavEla-boltjZAmAna_sAMKyikI
pauli_exclusion_principle	pAulI_apavarjana_siXxAMwa
spin	PracavraNa
half_integer	arXapUrNAMka
high_energy_collision	ucca_UrjA_saMGatta
nuclear_process	nABikIya_prakriyA
decay	kRaya
exchange	vinimaya
momentum	saMvega
impulse	Avega
conservation	saMrakRaNa
recoil	prawikRepa
infinity	anaMwa
mechanical_energy	yAMwrika_UrjA
kinetic_energy	gawija_UrjA
potential_energy	sWiwija_UrjA
isolated_system	viyukwa_nikAya
first_law_of_thermodynamics	URmAgawikI_kA_praWama_niyama
transformation	rUpAMwaraNa
reactant	aBikAraka
product	uwpAxa
indestructible	avinASI
rearrangement	punarvyavasWA
exothermic	URmAkRepI
endothermic	URmASoRI
mass_defect	xravyamAna-kRawi
numerically	AMkika_rUpa_se
scalar	axiSa
vector	saxiSa
linear	rEKika
angular	koNIya
parity	samawA
strangeness	viciwrawA
existence	aswiwva
symmetry	samamiwi
identical	samarUpa
translational	sWAnAMwarIya
displacement	visWApana
space_and_time	xikkAla
isotropy	samaxESikawA
abstract	amUrwa
concrete	mUrwa
fundamental_unit	mUla_mAwraka
derived_unit	vyuwpanna_mAwraka
multiples	guNaja(apavawrya)
submultiples	apavarwaka
prefix	pUrvalagna
thermodynamic_temperature	URmAgawika_wApa
arbitraily_chosen	svecCagqhIwa
parallax	laMbana/pErelEksa
angular_diameter	koNIya_vyAsa
inferior_planets	aMwagrraha
elongation	prasara_koNa
astronomical_unit	KagolIya_mAwraka
detector	saMsUcaka
reception	saMgrahaNa
echo	prawiXvani
exterior_planets	bAhya_graha
semi_major_axis	arXaxIrGa_akRa
orbital_period	kakRIya_avaXi
resolution	viBexana
beam	puMja
tunnelling_microscopy	suraMgana_sUkRmaxarSikA
unified_atomic_mass_unit	ekIkqwa_parAmANvIya_xravyamAna(saMhawi)_mAwraka
inertial_mass	jadZawvIya_xravyamAna
gravitational_mass	guruwvIya_xravyamAna
significant_figures	sArWaka_aMka
dimensional_formulae	vimIya_sUwra
dimensional_equation	vimIya_samIkaraNa
random_errors	yAxqcCika_wrutiyAz
least_count_error	alpawmAMka_wrutiyAz
portable	subAhya
revolution	parikramA/ParivramaNa
path_length	paWa_laMbAI
coincide	saMpAwI
origin	mUla_biMxu
magnitude	parimANa
direction	xiSA
rectilinear_motion	sarala_reKIya_gawi
one_dimensional_motion	eka-vimIya_gawi
backward	paScagAmI
forward	agravarwI
upward	UXrvagAmI/uparimuKI
downward	aXogAmI/aXomuKI
corresponding	waxnurUpa
average_velocity	Osawa_vega
average_speed	Osawa_cAla
standard_notation	mAnaka_aMkana
slope	pravaNawA
instanteneous_velocity	wAwkRaNika_vega
infinitesimally_small	anaMwaH_sUkRma
connecting	saMbaXxa
differential_calculus	avakala_gaNiwa
differential_coefficient	avakala_guNAMka
tangent	sparSa_reKA
limiting_process	sImAMwa_prakriyA
data	AMkadZe
exact_expression	yaWArWa_vyaMjaka
function_of_time	samaya_kA_Palana
inclined_plane	nawa_samawala
instantaneous_acceleration	wAwkRaNika_wvaraNa
average_acceleration	Osawa_wvaraNa
interesting_feature	rocaka_lakRaNa
smooth	niRkoNa
arithmetic_average	aMkIya_Osawa
odd_number	viRama_aMka
successive_interval_of_time	kramika_aMwarAla
stopping_distance	roXana_xUrI
braking_distances	brekiMga_xUriyAz
reaction_time	prawikriyA_kAla
common_point	uBayaniRTa
parabola	paravalaya
algebra	bIjagaNiwa
products_of_combustion	xahana_uwpAxa
constant_direction	niyawa_xiSA
stationary_lift	sWira_liPta
observer	prekRaka
kinematic	SuXxa_gawika
kinematics	SuXxa_gawikI
rotation	GUrNana
graphical_method	AleKI_viXi
analytical_method	viSleRaNAwmaka_viXi
scalar_product_or_dot_product	axiSa_guNanaPala
vector-product_or_cross_product	saxiSa_guNanaPala
projectile	prakRepya
uniform_circular_motion	ekasamAna_vqwwIya_gawi
directional_aspect	xiSAwmaka_xqRtikoNa
space	xiksWAna
plane	samawala
perimeter	parimApa
absolute_value	parama_mAna
triangle_law_of_vector_addition	saxiSoM_kA_yoga_saMbaMXI-wriBuja_kA_niyama
parallelogram_law_of_vector_addition	saxiSoM_kA_yoga_saMbaMXI_cawurBuja_kA_niyama
"head_and_tail"_rule	"SIrRa_evaM_pucCa"_niyama
position_vector	sWiwi_saxiSa
displacement_vector	visWApana_saxiSa
velocity_vector	vega_saxiSa
acceleration_vector	wvaraNa_saxiSa
unit_vectors	ekAMka_saxiSa
associative_law_of_vector_addition	saxiSoM_ke_jodZa_kA_sAhacarya_niyama
commutative_law	krama-vinimeya_niyama
distributive_law	viwaraNa_kA_niyama
coincide	saMpAwI
equality	samawulyawA
non-zero	SUnyewara
right_hand_rule	xakRiNAvarwI_niyama
trigonometry	wrikoNamiwi
co-ordinates	nirxeSAMka
angle_of_elevation	unnayana_koNa
angle_of_declination	avanamana_koNa
expression	vyaMjaka
law_of_sine	jyA-niyama
law_of_cosine	kojyA-niyama
radial	wrijyIya
frame_of_reference	nirxeSa-waMwra
function	Palana
simultaneous	samakAlika
time_of_flight	uddayana_kAla
cliff	cattAna
centripetal_force	aBikeMxra_bala
centripetal_acceleration	aBikeMxra_wvaraNa
time_period	Avarwa_kAla
frequency	Avqwwi
angular_speed	koNIya_cAla
groove	KAzcA
superposition	aXyAropaNa
gravitational_potential	guruwvIya_viBava
fallacy	BrAmakawA
conservation_of_momentum	saMvega_saMrakRaNa
equilibrium	sAmyAvasWA
inertial_frame	jadZawvIya_Prema
pseduo-force	Caxma_bala
variable	parivarwI
inclined_plane	Anawa_wala
aristotle	araswU
epochal	yugAMwarIya
universal	sArvaBOmika
net	neta
collision	saMGat/tatakkara
inertia	jadZawva
moment	AGUrNa
internal_force	AMwarika_bala
solar_system	sOra_parivAra
satellite	upagraha
deformation	virUpaNa
pair	yugma
interstellar_space	aMwarAwArakIya
instant	kRaNika/kRaNa
elastic	prawyAsWa
inelastic	aprawyAsWa
kinetic_reaction	gawika_prawikriyA
kinetic_friction	gawija_GarRaNa
isolated	vilagiwa/viyukwa/pqWaka
polygon	bahuBuja
recoil	prawikRepa/prawikRipwa
coiled_spring	kuMdaliwa_kamAnI
buoyancy	uwplAvana/uwplAvakawA
buoyant_force	uwplAvana_bala
compression	saMpIdana
restoring_force	prawyAnayana_bala
elongation	prasara_koNa_xEGryavqXxi
viscous_force	SyAna_bala
spring_force	kamAnI_bala
configuration	vinyAsa/saMrUpaNa
inextensible	aviwAnya
microscopic	sUkRma/sUkRmaxarSanIya/sUkRmaxarSIya
static_friction	sWEwika_GarRaNa
impending_motion	samupasWiwa_gawi
dynamic_friction	gawika_GarRaNa
sliding_friction	sarpI_GarRaNa
limiting_value	sImAMwa_mAna
rolling_friction	lotanika_GarRaNa
ball-bearing	boYla-beyariMga
lubricant	snehaka
lubrication	snehana
accelerated_frame	wvariwa_Prema
coriolis_force	korioYlisa_bala
absolute_rest	nirapekRa_virAma
equivalence	wulyawA
thrust	praNoxa
combustion_gas	xahanaSIla_gEsa
ejected_gas	niRkAsiwa_gEsa
free_body_diagram	bala_nirxeSaka_AreKa
generalisation	vyApakIkaraNa
contraction	saMkucana
internal_energy	AMwarika_UrjA
non-conservative	asaMrakRI
trajectory	prakRepa_paWa
configuration	saMrUpaNa
moderator	maMxaka
recoilless_emission	prawikRepahIna_uwsarjana
lattice	jAlaka(lEtisa)
angular_momentum	koNIya_saMvega
anticlockwise	vAmAvarwa
angular_acceleration	koNIya_wvaraNa
areal_velocity	kRewrIya_vega
axis_of_symmetry	samamiwa_akRa
binary_system	xviaMgI_nikAya
clockwise	xakRiNAvarwa
couple	balayugma
centroid	keMxraka
fulcrum	AlaMba
fly_wheel	gawipAlaka_cakra
lamina	patala
lever_arm	uwwolaka-BujA
line_of_contact	saMParva_reKA
moment_of_inertia	jadZawvAGUrNa
orientation	aBivinyAsa
rigid_body	xqDZa_vaswu
radius_of_gyration	pariBramaNa_wrijyA
rotational_kinetic_energy	GUrNIya_gawija_UrjA
torque	bala_AGUrNa
theorem	prameya
tension	wanAva
tangential	sparSa_reKIya
axial_rotation	akRIya_GUrNana
altitude	UzcAI
artificial	kqwrima
boulder	SilAKaMda/KaMdASya
black_hole	kqRNa_vivara
black_body	kqRNikA
berry	rasaBarI
binding_energy	baMXana_UrjA
constellations	wArAmaMdala
coordinate_system	nirxeSAMka_nikAya
centripetal	keMxrABimuKI
communication	saMpreRaNa
data_base	AMkadZe
epicycle	aXicakra
ellipse	xIrGavqwwa
equational_bulge	BUmaXyavarwI_uBAra
escape_speed	palAyana_cAla
elevator	liPta
foci	nABi
geocentric	BUkeMxrI
geostationary	BUsWEwika
geosynchronous	BUsamakAlika
hemisphere	arXagolIya
hyperbola	awiparivalaya
identity	wAxamya
inverse	vyuwkrama
jupiter	bqhaspawi
latitude	akRAMSa
mars	maMgala
mercury	buXa
orbit	kakRA
periodicity	AvarwiwA
pluto	plUto
superposition	aXyAropaNa
universal_law	sArvawrika_niyama
venus	Sukra
weightlessness	BArahInawA
weight	BAra
internal_structure	AMwarika_saMracanA
characteristic_properties	aBilAkRaNika_guNa
building_blocks	imArawI_KaMda
separation	pqWakana
overlapping	awivyApana
power	GAwAMka
inaccurate	asArWaka
machanics_of_fluids	warala_yAMwrikI
macromolecule	vqhaxaNu
inter-dispersed	aMwarparikRipwa
amorphous	akristalIya
crystallite	kristalANu
semi-crystalline_solid	aMSa_kristalIya_Tosa
strain	vikqwi(aparUpaNa)
common_to_two	uBayaniRTa
common_to_all	sarvaniRTa
picturisation	ciwrAMkana
experimental_sample	parIkRaNa_nixarSa(prAxarSa)
brittle	BaMgura
yield_point	parABava_biMxu
yield_strength	parABava_sAmarWya
ultimate_strength	carama_sAmarWya
tensile_strength	wanana_sAmarWya
ductile	AGAwavaXrya
plastic_region	suGatya_kRewra
elastic_hysteresis	prawyAsWa_SEWilya
operational	kriyAwmaka
twist	vyAvarwana(EMTana)
hydraulic	cala_xravIya
composite	miSriwa
atmospheric	vAyumMadalIya
aerodynamics	vAyugawikI
efflux	bahiHsrAva
equivalent	wulyAMka
bubble	bulabulA
fluid	warala
fluid_dynamics	waralagawikI
floatation	plavana
calibrated	aMSAMkiwa
compressible	saMpIdya
capillary	keSikA
device	yukwi
gauge_pressure	gejZA_xAba
irrotational	aGUrNI
streamline_flow	XArAreKI_pravAha
surface_tension	pqRTa_wanAva
surface_energy	pqRTa_uQrjA
turbulence	prakRoBa
terminal_velocity	aMwima_vega
constitution	saMracanA
diffusion	visaraNa
degree_of_freedom	svAwaMwrya-koti
diatomic	xvi-paramANuka
equipartition	samaviBAjana
hypothesis	parikalpanA
molar	aNuka
monatomic	eka-paramANuka
mean_free_path	Osawamukwa_paWa
microscope	sUkRmaxarSI
manifestation	AvirBAva
phase_transition	prAvasWA_saMkramaNa
polyatomic	bahu-paramANuka
pollen_grain	parAga_kaNa
root_mean_square_speed	varga-mAXyamUla_cAla
rigid_rotator	xqDZa-GUrNI
specific_heat	viSiRta_URmA
telescope	xUrabIna/xUraxarSI/xUraxarSaka
vibrational_energy	kaMpanIya_UrjA
zig_zag	teDAZ-meDAZ
thermal	URmIya
heat	URmA
absolute_scale_of_temperature	parama_wApa_mAPavrama
absolute_zero	parama_SUnya
ideal_gas	AxarSa_gEsa
coefficient_of_linear_expansion	reKIya_prasAra_guNAMka
coefficient_of_volume_expansion	Ayawana_prasAra_guNAMka
surroundings(of the system)	prawiveSa
law_of_equipartition_of_energy	UrjA_ke_samaviBAjana_kA_niyama
isothermal	samawApIya
adiabatic	ruXxoRma
phases(solid,liquid,gas)	prAvasWAez
infinitesimal	anaMwa_sUkRma
equilibrium_line	sAmya_reKA
mechanical_equilibrium	yAMwrika_sAmyawA
thermal_equilibrium	URmIya_sAmyawA
co-existence	saha-aswiwva
reservoir(of heat)	URmASaya
sink(of heat)	aBigama
refrigerator	praSIwaka
coefficient_of_performance	niRpAxana_guNAMka
idealised_reversible_process	AxarSIkqwa_uwkramaNIya_prakrama
asymmetry	asamamiwi
semi-static	arXa_sWira
conservative_force	akRayakArI_bala
carnot_engine	kArno_iMjana
carnot_cycle	kArno_cakra
dissipative_force	kRayakArI_bala
microscopic_constituent	sUkRma_saMGataka
thermal_capacity/heat_capacity	URmAXAriwA
molar_volume(22.4 l at stp)	grAma-aNuka_Ayawana
absorbed	avaSoRiwa
boiling_point	kvaWanAMka
melting_point	galanAMka
heat_insulator	URmAroXI
