##Added by Roja (25-05-12)
##Science Compound Dictionary .
##Extracted from 'Class10_Science_Index_NCERT_TextBook_HindiEdition.pdf'
#Science_word	Hindi_word_in_wx
############################################################################
Egg_cell	aMdakoSikA
Oviduct	aMdavAhinI
Ovary	aMdASaya
Unbreeding	aMwarjanana
Interface	aMwarApqRTa
Inert	akriya
Inert_gas	akriya_gEsa
Inexhaustible	akRaya
Pancreas	agnyASaya
Fire_extinguisher	agniSAmaka
Fore_brain	agra_maswiRka
Abiodegradation	ajEva_nimnIkaraNIya
Over_loading	awi_BAraNa
Exceptionally	awiSaya_rUpa_meM
d/s_(down_stream)	arXa_pravAha
Non-metalic	aXAwvika
Non-renewable	anavIkaraNIya
Untreated_sewage	anupacAriwa_vAhiwa_mala
Response	anukriyA
Diastole	anuSiWilana
Longitudinal	anuxErGya
Transverse	anuprasWa
Cerebellum	anumaswiRka
Maintenance	anurakRaNa
Prefix	anulagna
Recommendation	anuSaMsiwa
Interdependent	anyonyASriwa
Depletion	apakRayana
Decomposers	apaGataka
Decomposition	apaGatana
Indigestion	apaca
Reduction	apacayana
Impurity	apaxravya
Detergent	apamArjaka
Refract	apavarwa
Refraction	apavarwana
Refractive_index	apavarwanAMka
Refracted_ray	apavarwiwa_kiraNa
Waste	apaSiRta
Diverging	apasArI
Opaque	apAraxarSI
Dialysis	apohana
Recessive_traits	apraBAvI_lakRaNa
Design	aBikalpa
Reactant	aBikAraka
Activity	aBikriyASIlawA
Eye_lens	aBinewra_leMsa
Characteristic	aBilakRaNa
Converging	aBisArI
Acidified	amlIya
Ore	ayaska
Atrium	a¯laxa
Rudimentary_eye	alpavarXiwa_AzKa
Precipitate	avakRepa
Precipitation_reaction	avakRepaNa_aBikriyA
Concave	avawala
Consistency	aviroXa
Sphincter_muscles	aviroXinI_peSI
Insoluble	avileya
Octet/Octave	aRtaka
Non-Corrosive_base	asaMkRAraka_kRAraka
Unsaturation	asaMwqpwa
Disprove	asawya/apramANiwa
Eye	AzKa
Oxidation	AksIkaraNa,_upacayana
Argon	Argana
Malleability	AGAwavaXryawA
Endothermic	AzwaroRmi
Intestine_juice	Azwra_rasa
Humid/Moisture	Arxra
Heredity	AnuvaMSikawA
Genetic_material	AnuvaMSika_paxArWa
