##Added by Roja (04-05-12)
##Physics Compound Dictionary .d
##Extracted from 'Class11_Physics2_Glossary_NCERT_TextBook_HindiEdition.pdf'
#physics_word   Hindi_word_in_wx
##############################################################################
framework_noun	DAzcA
mechanics_noun	yAMwrikI
atomic_adjective	paramANvika
molecular_adjective	ANvika
quantum_noun	kvAMtama
antiparticle_noun	prawikaNa
discipline_noun	viRaya
anti-electron_noun	prawi-ilektroYna
unification_noun	ekIkaraNa
reduction_noun	nyUnIkaraNa
constituent_noun	avayava
macroscopic_adjective	sWUla
concept_noun	XAraNA/saMkalpanA
universal_adjective	sArvawrika
domain_noun	praBAvakRewra/praBAva_kRewra
gravitation_noun	guruwvAkarRaNa
electromagnet_noun	vExyuwa_cuMbaka
temperature_noun	wapa
average_noun	Osawa
mean_noun	mAXya
terrestrial_adjective	pArWiva
eclipse_noun	grahaNa
tide_noun	jvAraBAtA
volcano_noun	jvAlAmuKI
rainbow_noun	inxraXanuRa
phenomena_noun	pariGatanA
interaction_noun	anyonya_kriyA
technology_noun	prAxyogikI
observation_noun	prekRaNa
qualitative_adjective	guNAwmaka
quantitative_adjective	mAwrAwmaka
prediction_noun	pUrvAnumAna
modelling_noun	prawirUpaNa
verification_noun	sawyApana
speculation_noun	parikalpanA
conjecture_noun	atakalabAjI
accuracy_noun	yaWArWawA
precision_noun	pariSuxXawA
elliptical_adjective	xIrGavawwIya
heliocentric_adjective	sUya-keMxrIya
planetary_adjective	grahIya
orbit_noun	kakRA
scattering_noun	prakIrNana
interplay_noun	pArasparika_kriyA
astronomical_noun	KagolIya
astronomical_adjective	KagolIya
radioactive_adjective	viGatanABika/rediyoEktiva
nucleus_noun	nABika
nuclearfission_noun	nABikIya_viKaMdana
annihilation_noun	vilopana
equilibrium_noun	saMwulana/sAmyAvasWA
electrodynamics_noun	vExyuwagawikI/vixyuw-gawikI/vExyuwa_gawikI
optics_noun	prakASikI
thermodynamics_noun	URmAgawikI
system_noun	nikAya
ionosphere_noun	AyanamaMdala
efficiency_noun	xakRawA
range_noun	parAsa
evacuated_adjective	nirvAwiwa
galaxy_noun	AkASagaMgA
universe_noun	viSva
measurement_noun	mApana
approximation_noun	sannikatana
acceleration_noun	wvaraNa
resistance_noun	prawiroXa
communication_noun	saMcAra
applications_noun	anuprayoga
impact_noun	AGAwa
friction_noun	GarRaNa
spring_noun	kamAnI
tension_noun	wanAva
buoyancy_noun	uwplAvakawA
intermolecular_adjective	aMwarANvika
interatomic_noun	aMwaraparamANvika
instantaneous_adjective	wAwkRaNika
normally_noun	aBilaMbavaw
normally_adverb	aBilaMbavaw
vertical_adjective	UXrvAXara
perpendicularly_adverb	laMbavaw
horizontal_adjective	kREwija
medium_noun	mAXyama
dynamics_noun	gawikI
radiation_noun	vikiraNa
physicist_noun	BOwikavix
cosmology_noun	brahmAMdikI
critical_adjective	krAMwika
neutral_noun	uxAsIna
cancel_verb	niraswa
intrinsic_adjective	AMwarika
emitted_verb	uwsarjiwa/nirgawa
spin_noun	PracavraNa
decay_noun	kRaya
exchange_noun	vinimaya
momentum_noun	saMvega
impulse_noun	Avega
conservation_noun	saMrakRaNa
recoil_noun	prawikRepa
infinity_noun	anaMwa
transformation_noun	rUpAMwaraNa
reactant_noun	aBikAraka
product_noun	uwpAxa
indestructible_adjective	avinASI
rearrangement_noun	punarvyavasWA
exothermic_adjective	URmAkRepI
endothermic_adjective	URmASoRI
numerically_noun	AMkika_rUpa_se
scalar_noun	axiSa
vector_noun	saxiSa
linear_adjective	rEKika
angular_adjective	koNIya
parity_noun	samawA
strangeness_noun	viciwrawA
existence_noun	aswiwva
symmetry_noun	samamiwi
identical_noun	samarUpa
translational_adjective	sWAnAMwarIya
displacement_noun	visWApana
isotropy_noun	samaxESikawA
abstract_noun	amUrwa
concrete_noun	mUrwa
multiples_noun	guNaja(apavawrya)
submultiples_noun	apavarwaka
prefix_noun	pUrvalagna
parallax_noun	laMbana/pErelEksa
elongation_noun	prasara_koNa
detector_noun	saMsUcaka
reception_noun	saMgrahaNa
echo_noun	prawiXvani
resolution_noun	viBexana
beam_noun	puMja
portable_noun	subAhya
revolution_noun	parikramA/ParivramaNa
coincide_noun	saMpAwI
origin_noun	mUla_biMxu
magnitude_noun	parimANa
direction_noun	xiSA
backward_noun	paScagAmI
forward_noun	agravarwI
upward_adjective	UXrvagAmI/uparimuKI
downward_adjective	aXogAmI/aXomuKI
corresponding_adjective	waxnurUpa
slope_noun	pravaNawA
connecting_adjective	saMbaxXa
tangent_noun	sparSa_reKA
data_noun	AMkadZe
smooth_adjective	niRkoNa
parabola_noun	paravalaya
algebra_noun	bIjagaNiwa
observer_noun	prekRaka
kinematic_noun	SuxXa_gawika
