#physics_word	Hindi_word_in_wx
###################################################################################
photo_electric_effect	prakASa_vExyuwa_praBAva#prakASa_vExyuwa_praBAva#noun#3#WM
kinetic_theory	aNugawi_siXxAMwa#aNugawi_siXxAMwa#noun#2#RM
statistical_mechanics	sAMKyikIya_yAMwrikI#sAMKyikIya_yAMwrikI#noun#2#WM
celestial_object	AkASIya_piMda#AkASIya_piMda#noun#2#RM
nuclear_fusion	nABikIya_saMlayana#nABikIya_saMlayana#noun#2#RM
chain_reaction	SrAaM_qKalA_aBikriyA#SrAaM_qKalA_aBikriyA#noun#2#RM
binding_energy	baMXana_UrjA#baMXana_UrjA#noun#2#RM
classical_physics	cirasammawa_BOwikI#cirasammawa_BOwikI#noun#2#WM
magnetic_field	cuMbakIya_kRewra#cuMbakIya_kRewra#noun#2#RM
rigid_body	xqDZa_piMda#xqDZa_piMda#noun#2#RM
current_carrying_conductor	vixyuwvAhI_cAlaka#vixyuwvAhI_cAlaka#noun#3#RM
elementary_particles	mUla_kaNa#mUla_kaNa#noun#2#RM
air_resistance	vAyu_prawiroXa#vAyu_prawiroXa#noun#2#RM
free_fall	mukwa_pawana#mukwa_pawana#noun#2#WM
physical_quantity	BOwika_rASi#BOwika_rASi#noun#2#RM
applied_physics	anuprayukwa_BOwikI#anuprayukwa_BOwikI#noun#2#WM
acceleration_due_to_gravity	guruwvIya_wvaraNa#guruwvIya_wvaraNa#noun#1#RM
nuclear_weapon	ANvika_Saswra#ANvika_Saswra#noun#2#WM
nuclear_power_reactor	ANvika_Sakwi_riektara#ANvika_Sakwi_riektara#noun#3#WM
neutron_induced_fission	nyUtroYna-preriwa_viKaMdana#nyUtroYna-preriwa_viKaMdana#noun#1#WM
alternative_energy_source	vEkalpika_UrjA_srowa#vEkalpika_UrjA_srowa#noun#2#RM
fossil_fuel	jIvASmI_IMXana#jIvASmI_IMXana#noun#2#RM
solar_energy	sOra_UrjA#sOra_UrjA#noun#2#RM
geothermal_energy	BUwApIya_UrjA#BUwApIya_UrjA#noun#2#RM
genetic_engineering	AnuvaMSika_aBiyAMwrikI#AnuvaMSika_aBiyAMwrikI#noun#2#WM
merry_go_round	cakraxolA(gola_cakra)#cakraxolA(gola_cakra)#noun#2#RM
muscular_force	peSIya_bala#peSIya_bala#noun#2#RM
contact_force	sparSIya_bala#sparSIya_bala#noun#2#RM
viscous_force	SyAnawA#SyAnawA#noun#2#RM
surface_tension	pqRTa_wanAva#pqRTa_wanAva#noun#2#RM
microscopic_domain	sUkRma_praBAva_kRewra#sUkRma_praBAva_kRewra#noun#2#RM
fundamental_force	mUla_bala#mUla_bala#noun#2#RM
elastic_force	prawyAsWa_bala#prawyAsWa_bala#noun#2#RM
derived_force	vyuwpanna_bala#vyuwpanna_bala#noun#2#RM
empirical_law	AnuBavika_niyama#AnuBavika_niyama#noun#2#WM
directly_proportional	anukramAnupAwI#anukramAnupAwI#noun#2#RM
inversely_proportional	vyuwkramAnupAwI#vyuwkramAnupAwI#noun#2#RM
artificial_satellites	kqwrima_upagraha#kqwrima_upagraha#noun#2#RM
galactic_cluster	maMxAkinIya_gucCe#maMxAkinIya_gucCe#noun#2#RM
unlike_charges	vijAwIya_AveSa#vijAwIya_AveSa#noun#2#RM
like_charges	sajAwIya_AveSa#sajAwIya_AveSa#noun#2#RM
repulsive_force	prawikarRaNa_bala#prawikarRaNa_bala#noun#2#RM
charged_constituents	AveSayukwa_saMGatana#AveSayukwa_saMGatana#noun#2#RM
wave_theory	waraMga_siXxAMwa#waraMga_siXxAMwa#noun#2#RM
brownian_motion	brAunI_gawi#brAunI_gawi#noun#2#RM
special_theory_of_relativity	ApekRikawA_kA_viSiRta_siXxAMwa#ApekRikawA_kA_viSiRta_siXxAMwa#noun#2#RM
mass-energy_equivalence	xravyamAna-UrjA_wulyawA#xravyamAna-UrjA_wulyawA#noun#3#WM
general_theory_of_relativity	ApekRikawA_kA_vyApaka_siXxAMwa#ApekRikawA_kA_vyApaka_siXxAMwa#noun#2#RM
