#Added by Roja(12-06-12)
#Collected from WSD preposition files
#Eng_prep	Hnd_mng
######################################
aboard	isa_para_savAra_ki/para_savAra/savAra/usa_para_savAra_ki
about	AsapAsa/cAro_ora/iXara-uXara/isa_ke_bAre_meM_ki/ke_bAre_meM/lagaBaga/meM_iXara-uXara/usa_ke_bAre_meM_ki
above	Upara/Upara_vAlA/UzcA/isa_ke_pAra_ki/ke_Upara/usa_ke_pAra_ki
absent	anupasWiwa/anupasWiwa_ho
across	ArapAra/isa_ke_pAra_ki/ke_saBI_ora/meM/usa_ke_oAra_ki
after	bAxa_kA/bAxa_meM/isa_ke_bAxa_ki/ke_bAxa/ke_pICe/ke_upara/usa_ke_bAxa_ki/usake_bAxa
against	isa_ke_viruxXa_ki/ke_prawi/ke_sAmane/ke_sahAre/ke_viruxXa/se/usa_ke_virUxXa_ki
along	Age_baDanA/barAbara_barAbara/isa_ke_barAbara_barAbara_ki/ke_kinAre/ke_sAWa_sAWa/ke_sAwa/usa_ke_barAbara_barAbara_ki
around	AsapAsa/hara_ora/ke_cAroM_ora/ke_iXara_uXara/lagaBaga/meM_iXara_uXara
as	-/jEsA/jEsA_ki/jaba/jiwanA/ke_jEsA/ke_nAma_se/ke_rUpa_meM/ke_wOra_meM/ki/kyoM_ki/kyoMki/uwanA
aside	raxxa_karanA/svagawa_ukwi
astride	pAzva_PElAkara/xono_waraPa
at	-/baje/kI_ora/ko/meM/para/se/suna_kara
athwart	AdZA
before	isase_pahale_ki/ke_pahale/ke_sAmane/se_pahale
behind	kUlhA/ke_pICe/pICe_se/se_pICe
besides	ke_alAvA/ke_awirikwa
between	ke_bIca/ke_bIca_kI/meM_se
but	ke_awirikwa/kevala/paraMwu/paranwu
by	guNA/kI/ka/ke_anusAra/ke_hisAba_se/ke_kAraNa/ke_xvArA/meM/pAsa_meM/pAsa_se/samIpa/se/se_hokara/waka
despite	bEra/ke_bAvajUxa
down	ke_nIce/nIce/nIce_girA/rovAz
except	-/CodZa/ko_CodZa_kara/sirPa/sivAya_isake_ki
following	aglA/hone_para
for	-/kI_ora_se/kI_vajaha_se/ke_bAxa/ke_baxale_meM/ke_hisAba_se/ke_liye/ke_pakRa_meM/kyoMki/meM/se/waka
for_the_first_time	pahalI_bAra
for_the_last_time	AKirI_bAra
for_the_next_time	agalI_bAra_ke_liye
from	-/se/se_GatanA_se
how_about	0_ne_ke_bAre_meM_kya_KyAla_hE
in	-/aMxara/anxara/iMca/ko/meM/para
inside	aByanwara/ke_aMxara_se/ke_anxara
into	guNA/kI/ke_aMxara/meM
like	jEsA/kI_waraha/ke_lagaBaga/ko/pasaMxa_kara/pasanxa/samAna/samAna_vicAra_vAlA
near	ke/ke_nikata/ke_pAsa/nikata/nikata_pahuzca
next	-/Age/agalA/ke_pAsa/usake_bAxa
of	-/isa_kA_ki/kA/kI_vajaha_se/ke_bAhara/ke_bAre_meM/ko/meM_se/para/se/usa_kA_ki
off	para_se/se_lagA_huA/se_lage_hue/se_xUra_hatakara/suxUra
on	kA/ke_pAsa/ko/lagAwAra/meM/para
opposite	ke_sAmane/viroXI
out	-/bAhara/bAhara_nikAla/ke_bAhara/sEra
outside	bAhara/bAhya/ke_bAhara
over	-/Bara/bAhya/ke_Upara/kriketa_kI_ovara/meM/nIce_girA_huA/sarvawra/se_Upara/se_aXika
pace	cahalakaxamI_kara/kaxama
past	BUwakAla/BUwapUrva/bAxa_meM/bIwa_gayA/ke_pare/pare/piCalA
round	-/golAkAra/gola/gola_banA/ke_golAkAra
save	bacA/bacAva/baca/sivAya
since	jaba_se/kyoMki/se/waba_se
so_far_away_from	se_iwanI_xUra
than	kI_apekRA/kI_wulanA_meM
through	eka_ora_se_xUsarI_ora/ke_mAXyama_se/meM/meM_se
throughout	Bara_meM/SurU_se_anwa_waka
till	Kewa_jowa/golaka/jabawaka_nahIM
to	-/0/kA/kI/kI_apekRA/kI_ora/ke_karIba/ke_liye/ke_sAmane/ko/meM/ora/para/se/vAlA/waka
toward	kI_ora/samIpa
towards	kI_ora/samIpa
under	ke_aMwargawa/ke_nIce/ke_wahawa
until	jaba_waka/waka
up	Amane_sAmane_se/Upara/Upara_kI_ora/caDZAva/isa_ke_Upara_ki/jahAz_waka_ki/ke_Upara/ke_Upara_Age/ke_Upara_kI_ora/ke_sAmane/mUlya_ke_liye/uTA/usa_ke_Upara_ki
upon	isa_ke_Upara_ki/ke_Upara/usa_ke_Upara_ki
what_about	0_ne_ke_bAre_meM_kya_KyAla_hE
with	binA/ke_sAWa/meM/se/vAlA
within	BIwara/isa_ke_BIwara_ki/ke_BIwara/meM/usa_ke_BIwara_ki
without	bAhara/isa_ke_binA_ki/ke_binA/usa_ke_binA_ki
worth	mUlya
